"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"mental disorders","0.309","mental or behavioral dysfunction"
"memory observations","0.294","finding"
"mild adverse event","0.294","finding"
"mini-mental status exam","0.279","diagnostic procedure"
"allergy severity - severe","0.265","finding"
"active brand of pseudoephedrine-triprolidine","0.250","organic chemical - pharmacologic substance"
"epilepsy","0.235","disease or syndrome"
"unstable status","0.235","finding"
"kidney","0.235","body part, organ, or organ component"
"magnetic resonance imaging","0.206","diagnostic procedure"
"cerebrovascular accident","0.206","disease or syndrome - therapeutic or preventive procedure"
"hypersensitivity","0.176","clinical attribute - finding - pathologic function"
"injury wounds","0.176","body substance - injury or poisoning"
"depressed mood","0.176","finding - mental or behavioral dysfunction"
"craniocerebral trauma","0.176","injury or poisoning"
"pharmacologic substance","0.162","pharmacologic substance - therapeutic or preventive procedure"
"hypertensive disease","0.162","biologically active substance - disease or syndrome - finding"
"contraceptive methods","0.162","therapeutic or preventive procedure"
"intravenous infusion procedures","0.162","therapeutic or preventive procedure"
"vitamins","0.162","organic chemical - pharmacologic substance"
"gravidity","0.162","finding"
"impaired cognition","0.162","finding - mental or behavioral dysfunction"
"ethanol","0.147","organic chemical - pharmacologic substance"
"operative surgical procedures","0.147","diagnostic procedure - therapeutic or preventive procedure"
"dactinomycin","0.147","antibiotic - body part, organ, or organ component - disease or syndrome - therapeutic or preventive procedure"
"cerebrovascular disorders","0.132","pathologic function"
"blood vessel","0.132","body part, organ, or organ component - finding"
"malignant neoplasms","0.132","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"schizophrenia","0.132","mental or behavioral dysfunction"
"hepatic","0.132","body location or region"
"pharmaceutical preparations","0.132","pharmacologic substance"
"brain injuries","0.132","injury or poisoning"
"nervous system disorder","0.132","disease or syndrome"
"mental retardation","0.118","mental or behavioral dysfunction"
"substance abuse problem","0.118","mental or behavioral dysfunction"
"lung diseases","0.118","disease or syndrome"
"memory impairment","0.118","finding - mental or behavioral dysfunction"
"congestive heart failure","0.118","congenital abnormality - disease or syndrome"
"bipolar disorder","0.103","mental or behavioral dysfunction"
"mental status adverse event","0.103","finding"
"myocardial infarction","0.103","disease or syndrome - finding"
"brain neoplasms","0.103","neoplastic process"
"cardiac arrhythmia","0.103","finding - pathologic function"
