"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"psychotic disorders","0.41846","mental or behavioral dysfunction"
"attention deficit hyperactivity disorder","0.30308","disease or syndrome - mental or behavioral dysfunction"
"bipolar disorder","0.29231","mental or behavioral dysfunction"
"pharmacologic substance","0.29077","pharmacologic substance - therapeutic or preventive procedure"
"epilepsy","0.25077","disease or syndrome"
"pervasive development disorder","0.25077","congenital abnormality - inorganic chemical - mental or behavioral dysfunction - pharmacologic substance"
"allergy severity - severe","0.25077","finding"
"developmental disabilities","0.23231","mental or behavioral dysfunction"
"hypersensitivity","0.20154","clinical attribute - finding - pathologic function"
"gravidity","0.19538","finding"
"intravenous infusion procedures","0.19077","therapeutic or preventive procedure"
"anxiety disorders","0.18923","finding - mental or behavioral dysfunction"
"substance abuse problem","0.18000","mental or behavioral dysfunction"
"mental disorders","0.18000","mental or behavioral dysfunction"
"mental retardation","0.17385","mental or behavioral dysfunction"
"suicidal","0.16769","finding"
"autistic disorder","0.15692","mental or behavioral dysfunction"
"psychotropic drugs","0.15538","pharmacologic substance"
"ethanol","0.15231","organic chemical - pharmacologic substance"
"hypertensive disease","0.15077","biologically active substance - disease or syndrome - finding"
"tic disorder","0.14923","mental or behavioral dysfunction"
"depressed mood","0.14615","finding - mental or behavioral dysfunction"
"stimulant","0.13846","pharmacologic substance"
"schizophrenia","0.13692","mental or behavioral dysfunction"
"unstable status","0.12154","finding"
"family history","0.11692","congenital abnormality - disease or syndrome - enzyme - finding"
"positive finding","0.10769","finding"
"pharmaceutical preparations","0.10769","pharmacologic substance"
"obsessive-compulsive disorder","0.10615","disease or syndrome - mental or behavioral dysfunction"
"fever","0.10615","finding"
"conduct disorder","0.10462","mental or behavioral dysfunction"
"congenital abnormality","0.10154","congenital abnormality - disease or syndrome"
"active brand of pseudoephedrine-triprolidine","0.10000","organic chemical - pharmacologic substance"
"febrile convulsions","0.09692","disease or syndrome - pharmacologic substance"
"blood pressure finding","0.09692","finding"
"electrocardiogram","0.09385","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"methylphenidate","0.08769","organic chemical - pharmacologic substance"
"atomoxetine","0.08615","organic chemical - pharmacologic substance"
"disability","0.08462","finding"
"glaucoma","0.08462","disease or syndrome - finding"
"post-traumatic stress disorder","0.08308","mental or behavioral dysfunction"
"nervousness","0.07846","sign or symptom"
"unipolar depression","0.07846","mental or behavioral dysfunction"
"kidney","0.07846","body part, organ, or organ component"
"neurological observations","0.07846","finding"
"diagnosis psychiatric","0.07692","mental or behavioral dysfunction"
"screening for cancer","0.07538","diagnostic procedure"
"cardiovascular diseases","0.07385","disease or syndrome"
"contraceptive methods","0.07231","therapeutic or preventive procedure"
"nervous system disorder","0.07077","disease or syndrome"
"stress disorders traumatic","0.06923","mental or behavioral dysfunction"
"nicotine","0.06769","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"antipsychotic agents","0.06769","pharmacologic substance"
"monoamine oxidase inhibitors","0.06615","organic chemical - pharmacologic substance"
"physical assessment findings","0.06615","finding"
"suicidality","0.06462","clinical attribute"
