"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"attention deficit hyperactivity disorder","0.83732","disease or syndrome - mental or behavioral dysfunction"
"intravenous infusion procedures","0.51994","therapeutic or preventive procedure"
"hyperactive behavior","0.17225","finding"
"mental disorders","0.12600","mental or behavioral dysfunction"
"negative finding","0.11324","finding"
"pregnancy tests","0.10845","diagnostic procedure"
"attention deficit disorder","0.10367","disease or syndrome - mental or behavioral dysfunction"
"pharmacologic substance","0.09569","pharmacologic substance - therapeutic or preventive procedure"
"contraceptive methods","0.08134","therapeutic or preventive procedure"
"supernumerary mandibular right primary canine","0.07974","body part, organ, or organ component"
"physical assessment findings","0.06699","finding"
"methylphenidate","0.06220","organic chemical - pharmacologic substance"
"stimulant","0.05742","pharmacologic substance"
"electrocardiogram","0.05423","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"serum","0.05423","biologically active substance - body substance - pharmacologic substance"
"mood disorders","0.05104","mental or behavioral dysfunction"
"blood pressure finding","0.04625","finding"
"moderate adverse event","0.04625","finding"
"gravidity","0.04625","finding"
"surgical revision","0.04306","therapeutic or preventive procedure"
"congenital abnormality","0.04147","congenital abnormality - disease or syndrome"
"schizophrenia","0.03987","mental or behavioral dysfunction"
"personal satisfaction","0.03828","finding"
"normal intelligence","0.03668","finding"
"medical history","0.03668","finding"
"hoxa10 protein human","0.03668","biologically active substance - body location or region"
"psychiatric assessment","0.03668","diagnostic procedure"
"gonadotropins","0.03509","pharmacologic substance"
"sexual intercourse - finding","0.03509","finding"
"human chorionic gonadotropin","0.03349","disease or syndrome - pharmacologic substance"
"intelligence tests","0.03190","diagnostic procedure"
"depressed mood","0.03190","finding - mental or behavioral dysfunction"
"anxiety disorders","0.03030","finding - mental or behavioral dysfunction"
"integumentary scale","0.03030","body part, organ, or organ component"
"autistic disorder","0.03030","mental or behavioral dysfunction"
"body mass index","0.02711","clinical attribute - diagnostic procedure"
"relate - vinyl resin","0.02711","organic chemical"
"operative surgical procedures","0.02552","diagnostic procedure - therapeutic or preventive procedure"
"laboratory results","0.02552","laboratory or test result"
"treatment protocols","0.02392","therapeutic or preventive procedure"
"nitric oxide synthase","0.02392","enzyme"
"pharmacotherapy","0.02233","therapeutic or preventive procedure"
"atomoxetine","0.02233","organic chemical - pharmacologic substance"
"bipolar disorder","0.02233","mental or behavioral dysfunction"
"psychotropic drugs","0.02233","pharmacologic substance"
"allergy severity - severe","0.02233","finding"
"psychostimulant","0.02233","pharmacologic substance"
"mass of body structure","0.02233","finding"
"pervasive development disorder","0.02073","congenital abnormality - inorganic chemical - mental or behavioral dysfunction - pharmacologic substance"
"conduct disorder","0.02073","mental or behavioral dysfunction"
"ethanol","0.02073","organic chemical - pharmacologic substance"
"autism spectrum disorders","0.01754","congenital abnormality - mental or behavioral dysfunction"
"active brand of pseudoephedrine-triprolidine","0.01754","organic chemical - pharmacologic substance"
"disability","0.01595","finding"
"mild adverse event","0.01595","finding"
"pharmaceutical preparations","0.01435","pharmacologic substance"
"blind vision","0.01435","disease or syndrome"
"benzodiazepines","0.01276","organic chemical - pharmacologic substance"
"nicotine","0.01276","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"substance use disorders","0.01276","mental or behavioral dysfunction"
"tic disorder","0.01276","mental or behavioral dysfunction"
"learning disabilities","0.01276","mental or behavioral dysfunction"
"oppositional defiant disorder","0.01276","mental or behavioral dysfunction"
"amphetamine","0.01276","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"psychotic disorders","0.01116","mental or behavioral dysfunction"
"positive finding","0.01116","finding"
"osteochondritis dissecans","0.01116","disease or syndrome - mental or behavioral dysfunction"
"selective serotonin re-uptake inhibitor","0.01116","pharmacologic substance"
"screening for cancer","0.01116","diagnostic procedure"
"antidepressive agents","0.01116","pharmacologic substance"
"sexually active","0.01116","finding"
"behavior therapy","0.01116","therapeutic or preventive procedure"
"developmental disabilities","0.01116","mental or behavioral dysfunction"
"bony process","0.00957","body part, organ, or organ component"
"monoamine oxidase inhibitors","0.00957","organic chemical - pharmacologic substance"
"hypersensitivity","0.00957","clinical attribute - finding - pathologic function"
"illicit drugs","0.00797","hazardous or poisonous substance - pharmacologic substance"
"antipsychotic agents","0.00797","pharmacologic substance"
"substance abuse problem","0.00797","mental or behavioral dysfunction"
"obsessive-compulsive disorder","0.00797","disease or syndrome - mental or behavioral dysfunction"
"hypertensive disease","0.00797","biologically active substance - disease or syndrome - finding"
"compulsive disorder","0.00797","finding"
"asthma","0.00638","disease or syndrome"
"gilles de la tourette syndrome","0.00638","body part, organ, or organ component - disease or syndrome - finding - mental or behavioral dysfunction - neoplastic process"
"mental retardation","0.00638","mental or behavioral dysfunction"
"heart diseases","0.00638","disease or syndrome"
"epilepsy","0.00478","disease or syndrome"
"nervousness","0.00478","sign or symptom"
"breast","0.00478","body part, organ, or organ component"
"craniocerebral trauma","0.00478","injury or poisoning"
"unipolar depression","0.00478","mental or behavioral dysfunction"
"post-traumatic stress disorder","0.00478","mental or behavioral dysfunction"
"amphetamines","0.00478","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"stress disorders traumatic","0.00478","mental or behavioral dysfunction"
"heart rate","0.00478","clinical attribute"
"brain injuries","0.00478","injury or poisoning"
"neurological observations","0.00478","finding"
"diagnosis psychiatric","0.00478","mental or behavioral dysfunction"
"suicidal","0.00319","finding"
"unstable status","0.00319","finding"
"personality disorders","0.00319","mental or behavioral dysfunction"
"manic","0.00319","finding - mental or behavioral dysfunction"
"cardiovascular diseases","0.00319","disease or syndrome"
"hepatic","0.00319","body location or region"
"eating disorders","0.00319","mental or behavioral dysfunction"
"injury wounds","0.00319","body substance - injury or poisoning"
"major depressive disorder","0.00319","mental or behavioral dysfunction"
"diastolic blood pressure","0.00319","clinical attribute - diagnostic procedure - finding"
"nervous system disorder","0.00319","disease or syndrome"
"diastole","0.00319","clinical attribute"
"congenital heart defects","0.00159","congenital abnormality"
"fever","0.00159","finding"
"suicide risk","0.00159","finding"
"febrile convulsions","0.00159","disease or syndrome - pharmacologic substance"
"suicidality","0.00159","clinical attribute"
"glaucoma","0.00159","disease or syndrome - finding"
"family history","0.00159","congenital abnormality - disease or syndrome - enzyme - finding"
