"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"epilepsy","0.25926","disease or syndrome"
"autistic disorder","0.25432","mental or behavioral dysfunction"
"allergy severity - severe","0.17778","finding"
"hypersensitivity","0.16790","clinical attribute - finding - pathologic function"
"psychotic disorders","0.15309","mental or behavioral dysfunction"
"active brand of pseudoephedrine-triprolidine","0.15309","organic chemical - pharmacologic substance"
"schizophrenia","0.15062","mental or behavioral dysfunction"
"gene therapy","0.15062","therapeutic or preventive procedure"
"pharmacologic substance","0.14815","pharmacologic substance - therapeutic or preventive procedure"
"gravidity","0.13580","finding"
"unstable status","0.12346","finding"
"bipolar disorder","0.12099","mental or behavioral dysfunction"
"intravenous infusion procedures","0.12099","therapeutic or preventive procedure"
"nervous system disorder","0.11852","disease or syndrome"
"psychotropic drugs","0.11111","pharmacologic substance"
"tuberous sclerosis","0.10617","body part, organ, or organ component - congenital abnormality - disease or syndrome - finding - mental or behavioral dysfunction - neoplastic process - pharmacologic substance"
"hepatic","0.10370","body location or region"
"autism spectrum disorders","0.09877","congenital abnormality - mental or behavioral dysfunction"
"pharmaceutical preparations","0.09877","pharmacologic substance"
"pervasive development disorder","0.09630","congenital abnormality - inorganic chemical - mental or behavioral dysfunction - pharmacologic substance"
"antipsychotic agents","0.09630","pharmacologic substance"
"injury wounds","0.09383","body substance - injury or poisoning"
"fragile x syndrome","0.09383","congenital abnormality - disease or syndrome"
"physical assessment findings","0.08889","finding"
"substance abuse problem","0.08395","mental or behavioral dysfunction"
"craniocerebral trauma","0.08395","injury or poisoning"
"malignant neoplasms","0.08395","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"mental disorders","0.08395","mental or behavioral dysfunction"
"congenital abnormality","0.07901","congenital abnormality - disease or syndrome"
"ethanol","0.07654","organic chemical - pharmacologic substance"
"fever","0.07654","finding"
"contraceptive methods","0.07407","therapeutic or preventive procedure"
"childhood disintegrative disorder","0.07407","mental or behavioral dysfunction"
"cerebral palsy","0.07160","congenital abnormality - disease or syndrome - therapeutic or preventive procedure"
"paralysed","0.07160","finding"
"positive finding","0.06914","finding"
"nitric oxide synthase","0.06420","enzyme"
"depressed mood","0.06420","finding - mental or behavioral dysfunction"
"hypertensive disease","0.06173","biologically active substance - disease or syndrome - finding"
"suicidal","0.05926","finding"
"schizoaffective disorder","0.05926","mental or behavioral dysfunction"
"sexually active","0.05926","finding"
"hearing examination finding","0.05679","finding"
"developmental disabilities","0.05679","mental or behavioral dysfunction"
"hereditary diseases","0.05432","disease or syndrome"
"mental retardation","0.05432","mental or behavioral dysfunction"
"research outcome","0.05185","finding"
"antidepressive agents","0.05185","pharmacologic substance"
"brain injuries","0.04938","injury or poisoning"
"behavior therapy","0.04938","therapeutic or preventive procedure"
"gastrointestinal diseases","0.04691","disease or syndrome"
"febrile convulsions","0.04691","disease or syndrome - pharmacologic substance"
"pregnancy tests","0.04691","diagnostic procedure"
"blind vision","0.04691","disease or syndrome"
"genetic syndrome","0.04691","disease or syndrome"
