"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"intravenous infusion procedures","0.49149","therapeutic or preventive procedure"
"bipolar disorder","0.41915","mental or behavioral dysfunction"
"depressed mood","0.24362","finding - mental or behavioral dysfunction"
"bipolar i disorder","0.17553","mental or behavioral dysfunction"
"contraceptive methods","0.16702","therapeutic or preventive procedure"
"antipsychotic agents","0.14149","pharmacologic substance"
"schizophrenia","0.14043","mental or behavioral dysfunction"
"depressive episode unspecified","0.12128","mental or behavioral dysfunction"
"mental disorders","0.11702","mental or behavioral dysfunction"
"stabilizer - function","0.10213","organ or tissue function"
"lithium","0.10106","congenital abnormality - disease or syndrome - pharmacologic substance"
"nitric oxide synthase","0.08830","enzyme"
"schizoaffective disorder","0.08723","mental or behavioral dysfunction"
"antidepressive agents","0.07979","pharmacologic substance"
"pharmacologic substance","0.07021","pharmacologic substance - therapeutic or preventive procedure"
"severe combined immunodeficiency","0.07021","diagnostic procedure - disease or syndrome"
"mood disorders","0.07021","mental or behavioral dysfunction"
"major depressive disorder","0.06809","mental or behavioral dysfunction"
"bipolar ii disorder","0.06702","mental or behavioral dysfunction"
"physical assessment findings","0.06489","finding"
"negative finding","0.06277","finding"
"multiple endocrine neoplasia","0.06277","antibiotic - neoplastic process - organic chemical"
"manic episode","0.05745","mental or behavioral dysfunction"
"unipolar depression","0.05638","mental or behavioral dysfunction"
"psychotic disorders","0.05426","mental or behavioral dysfunction"
"pregnancy tests","0.05426","diagnostic procedure"
"olanzapine","0.05106","organic chemical - pharmacologic substance"
"active brand of pseudoephedrine-triprolidine","0.04894","organic chemical - pharmacologic substance"
"allergy severity - severe","0.04787","finding"
"tropical spastic paraparesis","0.04681","disease or syndrome - therapeutic or preventive procedure"
"psychotropic drugs","0.04681","pharmacologic substance"
"valproic acid","0.04681","body part, organ, or organ component - organic chemical - pharmacologic substance"
"operative surgical procedures","0.04574","diagnostic procedure - therapeutic or preventive procedure"
"risperidone","0.04468","organic chemical - pharmacologic substance"
"quetiapine","0.04362","organic chemical - pharmacologic substance"
"depression bipolar","0.04255","mental or behavioral dysfunction"
"gravidity","0.04149","finding"
"bleomycin-cisplatin protocol","0.03936","therapeutic or preventive procedure"
"moderate adverse event","0.03830","finding"
"atypia morphology","0.03830","finding"
"lamotrigine","0.03830","organic chemical - pharmacologic substance"
"ethanol","0.03723","organic chemical - pharmacologic substance"
"anxiety disorders","0.03617","finding - mental or behavioral dysfunction"
"binocular diameter","0.03617","clinical attribute - disease or syndrome - finding"
"pharmaceutical preparations","0.03404","pharmacologic substance"
"therapeutic brand of coal tar","0.03404","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"cancer remission","0.03404","finding - neoplastic process"
"body mass index","0.03298","clinical attribute - diagnostic procedure"
"medical history","0.03298","finding"
"serum","0.03191","biologically active substance - body substance - pharmacologic substance"
"aripiprazole","0.03085","organic chemical - pharmacologic substance"
"treatment protocols","0.02979","therapeutic or preventive procedure"
"magnetic resonance spectroscopy","0.02872","diagnostic procedure - disease or syndrome"
"hypomania","0.02766","mental or behavioral dysfunction"
"contraception barrier","0.02766","therapeutic or preventive procedure"
"sexually active","0.02766","finding"
"surgical revision","0.02660","therapeutic or preventive procedure"
"follow-up status","0.02660","finding"
"electrocardiogram","0.02553","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"depressive symptoms","0.02553","sign or symptom"
"attention deficit hyperactivity disorder","0.02553","disease or syndrome - mental or behavioral dysfunction"
"valproate","0.02553","pharmacologic substance"
"disease of diaphragm","0.02234","body part, organ, or organ component - disease or syndrome"
"ziprasidone","0.02128","organic chemical - pharmacologic substance"
"carbamazepine","0.02128","organic chemical - pharmacologic substance"
"mass of body structure","0.02128","finding"
"injectables","0.02021","pharmacologic substance"
"oral contraception","0.02021","pharmacologic substance - therapeutic or preventive procedure"
"alcoholic intoxication chronic","0.02021","mental or behavioral dysfunction"
"psychotic symptoms","0.02021","sign or symptom"
"substance abuse problem","0.01915","mental or behavioral dysfunction"
"borderline personality disorder","0.01915","disease or syndrome - mental or behavioral dysfunction"
"screening for cancer","0.01915","diagnostic procedure"
"pharmacotherapy","0.01809","therapeutic or preventive procedure"
"contraceptives oral","0.01809","pharmacologic substance - therapeutic or preventive procedure"
"suicidal","0.01596","finding"
"fluoxetine","0.01489","organic chemical - pharmacologic substance"
"magnetic resonance imaging","0.01489","diagnostic procedure"
"benign rolandic epilepsy","0.01489","disease or syndrome - therapeutic or preventive procedure"
"benzodiazepines","0.01383","organic chemical - pharmacologic substance"
"clozapine","0.01277","organic chemical - pharmacologic substance"
"anticonvulsants","0.01277","pharmacologic substance"
