"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"intravenous infusion procedures","0.552","therapeutic or preventive procedure"
"bipolar disorder","0.512","mental or behavioral dysfunction"
"pharmacologic substance","0.338","pharmacologic substance - therapeutic or preventive procedure"
"gravidity","0.324","finding"
"schizophrenia","0.317","mental or behavioral dysfunction"
"depressed mood","0.303","finding - mental or behavioral dysfunction"
"ethanol","0.281","organic chemical - pharmacologic substance"
"contraceptive methods","0.279","therapeutic or preventive procedure"
"unstable status","0.267","finding"
"antipsychotic agents","0.265","pharmacologic substance"
"suicidal","0.244","finding"
"active brand of pseudoephedrine-triprolidine","0.231","organic chemical - pharmacologic substance"
"substance abuse problem","0.227","mental or behavioral dysfunction"
"psychotic disorders","0.221","mental or behavioral dysfunction"
"mental disorders","0.221","mental or behavioral dysfunction"
"schizoaffective disorder","0.211","mental or behavioral dysfunction"
"allergy severity - severe","0.194","finding"
"hypersensitivity","0.190","clinical attribute - finding - pathologic function"
"bipolar i disorder","0.189","mental or behavioral dysfunction"
"antidepressive agents","0.181","pharmacologic substance"
"lithium","0.164","congenital abnormality - disease or syndrome - pharmacologic substance"
"stabilizer - function","0.161","organ or tissue function"
"pharmaceutical preparations","0.150","pharmacologic substance"
"depressive episode unspecified","0.136","mental or behavioral dysfunction"
"hepatic","0.135","body location or region"
"physical assessment findings","0.133","finding"
"substance dependence","0.129","mental or behavioral dysfunction"
"mental retardation","0.127","mental or behavioral dysfunction"
"positive finding","0.116","finding"
"caffeine","0.104","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"mood disorders","0.102","mental or behavioral dysfunction"
"nitric oxide synthase","0.100","enzyme"
"psychotropic drugs","0.098","pharmacologic substance"
"major depressive disorder","0.091","mental or behavioral dysfunction"
"nervous system disorder","0.089","disease or syndrome"
"pregnancy tests","0.084","diagnostic procedure"
"manic episode","0.083","mental or behavioral dysfunction"
"severe combined immunodeficiency","0.080","diagnostic procedure - disease or syndrome"
"benzodiazepines","0.079","organic chemical - pharmacologic substance"
"screening for cancer","0.079","diagnostic procedure"
"olanzapine","0.079","organic chemical - pharmacologic substance"
"suicide attempt","0.079","finding - mental or behavioral dysfunction"
"congenital abnormality","0.078","congenital abnormality - disease or syndrome"
"unipolar depression","0.078","mental or behavioral dysfunction"
"negative finding","0.077","finding"
"bipolar ii disorder","0.076","mental or behavioral dysfunction"
"fluoxetine","0.076","organic chemical - pharmacologic substance"
"personality disorders","0.073","mental or behavioral dysfunction"
"breast","0.073","body part, organ, or organ component"
"benign rolandic epilepsy","0.073","disease or syndrome - therapeutic or preventive procedure"
"risperidone","0.072","organic chemical - pharmacologic substance"
"anxiety disorders","0.072","finding - mental or behavioral dysfunction"
"multiple endocrine neoplasia","0.072","antibiotic - neoplastic process - organic chemical"
"electrocardiogram","0.072","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"hematological disease","0.071","disease or syndrome"
"quetiapine","0.070","organic chemical - pharmacologic substance"
"electroconvulsive therapy","0.069","disease or syndrome - therapeutic or preventive procedure"
"carbamazepine","0.068","organic chemical - pharmacologic substance"
"operative surgical procedures","0.068","diagnostic procedure - therapeutic or preventive procedure"
"hypertensive disease","0.068","biologically active substance - disease or syndrome - finding"
"thyroid gland","0.068","body part, organ, or organ component - disease or syndrome - pharmacologic substance"
"lamotrigine","0.067","organic chemical - pharmacologic substance"
"valproic acid","0.065","body part, organ, or organ component - organic chemical - pharmacologic substance"
"craniocerebral trauma","0.063","injury or poisoning"
"alcoholic intoxication chronic","0.062","mental or behavioral dysfunction"
"hypothyroidism","0.061","disease or syndrome"
"psychotic symptoms","0.061","sign or symptom"
"injury wounds","0.057","body substance - injury or poisoning"
"medical history","0.057","finding"
"magnetic resonance imaging","0.056","diagnostic procedure"
"malignant neoplasms","0.055","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"clozapine","0.055","organic chemical - pharmacologic substance"
"hyperthyroidism","0.055","disease or syndrome"
"cancer remission","0.054","finding - neoplastic process"
"psychotherapy","0.054","therapeutic or preventive procedure"
"alcohol abuse","0.054","mental or behavioral dysfunction"
"atypia morphology","0.054","finding"
"depression bipolar","0.053","mental or behavioral dysfunction"
"infantile neuroaxonal dystrophy","0.053","disease or syndrome"
"heart diseases","0.053","disease or syndrome"
"moderate adverse event","0.052","finding"
"tropical spastic paraparesis","0.051","disease or syndrome - therapeutic or preventive procedure"
"diabetes mellitus","0.050","disease or syndrome - pharmacologic substance"
"homicidal","0.050","mental or behavioral dysfunction"
"aripiprazole","0.049","organic chemical - pharmacologic substance"
"therapeutic brand of coal tar","0.049","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"valproate","0.049","pharmacologic substance"
"developmental disabilities","0.048","mental or behavioral dysfunction"
"cerebrovascular accident","0.048","disease or syndrome - therapeutic or preventive procedure"
"pervasive development disorder","0.047","congenital abnormality - inorganic chemical - mental or behavioral dysfunction - pharmacologic substance"
"medical contraindication","0.046","finding"
"sexually active","0.046","finding"
"serum","0.046","biologically active substance - body substance - pharmacologic substance"
"obsessive-compulsive disorder","0.046","disease or syndrome - mental or behavioral dysfunction"
"attention deficit hyperactivity disorder","0.045","disease or syndrome - mental or behavioral dysfunction"
"nervousness","0.045","sign or symptom"
"body mass index","0.045","clinical attribute - diagnostic procedure"
"bleomycin-cisplatin protocol","0.044","therapeutic or preventive procedure"
"injectables","0.044","pharmacologic substance"
"binocular diameter","0.043","clinical attribute - disease or syndrome - finding"
"neurological observations","0.043","finding"
"relate - vinyl resin","0.041","organic chemical"
"investigational new drugs","0.041","pharmacologic substance - therapeutic or preventive procedure"
"delusional disorder","0.040","mental or behavioral dysfunction"
"borderline personality disorder","0.040","disease or syndrome - mental or behavioral dysfunction"
"hypomania","0.039","mental or behavioral dysfunction"
"follow-up status","0.039","finding"
"monoamine oxidase inhibitors","0.039","organic chemical - pharmacologic substance"
"pharmacotherapy","0.038","therapeutic or preventive procedure"
"ziprasidone","0.038","organic chemical - pharmacologic substance"
"implantation procedure","0.037","therapeutic or preventive procedure"
"nicotine dependence","0.037","mental or behavioral dysfunction"
"brain injuries","0.036","injury or poisoning"
"multiple sclerosis","0.036","body part, organ, or organ component - disease or syndrome - finding"
"hiv","0.036","disease or syndrome - pharmacologic substance - virus"
"contraception barrier","0.036","therapeutic or preventive procedure"
"cardiac arrhythmia","0.036","finding - pathologic function"
"contraceptives oral","0.036","pharmacologic substance - therapeutic or preventive procedure"
"surgical revision","0.036","therapeutic or preventive procedure"
"stimulant","0.036","pharmacologic substance"
"magnetic resonance spectroscopy","0.035","diagnostic procedure - disease or syndrome"
"delirium dementia amnestic cognitive disorders","0.035","mental or behavioral dysfunction"
"experimental drug","0.035","pharmacologic substance"
"depressive symptoms","0.035","sign or symptom"
"autistic disorder","0.035","mental or behavioral dysfunction"
"kidney diseases","0.034","disease or syndrome"
"treatment protocols","0.034","therapeutic or preventive procedure"
