"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"attention deficit hyperactivity disorder","0.38272","disease or syndrome - mental or behavioral dysfunction"
"intravenous infusion procedures","0.32716","therapeutic or preventive procedure"
"autistic disorder","0.14043","mental or behavioral dysfunction"
"hyperactive behavior","0.08488","finding"
"mental disorders","0.07407","mental or behavioral dysfunction"
"anxiety disorders","0.07099","finding - mental or behavioral dysfunction"
"depressed mood","0.07099","finding - mental or behavioral dysfunction"
"autism spectrum disorders","0.06019","congenital abnormality - mental or behavioral dysfunction"
"pervasive development disorder","0.06019","congenital abnormality - inorganic chemical - mental or behavioral dysfunction - pharmacologic substance"
"pharmacologic substance","0.05556","pharmacologic substance - therapeutic or preventive procedure"
"attention deficit disorder","0.05247","disease or syndrome - mental or behavioral dysfunction"
"body mass index","0.04784","clinical attribute - diagnostic procedure"
"mood disorders","0.04475","mental or behavioral dysfunction"
"stimulant","0.04321","pharmacologic substance"
"major depressive disorder","0.04321","mental or behavioral dysfunction"
"negative finding","0.04167","finding"
"psychotropic drugs","0.04167","pharmacologic substance"
"supernumerary mandibular right primary canine","0.04167","body part, organ, or organ component"
"physical assessment findings","0.04167","finding"
"nitric oxide synthase","0.04012","enzyme"
"sexual intercourse - finding","0.04012","finding"
"observation - diagnostic procedure","0.03858","diagnostic procedure"
"pregnancy tests","0.03858","diagnostic procedure"
"schizophrenia","0.03704","mental or behavioral dysfunction"
"phobic anxiety disorder","0.03549","mental or behavioral dysfunction"
"generalized anxiety disorder","0.03395","mental or behavioral dysfunction"
"moderate adverse event","0.03395","finding"
"phobia social","0.03395","mental or behavioral dysfunction"
"developmental disabilities","0.03395","mental or behavioral dysfunction"
"diastasis","0.03241","pathologic function"
"anxiety generalized","0.03241","mental or behavioral dysfunction"
"separation anxiety disorder","0.03086","mental or behavioral dysfunction"
"methylphenidate","0.03086","organic chemical - pharmacologic substance"
"hoxa10 protein human","0.03086","biologically active substance - body location or region"
"surgical revision","0.02932","therapeutic or preventive procedure"
"gravidity","0.02778","finding"
"allergy severity - severe","0.02778","finding"
"contraceptive methods","0.02623","therapeutic or preventive procedure"
"electrocardiogram","0.02469","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"conduct disorder","0.02160","mental or behavioral dysfunction"
"treatment protocols","0.02160","therapeutic or preventive procedure"
"antipsychotic agents","0.02160","pharmacologic substance"
"obsessive-compulsive disorder","0.02160","disease or syndrome - mental or behavioral dysfunction"
"serum","0.02160","biologically active substance - body substance - pharmacologic substance"
"relate - vinyl resin","0.02006","organic chemical"
"active brand of pseudoephedrine-triprolidine","0.02006","organic chemical - pharmacologic substance"
"blood pressure finding","0.02006","finding"
"congenital abnormality","0.02006","congenital abnormality - disease or syndrome"
"post-traumatic stress disorder","0.02006","mental or behavioral dysfunction"
"positive finding","0.01852","finding"
"selective serotonin re-uptake inhibitor","0.01852","pharmacologic substance"
"disability","0.01543","finding"
"bipolar disorder","0.01543","mental or behavioral dysfunction"
"osteochondritis dissecans","0.01543","disease or syndrome - mental or behavioral dysfunction"
"oppositional defiant disorder","0.01543","mental or behavioral dysfunction"
"aggressive behavior","0.01543","mental or behavioral dysfunction"
"tic disorder","0.01389","mental or behavioral dysfunction"
"medical history","0.01389","finding"
"unipolar depression","0.01389","mental or behavioral dysfunction"
"gene therapy","0.01235","therapeutic or preventive procedure"
"compulsive disorder","0.01235","finding"
"malignant neoplasms","0.01235","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"epilepsy","0.01080","disease or syndrome"
"pharmacotherapy","0.01080","therapeutic or preventive procedure"
"fluoxetine","0.01080","organic chemical - pharmacologic substance"
"injury wounds","0.01080","body substance - injury or poisoning"
"screening for cancer","0.01080","diagnostic procedure"
"antidepressive agents","0.01080","pharmacologic substance"
"psychotic disorders","0.00926","mental or behavioral dysfunction"
"behavior therapy","0.00926","therapeutic or preventive procedure"
"ethanol","0.00772","organic chemical - pharmacologic substance"
"pharmaceutical preparations","0.00772","pharmacologic substance"
"substance abuse problem","0.00772","mental or behavioral dysfunction"
"hypersensitivity","0.00772","clinical attribute - finding - pathologic function"
"atomoxetine","0.00617","organic chemical - pharmacologic substance"
"heart diseases","0.00617","disease or syndrome"
"psychotherapy","0.00617","therapeutic or preventive procedure"
"kidney","0.00617","body part, organ, or organ component"
"suicidal","0.00463","finding"
"anticonvulsants","0.00463","pharmacologic substance"
"craniocerebral trauma","0.00463","injury or poisoning"
"unstable status","0.00463","finding"
"hypertensive disease","0.00463","biologically active substance - disease or syndrome - finding"
"nervousness","0.00309","sign or symptom"
"schizoaffective disorder","0.00309","mental or behavioral dysfunction"
"cardiovascular diseases","0.00309","disease or syndrome"
"eating disorders","0.00309","mental or behavioral dysfunction"
"mental retardation","0.00309","mental or behavioral dysfunction"
"brain injuries","0.00309","injury or poisoning"
"diagnosis psychiatric","0.00309","mental or behavioral dysfunction"
"monoamine oxidase inhibitors","0.00154","organic chemical - pharmacologic substance"
"stress disorders traumatic","0.00154","mental or behavioral dysfunction"
"neurological observations","0.00154","finding"
"drug abuse","0.00154","mental or behavioral dysfunction"
"nervous system disorder","0.00154","disease or syndrome"
"fever","0.00154","finding"
