"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"psychotic disorders","0.26976","mental or behavioral dysfunction"
"ethanol","0.22647","organic chemical - pharmacologic substance"
"pharmacologic substance","0.21089","pharmacologic substance - therapeutic or preventive procedure"
"bipolar disorder","0.20367","mental or behavioral dysfunction"
"allergy severity - severe","0.18629","finding"
"gravidity","0.18613","finding"
"depressed mood","0.17662","finding - mental or behavioral dysfunction"
"substance abuse problem","0.17498","mental or behavioral dysfunction"
"suicidal","0.16333","finding"
"schizophrenia","0.15989","mental or behavioral dysfunction"
"mental disorders","0.15743","mental or behavioral dysfunction"
"intravenous infusion procedures","0.15103","therapeutic or preventive procedure"
"unstable status","0.14562","finding"
"active brand of pseudoephedrine-triprolidine","0.13529","organic chemical - pharmacologic substance"
"antidepressive agents","0.11364","pharmacologic substance"
"hypersensitivity","0.11217","clinical attribute - finding - pathologic function"
"pharmaceutical preparations","0.10512","pharmacologic substance"
"psychotropic drugs","0.08691","pharmacologic substance"
"kidney","0.08396","body part, organ, or organ component"
"physical assessment findings","0.08314","finding"
"contraceptive methods","0.08068","therapeutic or preventive procedure"
"dementia","0.07970","mental or behavioral dysfunction"
"positive finding","0.07855","finding"
"malignant neoplasms","0.07691","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"mental retardation","0.07675","mental or behavioral dysfunction"
"anxiety disorders","0.07642","finding - mental or behavioral dysfunction"
"hypertensive disease","0.07297","biologically active substance - disease or syndrome - finding"
"psychotherapy","0.06920","therapeutic or preventive procedure"
"antipsychotic agents","0.06904","pharmacologic substance"
"hepatic","0.06494","body location or region"
"major depressive disorder","0.06396","mental or behavioral dysfunction"
"nervous system disorder","0.05772","disease or syndrome"
"nicotine","0.05690","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"substance dependence","0.05543","mental or behavioral dysfunction"
"suicide attempt","0.05510","finding - mental or behavioral dysfunction"
"craniocerebral trauma","0.05444","injury or poisoning"
"personality disorders","0.05297","mental or behavioral dysfunction"
"schizoaffective disorder","0.05248","mental or behavioral dysfunction"
"impaired cognition","0.05133","finding - mental or behavioral dysfunction"
"obsessive-compulsive disorder","0.05067","disease or syndrome - mental or behavioral dysfunction"
"unipolar depression","0.05034","mental or behavioral dysfunction"
"congenital abnormality","0.04903","congenital abnormality - disease or syndrome"
"cerebrovascular accident","0.04772","disease or syndrome - therapeutic or preventive procedure"
"pervasive development disorder","0.04723","congenital abnormality - inorganic chemical - mental or behavioral dysfunction - pharmacologic substance"
"developmental disabilities","0.04723","mental or behavioral dysfunction"
"post-traumatic stress disorder","0.04575","mental or behavioral dysfunction"
"eating disorders","0.04575","mental or behavioral dysfunction"
"injury wounds","0.04526","body substance - injury or poisoning"
"benzodiazepines","0.04526","organic chemical - pharmacologic substance"
"heart diseases","0.04395","disease or syndrome"
"attention deficit hyperactivity disorder","0.04378","disease or syndrome - mental or behavioral dysfunction"
"breast","0.04133","body part, organ, or organ component"
"monoamine oxidase inhibitors","0.04018","organic chemical - pharmacologic substance"
"electrocardiogram","0.04001","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"screening for cancer","0.03985","diagnostic procedure"
"alcoholic intoxication chronic","0.03952","mental or behavioral dysfunction"
"caffeine","0.03903","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"manic","0.03854","finding - mental or behavioral dysfunction"
"infantile neuroaxonal dystrophy","0.03805","disease or syndrome"
"suicidality","0.03805","clinical attribute"
"blood pressure finding","0.03641","finding"
"fluoxetine","0.03542","organic chemical - pharmacologic substance"
"electroconvulsive therapy","0.03542","disease or syndrome - therapeutic or preventive procedure"
"myocardial infarction","0.03526","disease or syndrome - finding"
"diabetes","0.03460","disease or syndrome"
"alcohol abuse","0.03411","mental or behavioral dysfunction"
"cardiovascular diseases","0.03378","disease or syndrome"
"depressive episode unspecified","0.03378","mental or behavioral dysfunction"
"stress disorders traumatic","0.03313","mental or behavioral dysfunction"
"magnetic resonance imaging","0.03247","diagnostic procedure"
"benign rolandic epilepsy","0.03247","disease or syndrome - therapeutic or preventive procedure"
"drug abuse","0.03247","mental or behavioral dysfunction"
"mood disorders","0.03181","mental or behavioral dysfunction"
"investigational new drugs","0.03050","pharmacologic substance - therapeutic or preventive procedure"
"disability","0.02985","finding"
"autistic disorder","0.02968","mental or behavioral dysfunction"
"pregnancy tests","0.02952","diagnostic procedure"
"hiv","0.02903","disease or syndrome - pharmacologic substance - virus"
"psychiatric problem","0.02853","mental or behavioral dysfunction"
"thyroid gland","0.02853","body part, organ, or organ component - disease or syndrome - pharmacologic substance"
"neoplasm metastasis","0.02837","neoplastic process"
"psychotic symptoms","0.02821","sign or symptom"
"stimulant","0.02788","pharmacologic substance"
"pharmacotherapy","0.02689","therapeutic or preventive procedure"
"illicit drugs","0.02673","hazardous or poisonous substance - pharmacologic substance"
"compulsive disorder","0.02657","finding"
"moderate adverse event","0.02640","finding"
"relate - vinyl resin","0.02525","organic chemical"
"cognitive therapy","0.02509","diagnostic procedure - enzyme - hazardous or poisonous substance - therapeutic or preventive procedure"
"panic disorder","0.02476","disease or syndrome - mental or behavioral dysfunction"
"stabilizer - function","0.02378","organ or tissue function"
"operative surgical procedures","0.02345","diagnostic procedure - therapeutic or preventive procedure"
"selective serotonin re-uptake inhibitor","0.02329","pharmacologic substance"
"severe combined immunodeficiency","0.02132","diagnostic procedure - disease or syndrome"
"mini-mental status exam","0.02115","diagnostic procedure"
"body mass index","0.02001","clinical attribute - diagnostic procedure"
"generalized anxiety disorder","0.01935","mental or behavioral dysfunction"
"medical history","0.01607","finding"
"depressive symptoms","0.01492","sign or symptom"
"tropical spastic paraparesis","0.01394","disease or syndrome - therapeutic or preventive procedure"
"mass of body structure","0.01263","finding"
"follow-up status","0.01246","finding"
"mild adverse event","0.01164","finding"
"negative finding","0.00984","finding"
"unmarried","0.00886","finding"
"multiple endocrine neoplasia","0.00787","antibiotic - neoplastic process - organic chemical"
