"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"intravenous infusion procedures","0.325","therapeutic or preventive procedure"
"depressed mood","0.325","finding - mental or behavioral dysfunction"
"psychotic disorders","0.283","mental or behavioral dysfunction"
"pharmacologic substance","0.247","pharmacologic substance - therapeutic or preventive procedure"
"ethanol","0.247","organic chemical - pharmacologic substance"
"bipolar disorder","0.235","mental or behavioral dysfunction"
"gravidity","0.214","finding"
"allergy severity - severe","0.206","finding"
"mental disorders","0.205","mental or behavioral dysfunction"
"substance abuse problem","0.185","mental or behavioral dysfunction"
"major depressive disorder","0.184","mental or behavioral dysfunction"
"schizophrenia","0.184","mental or behavioral dysfunction"
"suicidal","0.173","finding"
"antidepressive agents","0.173","pharmacologic substance"
"active brand of pseudoephedrine-triprolidine","0.163","organic chemical - pharmacologic substance"
"contraceptive methods","0.153","therapeutic or preventive procedure"
"unstable status","0.151","finding"
"physical assessment findings","0.131","finding"
"pharmaceutical preparations","0.121","pharmacologic substance"
"hypersensitivity","0.115","clinical attribute - finding - pathologic function"
"anxiety disorders","0.113","finding - mental or behavioral dysfunction"
"psychotropic drugs","0.110","pharmacologic substance"
"unipolar depression","0.109","mental or behavioral dysfunction"
"positive finding","0.107","finding"
"attention deficit hyperactivity disorder","0.102","disease or syndrome - mental or behavioral dysfunction"
"malignant neoplasms","0.100","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"depressive episode unspecified","0.092","mental or behavioral dysfunction"
"kidney","0.090","body part, organ, or organ component"
"dementia","0.090","mental or behavioral dysfunction"
"antipsychotic agents","0.088","pharmacologic substance"
"hypertensive disease","0.085","biologically active substance - disease or syndrome - finding"
"mental retardation","0.080","mental or behavioral dysfunction"
"psychotherapy","0.079","therapeutic or preventive procedure"
"body mass index","0.070","clinical attribute - diagnostic procedure"
"hepatic","0.069","body location or region"
"moderate adverse event","0.069","finding"
"post-traumatic stress disorder","0.066","mental or behavioral dysfunction"
"schizoaffective disorder","0.065","mental or behavioral dysfunction"
"pregnancy tests","0.063","diagnostic procedure"
"suicide attempt","0.061","finding - mental or behavioral dysfunction"
"nicotine","0.061","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"congenital abnormality","0.060","congenital abnormality - disease or syndrome"
"nervous system disorder","0.060","disease or syndrome"
"negative finding","0.060","finding"
"substance dependence","0.059","mental or behavioral dysfunction"
"obsessive-compulsive disorder","0.058","disease or syndrome - mental or behavioral dysfunction"
"personality disorders","0.058","mental or behavioral dysfunction"
"impaired cognition","0.058","finding - mental or behavioral dysfunction"
"electrocardiogram","0.057","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"craniocerebral trauma","0.056","injury or poisoning"
"screening for cancer","0.055","diagnostic procedure"
"multiple endocrine neoplasia","0.055","antibiotic - neoplastic process - organic chemical"
"benzodiazepines","0.054","organic chemical - pharmacologic substance"
"pervasive development disorder","0.054","congenital abnormality - inorganic chemical - mental or behavioral dysfunction - pharmacologic substance"
"cerebrovascular accident","0.053","disease or syndrome - therapeutic or preventive procedure"
"injury wounds","0.053","body substance - injury or poisoning"
"developmental disabilities","0.051","mental or behavioral dysfunction"
"blood pressure finding","0.051","finding"
"mood disorders","0.050","mental or behavioral dysfunction"
"infantile neuroaxonal dystrophy","0.050","disease or syndrome"
"alcoholic intoxication chronic","0.049","mental or behavioral dysfunction"
"manic","0.049","finding - mental or behavioral dysfunction"
"severe combined immunodeficiency","0.049","diagnostic procedure - disease or syndrome"
"heart diseases","0.049","disease or syndrome"
"relate - vinyl resin","0.047","organic chemical"
"eating disorders","0.047","mental or behavioral dysfunction"
"tropical spastic paraparesis","0.047","disease or syndrome - therapeutic or preventive procedure"
"breast","0.045","body part, organ, or organ component"
"fluoxetine","0.045","organic chemical - pharmacologic substance"
"pharmacotherapy","0.044","therapeutic or preventive procedure"
"operative surgical procedures","0.043","diagnostic procedure - therapeutic or preventive procedure"
"monoamine oxidase inhibitors","0.042","organic chemical - pharmacologic substance"
"diabetes","0.041","disease or syndrome"
"autistic disorder","0.041","mental or behavioral dysfunction"
"caffeine","0.041","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"depressive symptoms","0.041","sign or symptom"
"hiv","0.041","disease or syndrome - pharmacologic substance - virus"
"suicidality","0.040","clinical attribute"
"magnetic resonance imaging","0.040","diagnostic procedure"
"stress disorders traumatic","0.039","mental or behavioral dysfunction"
