"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"hypersensitivity","0.20904","clinical attribute - finding - pathologic function"
"allergy severity - severe","0.15819","finding"
"ethanol","0.13559","organic chemical - pharmacologic substance"
"pharmacologic substance","0.13559","pharmacologic substance - therapeutic or preventive procedure"
"gravidity","0.12429","finding"
"pharmaceutical preparations","0.11864","pharmacologic substance"
"epilepsy","0.10169","disease or syndrome"
"cardiac arrhythmia","0.09605","finding - pathologic function"
"active brand of pseudoephedrine-triprolidine","0.09040","organic chemical - pharmacologic substance"
"heart ventricle","0.09040","body part, organ, or organ component"
"heart diseases","0.09040","disease or syndrome"
"mental disorders","0.09040","mental or behavioral dysfunction"
"consciousness related finding","0.08475","finding"
"blood pressure finding","0.07910","finding"
"hypertensive disease","0.07910","biologically active substance - disease or syndrome - finding"
"injury wounds","0.07345","body substance - injury or poisoning"
"unconscious state","0.07345","disease or syndrome - finding"
"positive finding","0.06780","finding"
"malignant neoplasms","0.06780","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"hepatic","0.06215","body location or region"
"refusal","0.06215","organic chemical - pharmacologic substance"
"implantation procedure","0.06215","therapeutic or preventive procedure"
"cardiac conduction","0.06215","organ or tissue function"
"follow-up status","0.05650","finding"
"congestive heart failure","0.05085","congenital abnormality - disease or syndrome"
"arteries","0.05085","body part, organ, or organ component"
"substance abuse problem","0.05085","mental or behavioral dysfunction"
"myocardial infarction","0.05085","disease or syndrome - finding"
"magnetic resonance imaging","0.05085","diagnostic procedure"
"brain injuries","0.05085","injury or poisoning"
"medical contraindication","0.05085","finding"
"kidney diseases","0.04520","disease or syndrome"
"psychotic disorders","0.04520","mental or behavioral dysfunction"
"liver diseases","0.04520","disease or syndrome"
"hemodynamics","0.04520","organ or tissue function"
"sinoatrial node","0.04520","body part, organ, or organ component"
"craniocerebral trauma","0.04520","injury or poisoning"
"unstable status","0.04520","finding"
"comatose","0.04520","congenital abnormality - disease or syndrome"
"mental status adverse event","0.03955","finding"
"nervousness","0.03955","sign or symptom"
"breast","0.03955","body part, organ, or organ component"
"adverse event associated with death","0.03955","finding"
"traumatic brain injury","0.03955","disease or syndrome - injury or poisoning"
"airway structure","0.03955","body part, organ, or organ component"
"structure of carotid sinus","0.03955","body part, organ, or organ component"
"cardiomyopathies","0.03955","disease or syndrome"
"hypertrophy","0.03955","disease or syndrome - pathologic function - therapeutic or preventive procedure"
"neurological observations","0.03955","finding"
"life expectancy","0.03955","group attribute"
"tricyclic antidepressive agents","0.03390","pharmacologic substance"
"pathology processes","0.03390","pathologic function"
"contraceptive methods","0.03390","therapeutic or preventive procedure"
"transient ischemic attack","0.03390","disease or syndrome"
"arteriopathic disease","0.03390","disease or syndrome"
"chronic obstructive airway disease","0.03390","disease or syndrome"
"relate - vinyl resin","0.03390","organic chemical"
"hypotension orthostatic","0.03390","finding"
"hypoglycemia","0.03390","disease or syndrome"
"anticoagulants","0.03390","pharmacologic substance"
"observation of attack","0.03390","finding"
"hemodynamic instability","0.03390","disease or syndrome"
"cardiac arrest","0.03390","disease or syndrome - finding"
"blood coagulation disorders","0.03390","disease or syndrome - organ or tissue function - pathologic function"
"nervous system disorder","0.03390","disease or syndrome"
"hypertrophic cardiomyopathy","0.03390","disease or syndrome"
"cerebrovascular accident","0.03390","disease or syndrome - therapeutic or preventive procedure"
"coronary artery disease","0.03390","diagnostic procedure - disease or syndrome - therapeutic or preventive procedure"
"body mass index","0.02825","clinical attribute - diagnostic procedure"
"type ii mucolipidosis","0.02825","disease or syndrome"
"fibrillations","0.02825","disease or syndrome"
"congenital abnormality","0.02825","congenital abnormality - disease or syndrome"
"lung","0.02825","body part, organ, or organ component - disease or syndrome"
"intravenous infusion procedures","0.02825","therapeutic or preventive procedure"
"aspirin","0.02825","organic chemical - pharmacologic substance"
"heart atrium","0.02825","body part, organ, or organ component"
"intracranial pressure","0.02825","organ or tissue function"
"atrioventricular block","0.02825","disease or syndrome"
"bradycardia","0.02825","pathologic function"
"fracture","0.02825","finding - injury or poisoning"
"neck","0.02825","body location or region"
"alcohol abuse","0.02825","mental or behavioral dysfunction"
"pregnancy tests","0.02260","diagnostic procedure"
"hearing examination finding","0.02260","finding"
"brain death","0.02260","pathologic function"
"tachycardia ventricular","0.02260","finding - pathologic function"
"physical assessment findings","0.02260","finding"
"mass of body structure","0.02260","finding"
"gclc protein human","0.01695","enzyme"
"disability","0.01695","finding"
"vasovagal syncope","0.01695","disease or syndrome - finding"
"sedation","0.01695","sign or symptom - therapeutic or preventive procedure"
"negative finding","0.01695","finding"
"level of consciousness","0.01695","finding"
"atrial fibrillation","0.01695","finding - pathologic function"
"diabetes mellitus insulin-dependent","0.01130","disease or syndrome"
"syncopal episode","0.00565","sign or symptom"
"national origin","0.00565","clinical attribute"
"mechanical ventilation","0.00565","therapeutic or preventive procedure"
