"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"mechanical detachment","0.16575","pathologic function"
"retina","0.14365","body part, organ, or organ component - disease or syndrome - organic chemical - pharmacologic substance"
"contraceptive methods","0.11602","therapeutic or preventive procedure"
"neoplasm metastasis","0.09392","neoplastic process"
"pharmacologic substance","0.07182","pharmacologic substance - therapeutic or preventive procedure"
"operative surgical procedures","0.07182","diagnostic procedure - therapeutic or preventive procedure"
"negative finding","0.06630","finding"
"relate - vinyl resin","0.06630","organic chemical"
"kidney transplantation","0.06630","body part, organ, or organ component - finding - therapeutic or preventive procedure"
"atrial fibrillation","0.06630","finding - pathologic function"
"treatment protocols","0.06077","therapeutic or preventive procedure"
"heart atrium","0.06077","body part, organ, or organ component"
"epilepsy","0.05525","disease or syndrome"
"intravenous infusion procedures","0.04972","therapeutic or preventive procedure"
"malignant neoplasms","0.04972","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"rhegmatogenous retinal detachment","0.04420","disease or syndrome"
"tomography optical coherence","0.04420","diagnostic procedure - enzyme"
"pharmaceutical preparations","0.04420","pharmacologic substance"
"unmarried","0.04420","finding"
"gravidity","0.04420","finding"
"electric countershock","0.04420","therapeutic or preventive procedure"
"pregnancy tests","0.04420","diagnostic procedure"
"corrected visual acuity","0.04420","clinical attribute"
"positive finding","0.03867","finding"
"hemodialysis","0.03867","therapeutic or preventive procedure"
"blood pressure finding","0.03867","finding"
"fibrillations","0.03867","disease or syndrome"
"retinal diseases","0.03867","disease or syndrome - finding"
"renal function","0.03867","organ or tissue function"
"follow-up status","0.03867","finding"
"antiepileptic agents","0.03315","pharmacologic substance"
"arteries","0.03315","body part, organ, or organ component"
"veins","0.03315","body part, organ, or organ component"
"active brand of pseudoephedrine-triprolidine","0.03315","organic chemical - pharmacologic substance"
"systolic pressure","0.03315","clinical attribute - diagnostic procedure"
"pregnancy test negative","0.03315","finding - laboratory or test result"
"mild adverse event","0.03315","finding"
"multiple sclerosis","0.03315","body part, organ, or organ component - disease or syndrome - finding"
"tacrolimus","0.03315","organic chemical - pharmacologic substance"
"abnormal degeneration","0.02762","pathologic function"
"skeletal bone","0.02762","body location or region - body part, organ, or organ component - body substance - disease or syndrome"
"magnetic resonance imaging","0.02762","diagnostic procedure"
"folic acid","0.02762","disease or syndrome - organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"allergy severity - severe","0.02762","finding"
"immobile","0.02762","body substance - finding"
"stomach","0.02762","body part, organ, or organ component - disease or syndrome"
"macule","0.02762","body part, organ, or organ component - sign or symptom"
"multiple endocrine neoplasia","0.02762","antibiotic - neoplastic process - organic chemical"
"transplantation homologous","0.02210","therapeutic or preventive procedure"
"diastolic blood pressure","0.02210","clinical attribute - diagnostic procedure - finding"
"body mass index","0.02210","clinical attribute - diagnostic procedure"
"physical assessment findings","0.02210","finding"
"myocardial infarction","0.02210","disease or syndrome - finding"
"direct current cardioversion","0.02210","therapeutic or preventive procedure"
"bevacizumab","0.02210","pharmacologic substance"
"injury wounds","0.02210","body substance - injury or poisoning"
"hypertensive disease","0.02210","biologically active substance - disease or syndrome - finding"
"electrocardiogram","0.02210","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"anticoagulants","0.02210","pharmacologic substance"
"carcinoma in situ","0.02210","biologically active substance - neoplastic process"
"proliferative vitreoretinopathy","0.02210","disease or syndrome"
"diabetic retinopathy","0.02210","disease or syndrome"
"adrenal cortex hormones","0.02210","pharmacologic substance"
"aspartate transaminase","0.02210","enzyme"
"contraceptives oral","0.02210","pharmacologic substance - therapeutic or preventive procedure"
"diastole","0.02210","clinical attribute"
"serum creatinine level","0.02210","laboratory or test result"
"recurrent malignant neoplasm","0.01657","neoplastic process"
"finding of platelet count","0.01657","laboratory or test result"
"creatinine clearance","0.01657","finding"
"transaminases","0.01657","enzyme"
"alanine transaminase","0.01657","congenital abnormality - disease or syndrome - enzyme"
"immunosuppressive agents","0.01657","pharmacologic substance"
"acute rejection","0.01657","finding"
"renal dialysis","0.01657","therapeutic or preventive procedure"
"vegf protein human","0.01657","biologically active substance - pharmacologic substance - therapeutic or preventive procedure"
"anaplastic oligodendroglioma","0.01657","neoplastic process"
"lung","0.01657","body part, organ, or organ component - disease or syndrome"
"proteinuria","0.01657","finding"
"blood vessel","0.01657","body part, organ, or organ component - finding"
"squamous cell carcinoma","0.01657","neoplastic process"
"cardiac arrhythmia","0.01657","finding - pathologic function"
"opioids","0.01657","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"impaired cognition","0.01657","finding - mental or behavioral dysfunction"
"dementia","0.01657","mental or behavioral dysfunction"
"bilirubin","0.01657","biologically active substance - laboratory or test result - organic chemical"
"cerebrovascular accident","0.01657","disease or syndrome - therapeutic or preventive procedure"
"lens diseases","0.01105","body part, organ, or organ component - disease or syndrome"
"congestive heart failure","0.01105","congenital abnormality - disease or syndrome"
"pharmacotherapy","0.01105","therapeutic or preventive procedure"
"hysterectomy","0.01105","therapeutic or preventive procedure"
"basal cell carcinoma","0.01105","neoplastic process"
"vitrectomy","0.01105","therapeutic or preventive procedure"
"hepatic","0.01105","body location or region"
"therapeutic radiology procedure","0.01105","body location or region - finding - neoplastic process - therapeutic or preventive procedure"
"schizophrenia","0.01105","mental or behavioral dysfunction"
"diabetes mellitus","0.01105","disease or syndrome - pharmacologic substance"
"antipsychotic agents","0.01105","pharmacologic substance"
"ethanol","0.01105","organic chemical - pharmacologic substance"
"moderate adverse event","0.01105","finding"
"unstable status","0.01105","finding"
"aspirin","0.01105","organic chemical - pharmacologic substance"
"intestines","0.01105","body part, organ, or organ component"
"blood coagulation disorders","0.01105","disease or syndrome - organ or tissue function - pathologic function"
"hole finding","0.01105","finding"
