"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"allergy severity - severe","0.26081","finding"
"pharmacologic substance","0.24671","pharmacologic substance - therapeutic or preventive procedure"
"mental disorders","0.24295","mental or behavioral dysfunction"
"ethanol","0.22133","organic chemical - pharmacologic substance"
"depressed mood","0.18797","finding - mental or behavioral dysfunction"
"cerebrovascular accident","0.17293","disease or syndrome - therapeutic or preventive procedure"
"unstable status","0.16917","finding"
"active brand of pseudoephedrine-triprolidine","0.16541","organic chemical - pharmacologic substance"
"hypersensitivity","0.15789","clinical attribute - finding - pathologic function"
"pharmaceutical preparations","0.15179","pharmacologic substance"
"magnetic resonance imaging","0.14004","diagnostic procedure"
"substance abuse problem","0.13910","mental or behavioral dysfunction"
"epilepsy","0.13628","disease or syndrome"
"malignant neoplasms","0.13017","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"hepatic","0.12218","body location or region"
"intravenous infusion procedures","0.11889","therapeutic or preventive procedure"
"nervous system disorder","0.11889","disease or syndrome"
"craniocerebral trauma","0.11607","injury or poisoning"
"schizophrenia","0.11560","mental or behavioral dysfunction"
"injury wounds","0.11137","body substance - injury or poisoning"
"dactinomycin","0.10714","antibiotic - body part, organ, or organ component - disease or syndrome - therapeutic or preventive procedure"
"gravidity","0.10385","finding"
"blood vessel","0.09117","body part, organ, or organ component - finding"
"hypertensive disease","0.09070","biologically active substance - disease or syndrome - finding"
"congenital abnormality","0.08882","congenital abnormality - disease or syndrome"
"antipsychotic agents","0.08600","pharmacologic substance"
"unipolar depression","0.08318","mental or behavioral dysfunction"
"investigational new drugs","0.08130","pharmacologic substance - therapeutic or preventive procedure"
"physical assessment findings","0.07660","finding"
"psychotic disorders","0.07472","mental or behavioral dysfunction"
"impaired cognition","0.07284","finding - mental or behavioral dysfunction"
"myocardial infarction","0.07190","disease or syndrome - finding"
"bipolar disorder","0.06861","mental or behavioral dysfunction"
"vitamins","0.06626","organic chemical - pharmacologic substance"
"medical contraindication","0.06532","finding"
"cerebrovascular disorders","0.06438","pathologic function"
"memantine","0.06297","organic chemical - pharmacologic substance"
"positive finding","0.06156","finding"
"liver diseases","0.06015","disease or syndrome"
"cardiovascular diseases","0.05968","disease or syndrome"
"lung","0.05780","body part, organ, or organ component - disease or syndrome"
"multiple sclerosis","0.05592","body part, organ, or organ component - disease or syndrome - finding"
"alcohol abuse","0.05498","mental or behavioral dysfunction"
"nervousness","0.05404","sign or symptom"
"cholinesterase inhibitors","0.05404","organic chemical - pharmacologic substance"
"consciousness related finding","0.05357","finding"
"brain injuries","0.05357","injury or poisoning"
"heart diseases","0.05310","disease or syndrome"
"drug abuse","0.05263","mental or behavioral dysfunction"
"neurodegenerative disorders","0.05263","disease or syndrome"
"neurological observations","0.05122","finding"
"alcoholic intoxication chronic","0.05075","mental or behavioral dysfunction"
"mini-mental status exam","0.05028","diagnostic procedure"
"congestive heart failure","0.04981","congenital abnormality - disease or syndrome"
"benzodiazepines","0.04934","organic chemical - pharmacologic substance"
"unconscious state","0.04840","disease or syndrome - finding"
"electrocardiogram","0.04840","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"dementia vascular","0.04605","disease or syndrome"
"angina pectoris","0.04558","sign or symptom"
"contraceptive methods","0.04464","therapeutic or preventive procedure"
"delirium","0.04417","mental or behavioral dysfunction"
"blood pressure finding","0.04370","finding"
"brain neoplasms","0.04323","neoplastic process"
"antidepressive agents","0.04135","pharmacologic substance"
"hiv","0.04041","disease or syndrome - pharmacologic substance - virus"
"mental retardation","0.03994","mental or behavioral dysfunction"
"claustrophobia","0.03947","mental or behavioral dysfunction"
"traumatic brain injury","0.03900","disease or syndrome - injury or poisoning"
"thyroid gland","0.03900","body part, organ, or organ component - disease or syndrome - pharmacologic substance"
"systemic disease","0.03853","disease or syndrome"
"neoplasm metastasis","0.03806","neoplastic process"
"diabetes mellitus","0.03759","disease or syndrome - pharmacologic substance"
"kidney diseases","0.03712","disease or syndrome"
"cholinesterases","0.03712","enzyme"
"lewy body disease","0.03665","disease or syndrome"
"immunologic deficiency syndromes","0.03618","disease or syndrome"
"diastole","0.03618","clinical attribute"
"anticholinergic agents","0.03524","pharmacologic substance"
"cardiac arrhythmia","0.03477","finding - pathologic function"
"donepezil","0.03383","organic chemical - pharmacologic substance"
"psychotropic drugs","0.03289","pharmacologic substance"
"operative surgical procedures","0.03289","diagnostic procedure - therapeutic or preventive procedure"
"communicable diseases","0.03289","disease or syndrome"
"systolic pressure","0.03195","clinical attribute - diagnostic procedure"
"nursing therapy","0.03195","therapeutic or preventive procedure"
"major depressive disorder","0.03148","mental or behavioral dysfunction"
"agitation","0.03055","finding - sign or symptom"
"household composition","0.03008","finding"
"breast","0.03008","body part, organ, or organ component"
"disability","0.02961","finding"
"medical history","0.02961","finding"
"hydrocephalus normal pressure","0.02914","disease or syndrome"
"hypothyroidism","0.02867","disease or syndrome"
"moderate adverse event","0.02867","finding"
"insulin","0.02867","pharmacologic substance"
"memory observations","0.02820","finding"
"pharmacotherapy","0.02773","therapeutic or preventive procedure"
"anxiety disorders","0.02773","finding - mental or behavioral dysfunction"
"alanine transaminase","0.02726","congenital abnormality - disease or syndrome - enzyme"
"blind vision","0.02726","disease or syndrome"
"diastolic blood pressure","0.02679","clinical attribute - diagnostic procedure - finding"
"arteries","0.02632","body part, organ, or organ component"
"pathology processes","0.02632","pathologic function"
"hearing examination finding","0.02585","finding"
"serum","0.02585","biologically active substance - body substance - pharmacologic substance"
"frontotemporal dementia","0.02444","disease or syndrome"
"rivastigmine","0.02397","organic chemical - pharmacologic substance"
"pregnancy tests","0.02350","diagnostic procedure"
"positron-emission tomography","0.02350","diagnostic procedure"
"mild cognitive disorder","0.02350","mental or behavioral dysfunction"
"galantamine","0.02303","organic chemical - pharmacologic substance"
"mri brain procedure","0.02209","diagnostic procedure"
"cognitive therapy","0.02209","diagnostic procedure - enzyme - hazardous or poisonous substance - therapeutic or preventive procedure"
"relate - vinyl resin","0.02162","organic chemical"
"depression scale","0.02068","diagnostic procedure"
"encephalopathies","0.02021","disease or syndrome - finding"
"screening for cancer","0.02021","diagnostic procedure"
"mild adverse event","0.01739","finding"
"family history","0.01598","congenital abnormality - disease or syndrome - enzyme - finding"
"negative finding","0.01598","finding"
"pulmonary resonance","0.01598","finding"
"ischemia","0.01598","disease or syndrome"
"cdr1 protein human","0.01222","biologically active substance"
"neuropsychological tests","0.01222","diagnostic procedure"
"alzheimer s disease","0.01175","antibiotic - biologically active substance - body part, organ, or organ component - disease or syndrome - pathologic function - therapeutic or preventive procedure"
"multiple endocrine neoplasia","0.01175","antibiotic - neoplastic process - organic chemical"
"body mass index","0.01034","clinical attribute - diagnostic procedure"
"mass of body structure","0.01034","finding"
"huntington disease","0.00987","disease or syndrome - neoplastic process"
"memory impairment","0.00752","finding - mental or behavioral dysfunction"
"sterility","0.00611","pathologic function"
"responsible person","0.00564","finding"
"mental state examination","0.00517","therapeutic or preventive procedure"
"communication impairment","0.00235","finding - mental or behavioral dysfunction"
