"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"mini-mental status exam","0.305","diagnostic procedure"
"allergy severity - severe","0.280","finding"
"mental disorders","0.277","mental or behavioral dysfunction"
"pharmacologic substance","0.265","pharmacologic substance - therapeutic or preventive procedure"
"ethanol","0.231","organic chemical - pharmacologic substance"
"depressed mood","0.227","finding - mental or behavioral dysfunction"
"dactinomycin","0.211","antibiotic - body part, organ, or organ component - disease or syndrome - therapeutic or preventive procedure"
"magnetic resonance imaging","0.210","diagnostic procedure"
"intravenous infusion procedures","0.209","therapeutic or preventive procedure"
"cerebrovascular accident","0.204","disease or syndrome - therapeutic or preventive procedure"
"active brand of pseudoephedrine-triprolidine","0.182","organic chemical - pharmacologic substance"
"mild adverse event","0.178","finding"
"unstable status","0.175","finding"
"impaired cognition","0.170","finding - mental or behavioral dysfunction"
"pharmaceutical preparations","0.165","pharmacologic substance"
"hypersensitivity","0.160","clinical attribute - finding - pathologic function"
"malignant neoplasms","0.146","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"epilepsy","0.146","disease or syndrome"
"substance abuse problem","0.145","mental or behavioral dysfunction"
"physical assessment findings","0.138","finding"
"nervous system disorder","0.135","disease or syndrome"
"schizophrenia","0.130","mental or behavioral dysfunction"
"hepatic","0.129","body location or region"
"craniocerebral trauma","0.122","injury or poisoning"
"gravidity","0.122","finding"
"blood vessel","0.121","body part, organ, or organ component - finding"
"injury wounds","0.120","body substance - injury or poisoning"
"memory observations","0.117","finding"
"hypertensive disease","0.110","biologically active substance - disease or syndrome - finding"
"congenital abnormality","0.107","congenital abnormality - disease or syndrome"
"contraceptive methods","0.107","therapeutic or preventive procedure"
"cholinesterase inhibitors","0.105","organic chemical - pharmacologic substance"
"memantine","0.104","organic chemical - pharmacologic substance"
"antipsychotic agents","0.103","pharmacologic substance"
"relate - vinyl resin","0.102","organic chemical"
"mild cognitive disorder","0.095","mental or behavioral dysfunction"
"positive finding","0.095","finding"
"unipolar depression","0.091","mental or behavioral dysfunction"
"operative surgical procedures","0.089","diagnostic procedure - therapeutic or preventive procedure"
"moderate adverse event","0.085","finding"
"investigational new drugs","0.083","pharmacologic substance - therapeutic or preventive procedure"
"psychotic disorders","0.080","mental or behavioral dysfunction"
"cerebrovascular disorders","0.078","pathologic function"
"electrocardiogram","0.077","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"vitamins","0.076","organic chemical - pharmacologic substance"
"myocardial infarction","0.074","disease or syndrome - finding"
"cholinesterases","0.074","enzyme"
"bipolar disorder","0.072","mental or behavioral dysfunction"
"medical contraindication","0.068","finding"
"consciousness related finding","0.067","finding"
"cdr1 protein human","0.066","biologically active substance"
"multiple endocrine neoplasia","0.066","antibiotic - neoplastic process - organic chemical"
"medical history","0.066","finding"
"cognitive therapy","0.065","diagnostic procedure - enzyme - hazardous or poisonous substance - therapeutic or preventive procedure"
"multiple sclerosis","0.064","body part, organ, or organ component - disease or syndrome - finding"
"liver diseases","0.064","disease or syndrome"
"brain injuries","0.063","injury or poisoning"
"cardiovascular diseases","0.063","disease or syndrome"
"hearing examination finding","0.062","finding"
"dementia vascular","0.061","disease or syndrome"
"lung","0.061","body part, organ, or organ component - disease or syndrome"
"nervousness","0.060","sign or symptom"
"negative finding","0.059","finding"
"alcohol abuse","0.058","mental or behavioral dysfunction"
"neurological observations","0.058","finding"
"pregnancy tests","0.057","diagnostic procedure"
"heart diseases","0.057","disease or syndrome"
"donepezil","0.057","organic chemical - pharmacologic substance"
"delirium","0.056","mental or behavioral dysfunction"
"blood pressure finding","0.055","finding"
"body mass index","0.055","clinical attribute - diagnostic procedure"
"neurodegenerative disorders","0.055","disease or syndrome"
"benzodiazepines","0.054","organic chemical - pharmacologic substance"
"antidepressive agents","0.054","pharmacologic substance"
"communication impairment","0.054","finding - mental or behavioral dysfunction"
"drug abuse","0.054","mental or behavioral dysfunction"
"congestive heart failure","0.054","congenital abnormality - disease or syndrome"
"unconscious state","0.053","disease or syndrome - finding"
"nursing therapy","0.053","therapeutic or preventive procedure"
"alcoholic intoxication chronic","0.052","mental or behavioral dysfunction"
"mental state examination","0.052","therapeutic or preventive procedure"
"angina pectoris","0.051","sign or symptom"
"mental retardation","0.050","mental or behavioral dysfunction"
"neuropsychological tests","0.050","diagnostic procedure"
"depression scale","0.048","diagnostic procedure"
"hiv","0.048","disease or syndrome - pharmacologic substance - virus"
"psychotropic drugs","0.048","pharmacologic substance"
"mass of body structure","0.047","finding"
"ischemia","0.047","disease or syndrome"
"neoplasm metastasis","0.047","neoplastic process"
"traumatic brain injury","0.047","disease or syndrome - injury or poisoning"
"brain neoplasms","0.046","neoplastic process"
"thyroid gland","0.046","body part, organ, or organ component - disease or syndrome - pharmacologic substance"
"encephalopathies","0.045","disease or syndrome - finding"
"lewy body disease","0.045","disease or syndrome"
"agitation","0.045","finding - sign or symptom"
"pulmonary resonance","0.043","finding"
