"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"psychotic disorders","0.29685","mental or behavioral dysfunction"
"ethanol","0.26807","organic chemical - pharmacologic substance"
"bipolar disorder","0.25517","mental or behavioral dysfunction"
"pharmacologic substance","0.23988","pharmacologic substance - therapeutic or preventive procedure"
"depressed mood","0.22849","finding - mental or behavioral dysfunction"
"suicidal","0.21829","finding"
"substance abuse problem","0.21679","mental or behavioral dysfunction"
"gravidity","0.20510","finding"
"schizophrenia","0.20360","mental or behavioral dysfunction"
"allergy severity - severe","0.18651","finding"
"intravenous infusion procedures","0.18531","therapeutic or preventive procedure"
"unstable status","0.18501","finding"
"antidepressive agents","0.18021","pharmacologic substance"
"mental disorders","0.15562","mental or behavioral dysfunction"
"active brand of pseudoephedrine-triprolidine","0.14933","organic chemical - pharmacologic substance"
"pharmaceutical preparations","0.12504","pharmacologic substance"
"hypersensitivity","0.11694","clinical attribute - finding - pathologic function"
"dementia","0.10465","mental or behavioral dysfunction"
"contraceptive methods","0.10255","therapeutic or preventive procedure"
"psychotherapy","0.09685","therapeutic or preventive procedure"
"major depressive disorder","0.09325","mental or behavioral dysfunction"
"psychotropic drugs","0.08696","pharmacologic substance"
"malignant neoplasms","0.08366","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"hepatic","0.08336","body location or region"
"personality disorders","0.08216","mental or behavioral dysfunction"
"anxiety disorders","0.08156","finding - mental or behavioral dysfunction"
"schizoaffective disorder","0.08036","mental or behavioral dysfunction"
"suicide attempt","0.08036","finding - mental or behavioral dysfunction"
"positive finding","0.08006","finding"
"antipsychotic agents","0.08006","pharmacologic substance"
"physical assessment findings","0.07946","finding"
"mental retardation","0.07526","mental or behavioral dysfunction"
"substance dependence","0.07376","mental or behavioral dysfunction"
"hypertensive disease","0.07166","biologically active substance - disease or syndrome - finding"
"nervous system disorder","0.06987","disease or syndrome"
"nicotine","0.06777","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"obsessive-compulsive disorder","0.06747","disease or syndrome - mental or behavioral dysfunction"
"electroconvulsive therapy","0.06627","disease or syndrome - therapeutic or preventive procedure"
"benign rolandic epilepsy","0.06057","disease or syndrome - therapeutic or preventive procedure"
"craniocerebral trauma","0.05967","injury or poisoning"
"caffeine","0.05877","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"depressive episode unspecified","0.05727","mental or behavioral dysfunction"
"manic","0.05667","finding - mental or behavioral dysfunction"
"fluoxetine","0.05577","organic chemical - pharmacologic substance"
"post-traumatic stress disorder","0.05427","mental or behavioral dysfunction"
"cerebrovascular accident","0.05427","disease or syndrome - therapeutic or preventive procedure"
"breast","0.05367","body part, organ, or organ component"
"impaired cognition","0.05307","finding - mental or behavioral dysfunction"
"benzodiazepines","0.05277","organic chemical - pharmacologic substance"
"monoamine oxidase inhibitors","0.05097","organic chemical - pharmacologic substance"
"eating disorders","0.05067","mental or behavioral dysfunction"
"unipolar depression","0.04948","mental or behavioral dysfunction"
"alcoholic intoxication chronic","0.04828","mental or behavioral dysfunction"
"injury wounds","0.04798","body substance - injury or poisoning"
"congenital abnormality","0.04798","congenital abnormality - disease or syndrome"
"alcohol abuse","0.04738","mental or behavioral dysfunction"
"infantile neuroaxonal dystrophy","0.04678","disease or syndrome"
"heart diseases","0.04348","disease or syndrome"
"electrocardiogram","0.04258","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"stress disorders traumatic","0.04258","mental or behavioral dysfunction"
"psychotic symptoms","0.04258","sign or symptom"
"antisocial behavior","0.04228","mental or behavioral dysfunction"
"thyroid gland","0.04078","body part, organ, or organ component - disease or syndrome - pharmacologic substance"
"mood disorders","0.04078","mental or behavioral dysfunction"
"screening for cancer","0.04078","diagnostic procedure"
"hypothyroidism","0.03868","disease or syndrome"
"magnetic resonance imaging","0.03868","diagnostic procedure"
"stabilizer - function","0.03688","organ or tissue function"
"compulsive disorder","0.03688","finding"
"panic disorder","0.03598","disease or syndrome - mental or behavioral dysfunction"
"medical contraindication","0.03508","finding"
"suicide risk","0.03478","finding"
"investigational new drugs","0.03478","pharmacologic substance - therapeutic or preventive procedure"
"pregnancy tests","0.03448","diagnostic procedure"
"diabetes","0.03418","disease or syndrome"
"suicidality","0.03388","clinical attribute"
"delirium","0.03358","mental or behavioral dysfunction"
"neoplasm metastasis","0.03298","neoplastic process"
"multiple sclerosis","0.03298","body part, organ, or organ component - disease or syndrome - finding"
"myocardial infarction","0.03268","disease or syndrome - finding"
"blood pressure finding","0.03268","finding"
"selective serotonin re-uptake inhibitor","0.03238","pharmacologic substance"
"hiv","0.03208","disease or syndrome - pharmacologic substance - virus"
"illicit drugs","0.03118","hazardous or poisonous substance - pharmacologic substance"
"stimulation procedure","0.03088","therapeutic or preventive procedure"
"anorexia nervosa","0.03058","mental or behavioral dysfunction"
"hematological disease","0.02999","disease or syndrome"
"lung","0.02969","body part, organ, or organ component - disease or syndrome"
"drug abuse","0.02939","mental or behavioral dysfunction"
"kidney diseases","0.02819","disease or syndrome"
"substance use disorders","0.02819","mental or behavioral dysfunction"
"lithium","0.02789","congenital abnormality - disease or syndrome - pharmacologic substance"
"mini-mental status exam","0.02789","diagnostic procedure"
"generalized anxiety disorder","0.02759","mental or behavioral dysfunction"
"anticonvulsants","0.02639","pharmacologic substance"
"severe combined immunodeficiency","0.02549","diagnostic procedure - disease or syndrome"
"anxiety generalized","0.02549","mental or behavioral dysfunction"
"moderate adverse event","0.02549","finding"
"depressive symptoms","0.02459","sign or symptom"
"operative surgical procedures","0.02429","diagnostic procedure - therapeutic or preventive procedure"
