"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"depressed mood","0.40360","finding - mental or behavioral dysfunction"
"intravenous infusion procedures","0.31874","therapeutic or preventive procedure"
"major depressive disorder","0.28246","mental or behavioral dysfunction"
"antidepressive agents","0.13703","pharmacologic substance"
"depressive episode unspecified","0.12894","mental or behavioral dysfunction"
"unipolar depression","0.12144","mental or behavioral dysfunction"
"contraceptive methods","0.10375","therapeutic or preventive procedure"
"mental disorders","0.07706","mental or behavioral dysfunction"
"tropical spastic paraparesis","0.07436","disease or syndrome - therapeutic or preventive procedure"
"bipolar disorder","0.06207","mental or behavioral dysfunction"
"anxiety disorders","0.05727","finding - mental or behavioral dysfunction"
"physical assessment findings","0.05547","finding"
"depressive symptoms","0.05397","sign or symptom"
"severe combined immunodeficiency","0.05307","diagnostic procedure - disease or syndrome"
"moderate adverse event","0.05217","finding"
"negative finding","0.04918","finding"
"pharmacologic substance","0.04768","pharmacologic substance - therapeutic or preventive procedure"
"multiple endocrine neoplasia","0.04678","antibiotic - neoplastic process - organic chemical"
"gravidity","0.04168","finding"
"unmarried","0.04108","finding"
"malignant neoplasms","0.04018","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"dysthymic disorder","0.03928","mental or behavioral dysfunction"
"allergy severity - severe","0.03688","finding"
"pregnancy tests","0.03418","diagnostic procedure"
"body mass index","0.03328","clinical attribute - diagnostic procedure"
"personality inventories","0.03298","diagnostic procedure"
"active brand of pseudoephedrine-triprolidine","0.03238","organic chemical - pharmacologic substance"
"barakat syndrome","0.03058","disease or syndrome"
"selective serotonin re-uptake inhibitor","0.03028","pharmacologic substance"
"mood disorders","0.02909","mental or behavioral dysfunction"
"mild adverse event","0.02879","finding"
"psychotropic drugs","0.02789","pharmacologic substance"
"operative surgical procedures","0.02699","diagnostic procedure - therapeutic or preventive procedure"
"post-traumatic stress disorder","0.02609","mental or behavioral dysfunction"
"antipsychotic agents","0.02549","pharmacologic substance"
"medical history","0.02459","finding"
"schizophrenia","0.02429","mental or behavioral dysfunction"
"ethanol","0.02429","organic chemical - pharmacologic substance"
"treatment protocols","0.02399","therapeutic or preventive procedure"
"manic","0.02399","finding - mental or behavioral dysfunction"
"pharmacotherapy","0.02309","therapeutic or preventive procedure"
"screening for cancer","0.02099","diagnostic procedure"
"lithium","0.01979","congenital abnormality - disease or syndrome - pharmacologic substance"
"psychotic disorders","0.01949","mental or behavioral dysfunction"
"relate - vinyl resin","0.01949","organic chemical"
"positive finding","0.01919","finding"
"stabilizer - function","0.01889","organ or tissue function"
"psychotherapy","0.01889","therapeutic or preventive procedure"
"mini-mental status exam","0.01829","diagnostic procedure"
"cancer remission","0.01829","finding - neoplastic process"
"suicidal","0.01769","finding"
"pharmaceutical preparations","0.01739","pharmacologic substance"
"benign rolandic epilepsy","0.01709","disease or syndrome - therapeutic or preventive procedure"
"electrocardiogram","0.01559","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"fluoxetine","0.01529","organic chemical - pharmacologic substance"
"generalized anxiety disorder","0.01469","mental or behavioral dysfunction"
"substance abuse problem","0.01439","mental or behavioral dysfunction"
"schizoaffective disorder","0.01409","mental or behavioral dysfunction"
"infantile neuroaxonal dystrophy","0.01409","disease or syndrome"
"neoplasm metastasis","0.01349","neoplastic process"
"therapeutic brand of coal tar","0.01349","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"antimicrobial resistance result","0.01229","laboratory or test result"
"benzodiazepines","0.01229","organic chemical - pharmacologic substance"
"magnetic resonance imaging","0.01199","diagnostic procedure"
"anxiety generalized","0.01199","mental or behavioral dysfunction"
"dementia","0.01199","mental or behavioral dysfunction"
"impaired cognition","0.01139","finding - mental or behavioral dysfunction"
"blood pressure finding","0.01109","finding"
"escitalopram","0.01019","organic chemical - pharmacologic substance"
"suicide attempt","0.00990","finding - mental or behavioral dysfunction"
