"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"depressed mood","0.40360","finding - mental or behavioral dysfunction"
"intravenous infusion procedures","0.32024","therapeutic or preventive procedure"
"major depressive disorder","0.28246","mental or behavioral dysfunction"
"antidepressive agents","0.13703","pharmacologic substance"
"depressive episode unspecified","0.12894","mental or behavioral dysfunction"
"unipolar depression","0.12144","mental or behavioral dysfunction"
"contraceptive methods","0.10375","therapeutic or preventive procedure"
"mental disorders","0.07706","mental or behavioral dysfunction"
"tropical spastic paraparesis","0.07466","disease or syndrome - therapeutic or preventive procedure"
"bipolar disorder","0.06387","mental or behavioral dysfunction"
"anxiety disorders","0.05757","finding - mental or behavioral dysfunction"
"physical assessment findings","0.05517","finding"
"depressive symptoms","0.05457","sign or symptom"
"severe combined immunodeficiency","0.05307","diagnostic procedure - disease or syndrome"
"moderate adverse event","0.05217","finding"
"negative finding","0.04948","finding"
"pharmacologic substance","0.04798","pharmacologic substance - therapeutic or preventive procedure"
"multiple endocrine neoplasia","0.04678","antibiotic - neoplastic process - organic chemical"
"gravidity","0.04168","finding"
"unmarried","0.04138","finding"
"malignant neoplasms","0.04078","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"dysthymic disorder","0.03898","mental or behavioral dysfunction"
"allergy severity - severe","0.03658","finding"
"pregnancy tests","0.03448","diagnostic procedure"
"body mass index","0.03358","clinical attribute - diagnostic procedure"
"personality inventories","0.03298","diagnostic procedure"
"active brand of pseudoephedrine-triprolidine","0.03268","organic chemical - pharmacologic substance"
"barakat syndrome","0.03058","disease or syndrome"
"selective serotonin re-uptake inhibitor","0.03028","pharmacologic substance"
"mild adverse event","0.02909","finding"
"mood disorders","0.02879","mental or behavioral dysfunction"
"psychotropic drugs","0.02789","pharmacologic substance"
"antipsychotic agents","0.02669","pharmacologic substance"
"manic","0.02639","finding - mental or behavioral dysfunction"
"operative surgical procedures","0.02639","diagnostic procedure - therapeutic or preventive procedure"
"post-traumatic stress disorder","0.02609","mental or behavioral dysfunction"
"schizophrenia","0.02459","mental or behavioral dysfunction"
"medical history","0.02459","finding"
"ethanol","0.02429","organic chemical - pharmacologic substance"
