"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"epilepsy","0.24719","disease or syndrome"
"autistic disorder","0.23820","mental or behavioral dysfunction"
"allergy severity - severe","0.17753","finding"
"psychotic disorders","0.14831","mental or behavioral dysfunction"
"hypersensitivity","0.14831","clinical attribute - finding - pathologic function"
"schizophrenia","0.14607","mental or behavioral dysfunction"
"pharmacologic substance","0.14157","pharmacologic substance - therapeutic or preventive procedure"
"gene therapy","0.14157","therapeutic or preventive procedure"
"active brand of pseudoephedrine-triprolidine","0.13483","organic chemical - pharmacologic substance"
"gravidity","0.13258","finding"
"bipolar disorder","0.11685","mental or behavioral dysfunction"
"unstable status","0.11461","finding"
"nervous system disorder","0.11236","disease or syndrome"
"intravenous infusion procedures","0.11011","therapeutic or preventive procedure"
"psychotropic drugs","0.10787","pharmacologic substance"
"antipsychotic agents","0.10112","pharmacologic substance"
"pharmaceutical preparations","0.09888","pharmacologic substance"
"tuberous sclerosis","0.09663","body part, organ, or organ component - congenital abnormality - disease or syndrome - finding - mental or behavioral dysfunction - neoplastic process - pharmacologic substance"
"pervasive development disorder","0.08989","congenital abnormality - inorganic chemical - mental or behavioral dysfunction - pharmacologic substance"
"hepatic","0.08989","body location or region"
"physical assessment findings","0.08989","finding"
"autism spectrum disorders","0.08764","congenital abnormality - mental or behavioral dysfunction"
"fragile x syndrome","0.08764","congenital abnormality - disease or syndrome"
"injury wounds","0.08539","body substance - injury or poisoning"
"substance abuse problem","0.08315","mental or behavioral dysfunction"
"mental disorders","0.08315","mental or behavioral dysfunction"
"congenital abnormality","0.08090","congenital abnormality - disease or syndrome"
"craniocerebral trauma","0.07865","injury or poisoning"
"malignant neoplasms","0.07865","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"fever","0.07191","finding"
"ethanol","0.06966","organic chemical - pharmacologic substance"
"childhood disintegrative disorder","0.06966","mental or behavioral dysfunction"
"contraceptive methods","0.06742","therapeutic or preventive procedure"
"cerebral palsy","0.06742","congenital abnormality - disease or syndrome - therapeutic or preventive procedure"
"depressed mood","0.06742","finding - mental or behavioral dysfunction"
"paralysed","0.06742","finding"
"positive finding","0.06517","finding"
"hypertensive disease","0.06067","biologically active substance - disease or syndrome - finding"
"suicidal","0.05843","finding"
"schizoaffective disorder","0.05843","mental or behavioral dysfunction"
"nitric oxide synthase","0.05843","enzyme"
"liver","0.05843","body part, organ, or organ component - disease or syndrome - organic chemical - pharmacologic substance"
"mental retardation","0.05393","mental or behavioral dysfunction"
"hearing examination finding","0.05393","finding"
"brain injuries","0.05393","injury or poisoning"
"sexually active","0.05393","finding"
"developmental disabilities","0.05393","mental or behavioral dysfunction"
"antidepressive agents","0.05169","pharmacologic substance"
"hereditary diseases","0.04944","disease or syndrome"
"blind vision","0.04719","disease or syndrome"
"research outcome","0.04494","finding"
"heart diseases","0.04494","disease or syndrome"
"deafness","0.04494","disease or syndrome - finding"
"febrile convulsions","0.04270","disease or syndrome - pharmacologic substance"
"pregnancy tests","0.04270","diagnostic procedure"
"genetic syndrome","0.04270","disease or syndrome"
"behavior therapy","0.04270","therapeutic or preventive procedure"
"disability","0.04045","finding"
"magnetic resonance imaging","0.04045","diagnostic procedure"
"gastrointestinal diseases","0.03820","disease or syndrome"
"traumatic brain injury","0.03596","disease or syndrome - injury or poisoning"
"anticonvulsants","0.03596","pharmacologic substance"
"anaplastic oligodendroglioma","0.03596","neoplastic process"
"rett syndrome","0.03596","disease or syndrome - enzyme"
"medical history","0.03371","finding"
"neuroleptic malignant syndrome","0.03371","disease or syndrome"
"therapeutic brand of coal tar","0.03371","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"kidney diseases","0.03146","disease or syndrome"
"personal satisfaction","0.03146","finding"
"major depressive disorder","0.03146","mental or behavioral dysfunction"
"stimulant","0.03146","pharmacologic substance"
"diagnosis psychiatric","0.03146","mental or behavioral dysfunction"
"aggressive behavior","0.02921","mental or behavioral dysfunction"
"body excretions","0.02697","body substance"
"nervousness","0.02697","sign or symptom"
"family history","0.02697","congenital abnormality - disease or syndrome - enzyme - finding"
"risperidone","0.02697","organic chemical - pharmacologic substance"
"electroencephalography","0.02697","diagnostic procedure - finding - laboratory or test result"
"neurological observations","0.02697","finding"
"antiepileptic agents","0.02472","pharmacologic substance"
"serum","0.02472","biologically active substance - body substance - pharmacologic substance"
"venous blood sampling","0.02247","diagnostic procedure - therapeutic or preventive procedure"
"systemic disease","0.02247","disease or syndrome"
"electrocardiogram","0.02247","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"treatment-psychosocial effects","0.02247","finding"
"moderate adverse event","0.02022","finding"
"anxiety disorders","0.02022","finding - mental or behavioral dysfunction"
"fluoxetine","0.02022","organic chemical - pharmacologic substance"
"mood disorders","0.02022","mental or behavioral dysfunction"
"attention deficit hyperactivity disorder","0.02022","disease or syndrome - mental or behavioral dysfunction"
"follow-up status","0.01798","finding"
"relate - vinyl resin","0.01573","organic chemical"
"test result","0.01348","finding"
"hyperactive behavior","0.00899","finding"
"asperger syndrome","0.00899","disease or syndrome"
"integumentary scale","0.00899","body part, organ, or organ component"
"dactinomycin","0.00899","antibiotic - body part, organ, or organ component - disease or syndrome - therapeutic or preventive procedure"
"irritable mood","0.00899","finding"
"malaise","0.00674","finding - sign or symptom"
"behavior disorders","0.00674","injury or poisoning - mental or behavioral dysfunction"
"negative finding","0.00449","finding"
"surgical revision","0.00225","therapeutic or preventive procedure"
