"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"autistic disorder","0.757","mental or behavioral dysfunction"
"autism spectrum disorders","0.398","congenital abnormality - mental or behavioral dysfunction"
"intravenous infusion procedures","0.357","therapeutic or preventive procedure"
"pervasive development disorder","0.272","congenital abnormality - inorganic chemical - mental or behavioral dysfunction - pharmacologic substance"
"epilepsy","0.270","disease or syndrome"
"allergy severity - severe","0.202","finding"
"developmental disabilities","0.193","mental or behavioral dysfunction"
"gene therapy","0.180","therapeutic or preventive procedure"
"pharmacologic substance","0.175","pharmacologic substance - therapeutic or preventive procedure"
"psychotropic drugs","0.175","pharmacologic substance"
"nitric oxide synthase","0.173","enzyme"
"hypersensitivity","0.171","clinical attribute - finding - pathologic function"
"psychotic disorders","0.171","mental or behavioral dysfunction"
"schizophrenia","0.166","mental or behavioral dysfunction"
"physical assessment findings","0.153","finding"
"mental disorders","0.153","mental or behavioral dysfunction"
"active brand of pseudoephedrine-triprolidine","0.148","organic chemical - pharmacologic substance"
"gravidity","0.146","finding"
"observation - diagnostic procedure","0.144","diagnostic procedure"
"bipolar disorder","0.133","mental or behavioral dysfunction"
"pharmaceutical preparations","0.128","pharmacologic substance"
"unstable status","0.126","finding"
"antipsychotic agents","0.121","pharmacologic substance"
"nervous system disorder","0.117","disease or syndrome"
"tuberous sclerosis","0.112","body part, organ, or organ component - congenital abnormality - disease or syndrome - finding - mental or behavioral dysfunction - neoplastic process - pharmacologic substance"
"fragile x syndrome","0.099","congenital abnormality - disease or syndrome"
"revision procedure","0.092","therapeutic or preventive procedure"
"hepatic","0.092","body location or region"
"contraceptive methods","0.092","therapeutic or preventive procedure"
"injury wounds","0.090","body substance - injury or poisoning"
"disability","0.085","finding"
"congenital abnormality","0.085","congenital abnormality - disease or syndrome"
"malignant neoplasms","0.085","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"childhood disintegrative disorder","0.085","mental or behavioral dysfunction"
"positive finding","0.083","finding"
"mental retardation","0.083","mental or behavioral dysfunction"
"substance abuse problem","0.083","mental or behavioral dysfunction"
"depressed mood","0.081","finding - mental or behavioral dysfunction"
"fever","0.079","finding"
"craniocerebral trauma","0.079","injury or poisoning"
"cerebral palsy","0.076","congenital abnormality - disease or syndrome - therapeutic or preventive procedure"
"paralysed","0.076","finding"
"hearing examination finding","0.076","finding"
"ethanol","0.072","organic chemical - pharmacologic substance"
"schizoaffective disorder","0.067","mental or behavioral dysfunction"
"suicidal","0.065","finding"
"pregnancy tests","0.065","diagnostic procedure"
"blind vision","0.065","disease or syndrome"
"sexually active","0.063","finding"
"anxiety disorders","0.061","finding - mental or behavioral dysfunction"
"hypertensive disease","0.061","biologically active substance - disease or syndrome - finding"
"liver","0.061","body part, organ, or organ component - disease or syndrome - organic chemical - pharmacologic substance"
"asperger syndrome","0.058","disease or syndrome"
"attention deficit hyperactivity disorder","0.058","disease or syndrome - mental or behavioral dysfunction"
"integumentary scale","0.056","body part, organ, or organ component"
"brain injuries","0.056","injury or poisoning"
"behavior therapy","0.056","therapeutic or preventive procedure"
"antidepressive agents","0.054","pharmacologic substance"
"moderate adverse event","0.054","finding"
"anticonvulsants","0.054","pharmacologic substance"
"hereditary diseases","0.054","disease or syndrome"
"heart diseases","0.049","disease or syndrome"
"deafness","0.047","disease or syndrome - finding"
"magnetic resonance imaging","0.047","diagnostic procedure"
"stimulant","0.047","pharmacologic substance"
"febrile convulsions","0.045","disease or syndrome - pharmacologic substance"
"irritable mood","0.045","finding"
"research outcome","0.045","finding"
"aggressive behavior","0.045","mental or behavioral dysfunction"
"genetic syndrome","0.045","disease or syndrome"
"risperidone","0.043","organic chemical - pharmacologic substance"
"fluoxetine","0.043","organic chemical - pharmacologic substance"
"malaise","0.043","finding - sign or symptom"
"traumatic brain injury","0.043","disease or syndrome - injury or poisoning"
"rett syndrome","0.040","disease or syndrome - enzyme"
"personal satisfaction","0.040","finding"
"electroencephalography","0.040","diagnostic procedure - finding - laboratory or test result"
"medical history","0.040","finding"
"relate - vinyl resin","0.038","organic chemical"
"therapeutic brand of coal tar","0.038","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"gastrointestinal diseases","0.038","disease or syndrome"
"kidney diseases","0.036","disease or syndrome"
"diagnosis psychiatric","0.036","mental or behavioral dysfunction"
"behavior disorders","0.036","injury or poisoning - mental or behavioral dysfunction"
"serum","0.036","biologically active substance - body substance - pharmacologic substance"
"treatment-psychosocial effects","0.036","finding"
"mood disorders","0.036","mental or behavioral dysfunction"
"anaplastic oligodendroglioma","0.036","neoplastic process"
"test result","0.034","finding"
"family history","0.034","congenital abnormality - disease or syndrome - enzyme - finding"
"dactinomycin","0.034","antibiotic - body part, organ, or organ component - disease or syndrome - therapeutic or preventive procedure"
"neuroleptic malignant syndrome","0.034","disease or syndrome"
"major depressive disorder","0.034","mental or behavioral dysfunction"
"electrocardiogram","0.034","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"negative finding","0.034","finding"
"follow-up status","0.031","finding"
"body excretions","0.031","body substance"
"systemic disease","0.031","disease or syndrome"
"hyperactive behavior","0.031","finding"
"antiepileptic agents","0.031","pharmacologic substance"
"venous blood sampling","0.031","diagnostic procedure - therapeutic or preventive procedure"
"nervousness","0.031","sign or symptom"
"surgical revision","0.031","therapeutic or preventive procedure"
"neurological observations","0.031","finding"
