"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"tissue growth","0.225","organ or tissue function"
"turner syndrome","0.182","congenital abnormality - disease or syndrome"
"growth hormone","0.167","pharmacologic substance"
"gravidity","0.148","finding"
"positive finding","0.134","finding"
"pharmacologic substance","0.129","pharmacologic substance - therapeutic or preventive procedure"
"malignant neoplasms","0.124","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"allergy severity - severe","0.120","finding"
"testosterone","0.120","pharmacologic substance"
"gene therapy","0.115","therapeutic or preventive procedure"
"karyotype result","0.115","laboratory or test result"
"active brand of pseudoephedrine-triprolidine","0.110","organic chemical - pharmacologic substance"
"pharmaceutical preparations","0.105","pharmacologic substance"
"hypersensitivity","0.100","clinical attribute - finding - pathologic function"
"serum","0.096","biologically active substance - body substance - pharmacologic substance"
"androgens","0.096","pharmacologic substance"
"negative finding","0.096","finding"
"skeletal bone","0.091","body location or region - body part, organ, or organ component - body substance - disease or syndrome"
"contraceptive methods","0.086","therapeutic or preventive procedure"
"body mass index","0.081","clinical attribute - diagnostic procedure"
"thyroid gland","0.077","body part, organ, or organ component - disease or syndrome - pharmacologic substance"
"hepatic","0.077","body location or region"
"ethanol","0.072","organic chemical - pharmacologic substance"
"heart","0.072","body part, organ, or organ component - pharmacologic substance"
"magnetic resonance imaging","0.072","diagnostic procedure"
"encounter due to puberty","0.072","finding"
"pregnancy tests","0.067","diagnostic procedure"
"hemoglobin","0.067","biologically active substance - finding"
"polycystic ovary syndrome","0.067","disease or syndrome"
"physical assessment findings","0.067","finding"
"diabetes mellitus","0.062","disease or syndrome - pharmacologic substance"
"estrogens","0.062","pharmacologic substance"
"chronic active hepatitis","0.062","disease or syndrome"
"liver diseases","0.062","disease or syndrome"
"congenital adrenal hyperplasia","0.062","congenital abnormality - disease or syndrome"
"hiv infections","0.057","disease or syndrome - virus"
"sexual intercourse - finding","0.057","finding"
"hormone therapy","0.053","therapeutic or preventive procedure"
"klinefelter syndrome","0.053","congenital abnormality - disease or syndrome"
"anaplastic oligodendroglioma","0.053","neoplastic process"
"lung","0.053","body part, organ, or organ component - disease or syndrome"
"kidney diseases","0.048","disease or syndrome"
"multiple endocrine neoplasia","0.048","antibiotic - neoplastic process - organic chemical"
"contraceptives oral","0.048","pharmacologic substance - therapeutic or preventive procedure"
"thyrotropin","0.048","pharmacologic substance"
"follicle stimulating hormone","0.043","pharmacologic substance"
"congenital abnormality","0.043","congenital abnormality - disease or syndrome"
"mental disorders","0.043","mental or behavioral dysfunction"
"pituitary gland","0.043","body part, organ, or organ component - disease or syndrome - organic chemical - pharmacologic substance"
"somatotropin deficiency","0.043","disease or syndrome"
"chronic disease","0.043","disease or syndrome"
"pregnancy test negative","0.038","finding - laboratory or test result"
"hiv seropositivity","0.038","finding"
"intravenous infusion procedures","0.038","therapeutic or preventive procedure"
"follow-up status","0.038","finding"
"gonadal structure","0.038","body part, organ, or organ component"
"medical contraindication","0.038","finding"
"blood pressure finding","0.038","finding"
"luteinizing hormone","0.038","pharmacologic substance"
"gonadotropins","0.038","pharmacologic substance"
"prolactin","0.038","pharmacologic substance"
"illicit drugs","0.038","hazardous or poisonous substance - pharmacologic substance"
"hypothyroidism","0.033","disease or syndrome"
"obesity","0.033","disease or syndrome - finding"
"insulin","0.033","pharmacologic substance"
"hypothalamic structure","0.033","body part, organ, or organ component"
"transaminases","0.033","enzyme"
"aspartate transaminase","0.033","enzyme"
"somatropin","0.033","pharmacologic substance"
"hirsutism","0.033","disease or syndrome - finding"
"oral contraception","0.033","pharmacologic substance - therapeutic or preventive procedure"
"alanine transaminase","0.033","congenital abnormality - disease or syndrome - enzyme"
"hiv-1","0.033","virus"
"investigational new drugs","0.033","pharmacologic substance - therapeutic or preventive procedure"
"cd4 antigens","0.033","receptor"
"hyperandrogenism","0.033","disease or syndrome"
"infertility","0.033","diagnostic procedure - disease or syndrome"
"mass of body structure","0.033","finding"
"hormone deficiency","0.033","disease or syndrome"
