"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"mechanical detachment","0.46875","pathologic function"
"retina","0.40625","body part, organ, or organ component - disease or syndrome - organic chemical - pharmacologic substance"
"rhegmatogenous retinal detachment","0.12500","disease or syndrome"
"tomography optical coherence","0.12500","diagnostic procedure - enzyme"
"corrected visual acuity","0.10938","clinical attribute"
"operative surgical procedures","0.10938","diagnostic procedure - therapeutic or preventive procedure"
"retinal diseases","0.09375","disease or syndrome - finding"
"relate - vinyl resin","0.07812","organic chemical"
"macule","0.07812","body part, organ, or organ component - sign or symptom"
"abnormal degeneration","0.07812","pathologic function"
"folic acid","0.07812","disease or syndrome - organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"electroencephalography","0.06250","diagnostic procedure - finding - laboratory or test result"
"proliferative vitreoretinopathy","0.06250","disease or syndrome"
"retinal pigment epithelial detachment","0.06250","disease or syndrome"
"intravenous infusion procedures","0.06250","therapeutic or preventive procedure"
"follow-up status","0.06250","finding"
"astrocytic phosphoprotein pea-15","0.06250","biologically active substance"
"neoplasm metastasis","0.06250","neoplastic process"
"diethylstilbestrol","0.06250","disease or syndrome - organic chemical - pharmacologic substance"
"retinal perforations","0.06250","disease or syndrome"
"tractional retinal detachment","0.04688","finding"
"unmarried","0.04688","finding"
"negative finding","0.04688","finding"
"silicones","0.04688","organic chemical"
"structure of fovea centralis","0.04688","body part, organ, or organ component"
"bevacizumab","0.04688","pharmacologic substance"
"vegf protein human","0.04688","biologically active substance - pharmacologic substance - therapeutic or preventive procedure"
"post-traumatic stress disorder","0.04688","mental or behavioral dysfunction"
"vitreoretinopathy neovascular inflammatory","0.04688","disease or syndrome"
"movement disorders","0.04688","disease or syndrome"
"stress disorders traumatic","0.03125","mental or behavioral dysfunction"
"lens diseases","0.03125","body part, organ, or organ component - disease or syndrome"
"scleral buckling","0.03125","therapeutic or preventive procedure"
"intraocular pressure test","0.03125","diagnostic procedure - disease or syndrome - organ or tissue function"
"ranibizumab","0.03125","pharmacologic substance"
"traction","0.03125","therapeutic or preventive procedure"
"surgical repair","0.03125","therapeutic or preventive procedure"
"photochemotherapy","0.03125","therapeutic or preventive procedure"
"angiogram","0.03125","diagnostic procedure"
"fibrosis","0.03125","pathologic function"
"active brand of pseudoephedrine-triprolidine","0.03125","organic chemical - pharmacologic substance"
"anterior chamber of eye structure","0.03125","body part, organ, or organ component"
"borderline personality disorder","0.03125","disease or syndrome - mental or behavioral dysfunction"
"dilation procedure","0.03125","pathologic function - therapeutic or preventive procedure"
"proliferative diabetic retinopathy","0.03125","disease or syndrome"
"hole finding","0.03125","finding"
"positive finding","0.03125","finding"
"blood vessel","0.01562","body part, organ, or organ component - finding"
"depressed mood","0.01562","finding - mental or behavioral dysfunction"
"laser photocoagulation","0.01562","therapeutic or preventive procedure"
"moderate adverse event","0.01562","finding"
"verteporfin","0.01562","organic chemical - pharmacologic substance"
"pregnancy tests","0.01562","diagnostic procedure"
"schizophrenia","0.01562","mental or behavioral dysfunction"
"macular holes","0.01562","disease or syndrome"
"psychotic disorders","0.01562","mental or behavioral dysfunction"
"tissue growth","0.01562","organ or tissue function"
"steroid therapy","0.01562","therapeutic or preventive procedure"
"allergy severity - severe","0.01562","finding"
"epilepsy","0.01562","disease or syndrome"
"adrenal cortex hormones","0.01562","pharmacologic substance"
"macular edema cystoid","0.01562","disease or syndrome"
"fundus","0.01562","body part, organ, or organ component"
"antipsychotic agents","0.01562","pharmacologic substance"
"mydriasis","0.01562","organ or tissue function - sign or symptom"
"personality disorders","0.01562","mental or behavioral dysfunction"
"gigantism","0.01562","disease or syndrome"
"physical assessment findings","0.01562","finding"
"anxiety disorders","0.01562","finding - mental or behavioral dysfunction"
"pharmacologic substance","0.01562","pharmacologic substance - therapeutic or preventive procedure"
"glycogen storage disease type ii","0.01562","disease or syndrome"
"psychotropic drugs","0.01562","pharmacologic substance"
"ethanol","0.01562","organic chemical - pharmacologic substance"
"light coagulation","0.01562","therapeutic or preventive procedure"
"cataract surgery","0.01562","therapeutic or preventive procedure"
"fluorescein angiography","0.01562","diagnostic procedure"
"structure of retinal pigment epithelium","0.01562","body part, organ, or organ component"
"contraceptive methods","0.01562","therapeutic or preventive procedure"
"mental disorders","0.01562","mental or behavioral dysfunction"
"veins","0.01562","body part, organ, or organ component"
"cataract adverse event","0.01562","finding"
"prior therapy","0.01562","clinical attribute"
