"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"ethanol","0.57604","organic chemical - pharmacologic substance"
"alcohol consumption","0.24885","individual behavior"
"multiple endocrine neoplasia","0.16590","antibiotic - neoplastic process - organic chemical"
"intravenous infusion procedures","0.16129","therapeutic or preventive procedure"
"alcoholic intoxication chronic","0.13825","mental or behavioral dysfunction"
"alcohol use disorder","0.10138","mental or behavioral dysfunction"
"contraceptive methods","0.09677","therapeutic or preventive procedure"
"alcohol abuse","0.09677","mental or behavioral dysfunction"
"consumption-archaic term for tb","0.09677","disease or syndrome"
"heavy drinking","0.07834","mental or behavioral dysfunction"
"physical assessment findings","0.06452","finding"
"binge eating disorder","0.05991","mental or behavioral dysfunction"
"relate - vinyl resin","0.05991","organic chemical"
"negative finding","0.05530","finding"
"moderate adverse event","0.05069","finding"
"pregnancy tests","0.05069","diagnostic procedure"
"follow-up status","0.05069","finding"
"active brand of pseudoephedrine-triprolidine","0.05069","organic chemical - pharmacologic substance"
"body mass index","0.05069","clinical attribute - diagnostic procedure"
"electrocardiogram","0.04608","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"pharmacologic substance","0.04608","pharmacologic substance - therapeutic or preventive procedure"
"positive finding","0.04608","finding"
"post-traumatic stress disorder","0.03687","mental or behavioral dysfunction"
"mass of body structure","0.03687","finding"
"hiv","0.03687","disease or syndrome - pharmacologic substance - virus"
"smoker","0.03687","finding"
"medical history","0.03226","finding"
"gravidity","0.03226","finding"
"anxiety disorders","0.03226","finding - mental or behavioral dysfunction"
"contraceptives oral","0.03226","pharmacologic substance - therapeutic or preventive procedure"
"impaired cognition","0.03226","finding - mental or behavioral dysfunction"
"current drinker","0.03226","individual behavior"
"sexually active","0.02765","finding"
"screening for cancer","0.02765","diagnostic procedure"
"binge drinking","0.02765","individual behavior"
"operative surgical procedures","0.02765","diagnostic procedure - therapeutic or preventive procedure"
"substance use disorders","0.02304","mental or behavioral dysfunction"
"marihuana","0.02304","mental or behavioral dysfunction - organic chemical - pharmacologic substance"
"smoking","0.02304","hazardous or poisonous substance - individual behavior"
"valproic acid","0.02304","body part, organ, or organ component - organic chemical - pharmacologic substance"
"mental disorders","0.02304","mental or behavioral dysfunction"
"detoxification procedure","0.01843","therapeutic or preventive procedure"
"serum","0.01843","biologically active substance - body substance - pharmacologic substance"
"substance abuse problem","0.01843","mental or behavioral dysfunction"
"pharmaceutical preparations","0.01843","pharmacologic substance"
"depressed mood","0.01843","finding - mental or behavioral dysfunction"
"unipolar depression","0.01382","mental or behavioral dysfunction"
"allergy severity - severe","0.01382","finding"
"infantile neuroaxonal dystrophy","0.01382","disease or syndrome"
"injury wounds","0.01382","body substance - injury or poisoning"
"bipolar disorder","0.01382","mental or behavioral dysfunction"
"alcohol problem","0.01382","mental or behavioral dysfunction"
"major depressive disorder","0.00922","mental or behavioral dysfunction"
"liver diseases","0.00922","disease or syndrome"
"withdrawal symptoms","0.00922","sign or symptom"
"opiates","0.00922","hazardous or poisonous substance - mental or behavioral dysfunction - pharmacologic substance"
"manic","0.00922","finding - mental or behavioral dysfunction"
"opioids","0.00922","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"caffeine","0.00461","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"schizophrenia","0.00461","mental or behavioral dysfunction"
"psychotropic drugs","0.00461","pharmacologic substance"
"antidepressive agents","0.00461","pharmacologic substance"
"substance dependence","0.00461","mental or behavioral dysfunction"
"antipsychotic agents","0.00461","pharmacologic substance"
"drug dependence","0.00461","mental or behavioral dysfunction"
"personality disorders","0.00461","mental or behavioral dysfunction"
"hypersensitivity","0.00461","clinical attribute - finding - pathologic function"
"alanine transaminase","0.00461","congenital abnormality - disease or syndrome - enzyme"
"schizoaffective disorder","0.00461","mental or behavioral dysfunction"
"nicotine dependence","0.00461","mental or behavioral dysfunction"
"borderline personality disorder","0.00461","disease or syndrome - mental or behavioral dysfunction"
"violence","0.00461","mental or behavioral dysfunction"
"eating disorders","0.00461","mental or behavioral dysfunction"
"hepatic","0.00461","body location or region"
"topiramate","0.00461","organic chemical - pharmacologic substance"
