"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"psychotic disorders","0.38710","mental or behavioral dysfunction"
"intravenous infusion procedures","0.33333","therapeutic or preventive procedure"
"psychotropic drugs","0.32258","pharmacologic substance"
"bipolar disorder","0.30108","mental or behavioral dysfunction"
"substance abuse problem","0.26882","mental or behavioral dysfunction"
"unstable status","0.26882","finding"
"suicidality","0.25806","clinical attribute"
"pharmacologic substance","0.23656","pharmacologic substance - therapeutic or preventive procedure"
"schizophrenia","0.23656","mental or behavioral dysfunction"
"ethanol","0.23656","organic chemical - pharmacologic substance"
"allergy severity - severe","0.22581","finding"
"depressed mood","0.22581","finding - mental or behavioral dysfunction"
"contraceptive methods","0.21505","therapeutic or preventive procedure"
"antipsychotic agents","0.21505","pharmacologic substance"
"psychotherapy","0.20430","therapeutic or preventive procedure"
"behavior therapy","0.19355","therapeutic or preventive procedure"
"physical assessment findings","0.17204","finding"
"positive finding","0.16129","finding"
"lactation","0.16129","organ or tissue function"
"congenital abnormality","0.16129","congenital abnormality - disease or syndrome"
"myocardial infarction","0.15054","disease or syndrome - finding"
"active brand of pseudoephedrine-triprolidine","0.13978","organic chemical - pharmacologic substance"
"gravidity","0.13978","finding"
"mental disorders","0.13978","mental or behavioral dysfunction"
"suicidal","0.12903","finding"
"gambler","0.11828","individual behavior"
"hypersensitivity","0.10753","clinical attribute - finding - pathologic function"
"screening for cancer","0.10753","diagnostic procedure"
"fluoxetine","0.10753","organic chemical - pharmacologic substance"
"mental retardation","0.10753","mental or behavioral dysfunction"
"gambling pathological","0.10753","mental or behavioral dysfunction"
"trichotillomania","0.09677","mental or behavioral dysfunction"
"kidney","0.09677","body part, organ, or organ component"
"developmental disabilities","0.09677","mental or behavioral dysfunction"
"epilepsy","0.08602","disease or syndrome"
"cognitive therapy","0.08602","diagnostic procedure - enzyme - hazardous or poisonous substance - therapeutic or preventive procedure"
"heart","0.08602","body part, organ, or organ component - pharmacologic substance"
"antidepressive agents","0.08602","pharmacologic substance"
"nervous system disorder","0.08602","disease or syndrome"
"urine drug screen positive","0.08602","laboratory or test result"
"personality disorders","0.07527","mental or behavioral dysfunction"
"nicotine dependence","0.07527","mental or behavioral dysfunction"
"blood vessel","0.07527","body part, organ, or organ component - finding"
"severe combined immunodeficiency","0.07527","diagnostic procedure - disease or syndrome"
"pharmaceutical preparations","0.07527","pharmacologic substance"
"impaired cognition","0.07527","finding - mental or behavioral dysfunction"
"hepatic","0.06452","body location or region"
"substance dependence","0.06452","mental or behavioral dysfunction"
"unipolar depression","0.06452","mental or behavioral dysfunction"
"naltrexone","0.06452","organic chemical - pharmacologic substance"
