"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"intravenous infusion procedures","0.401","therapeutic or preventive procedure"
"ethanol","0.358","organic chemical - pharmacologic substance"
"pharmacologic substance","0.315","pharmacologic substance - therapeutic or preventive procedure"
"gravidity","0.293","finding"
"mental disorders","0.289","mental or behavioral dysfunction"
"psychotic disorders","0.280","mental or behavioral dysfunction"
"positive finding","0.237","finding"
"contraceptive methods","0.207","therapeutic or preventive procedure"
"pharmaceutical preparations","0.203","pharmacologic substance"
"schizophrenia","0.194","mental or behavioral dysfunction"
"physical assessment findings","0.177","finding"
"depressed mood","0.177","finding - mental or behavioral dysfunction"
"bipolar disorder","0.172","mental or behavioral dysfunction"
"psychotropic drugs","0.172","pharmacologic substance"
"unstable status","0.168","finding"
"allergy severity - severe","0.155","finding"
"hypertensive disease","0.151","biologically active substance - disease or syndrome - finding"
"hypersensitivity","0.147","clinical attribute - finding - pathologic function"
"cocaine dependence","0.138","mental or behavioral dysfunction"
"opioids","0.138","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"active brand of pseudoephedrine-triprolidine","0.138","organic chemical - pharmacologic substance"
"heart diseases","0.134","disease or syndrome"
"opiates","0.125","hazardous or poisonous substance - mental or behavioral dysfunction - pharmacologic substance"
"epilepsy","0.125","disease or syndrome"
"negative finding","0.125","finding"
"suicidal","0.121","finding"
"hepatic","0.121","body location or region"
"screening for cancer","0.112","diagnostic procedure"
"unipolar depression","0.112","mental or behavioral dysfunction"
"pregnancy tests","0.108","diagnostic procedure"
"electrocardiogram","0.108","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"benzodiazepines","0.099","organic chemical - pharmacologic substance"
"attention deficit hyperactivity disorder","0.099","disease or syndrome - mental or behavioral dysfunction"
"marihuana","0.099","mental or behavioral dysfunction - organic chemical - pharmacologic substance"
"smoker","0.095","finding"
"opiate addiction","0.091","mental or behavioral dysfunction"
"blood pressure finding","0.091","finding"
"cardiac arrhythmia","0.091","finding - pathologic function"
"severe combined immunodeficiency","0.086","diagnostic procedure - disease or syndrome"
"alcoholic intoxication chronic","0.086","mental or behavioral dysfunction"
"dementia","0.086","mental or behavioral dysfunction"
"tobacco","0.086","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"injury wounds","0.086","body substance - injury or poisoning"
"anxiety disorders","0.086","finding - mental or behavioral dysfunction"
"magnetic resonance imaging","0.082","diagnostic procedure"
"substance abuse problem","0.082","mental or behavioral dysfunction"
"buprenorphine","0.078","organic chemical - pharmacologic substance"
"operative surgical procedures","0.078","diagnostic procedure - therapeutic or preventive procedure"
"diastole","0.078","clinical attribute"
"craniocerebral trauma","0.078","injury or poisoning"
"alanine transaminase","0.073","congenital abnormality - disease or syndrome - enzyme"
"liver function","0.073","organ or tissue function"
"medical history","0.073","finding"
"suicide attempt","0.073","finding - mental or behavioral dysfunction"
"stimulant","0.073","pharmacologic substance"
"body mass index","0.069","clinical attribute - diagnostic procedure"
"illicit drugs","0.069","hazardous or poisonous substance - pharmacologic substance"
"substance dependence","0.069","mental or behavioral dysfunction"
"consciousness related finding","0.069","finding"
"unconscious state","0.069","disease or syndrome - finding"
"antipsychotic agents","0.069","pharmacologic substance"
"nervous system disorder","0.069","disease or syndrome"
"consumption-archaic term for tb","0.065","disease or syndrome"
"malignant neoplasms","0.065","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"caffeine","0.065","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"congenital abnormality","0.060","congenital abnormality - disease or syndrome"
"phosphatidylinositols","0.060","biologically active substance"
"detoxification procedure","0.060","therapeutic or preventive procedure"
"multiple endocrine neoplasia","0.060","antibiotic - neoplastic process - organic chemical"
"breast","0.060","body part, organ, or organ component"
"drug dependence","0.060","mental or behavioral dysfunction"
"vital signs","0.060","clinical attribute"
"aspartate transaminase","0.056","enzyme"
"mercury","0.056","hazardous or poisonous substance"
"diabetes","0.056","disease or syndrome"
"adverse reactions","0.056","antibiotic - biologically active substance - disease or syndrome - finding - organic chemical - pathologic function - pharmacologic substance - receptor"
"respiratory air","0.056","body substance"
"infantile neuroaxonal dystrophy","0.056","disease or syndrome"
"myocardial infarction","0.052","disease or syndrome - finding"
"bilateral prophylactic mastectomy","0.052","organic chemical - therapeutic or preventive procedure"
