"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"marihuana","0.66522","mental or behavioral dysfunction - organic chemical - pharmacologic substance"
"intravenous infusion procedures","0.26522","therapeutic or preventive procedure"
"contraceptive methods","0.23043","therapeutic or preventive procedure"
"cannabis dependence","0.21739","mental or behavioral dysfunction"
"pharmacologic substance","0.13043","pharmacologic substance - therapeutic or preventive procedure"
"positive finding","0.12609","finding"
"ethanol","0.07826","organic chemical - pharmacologic substance"
"schizophrenia","0.07826","mental or behavioral dysfunction"
"negative finding","0.07391","finding"
"pregnancy tests","0.06957","diagnostic procedure"
"cannabis abuse","0.06957","mental or behavioral dysfunction - organic chemical - pharmacologic substance"
"smoker","0.06522","finding"
"multiple endocrine neoplasia","0.06522","antibiotic - neoplastic process - organic chemical"
"pharmaceutical preparations","0.06087","pharmacologic substance"
"postural orthostatic tachycardia syndrome","0.05652","disease or syndrome"
"contraceptives oral","0.05217","pharmacologic substance - therapeutic or preventive procedure"
"heart rate","0.05217","clinical attribute"
"multiple sclerosis","0.04783","body part, organ, or organ component - disease or syndrome - finding"
"active brand of pseudoephedrine-triprolidine","0.04783","organic chemical - pharmacologic substance"
"gravidity","0.04783","finding"
"antipsychotic agents","0.04348","pharmacologic substance"
"moderate adverse event","0.04348","finding"
"cannabinoids","0.04348","organic chemical - pharmacologic substance"
"physical assessment findings","0.04348","finding"
"autonomic dysfunction","0.03913","pathologic function"
"electrocardiogram","0.03913","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"schizoaffective disorder","0.03478","mental or behavioral dysfunction"
"tobacco","0.03478","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"oral contraception","0.03478","pharmacologic substance - therapeutic or preventive procedure"
"disease of diaphragm","0.03478","body part, organ, or organ component - disease or syndrome"
"blood pressure finding","0.03478","finding"
"deterioration of status","0.03478","finding"
"screening for cancer","0.03478","diagnostic procedure"
"medical history","0.03043","finding"
"tetrahydrocannabinol","0.03043","organic chemical - pharmacologic substance"
"nabilone","0.03043","organic chemical - pharmacologic substance"
"body mass index","0.02609","clinical attribute - diagnostic procedure"
"systolic pressure","0.02609","clinical attribute - diagnostic procedure"
"allergy severity - severe","0.02609","finding"
"serum","0.02609","biologically active substance - body substance - pharmacologic substance"
"diastolic blood pressure","0.02609","clinical attribute - diagnostic procedure - finding"
"diastole","0.02609","clinical attribute"
"substance abuse problem","0.02174","mental or behavioral dysfunction"
"illicit drugs","0.02174","hazardous or poisonous substance - pharmacologic substance"
"orthostatic intolerance","0.02174","disease or syndrome - finding"
"mass of body structure","0.02174","finding"
"veins","0.01739","body part, organ, or organ component"
"blood vessel","0.01739","body part, organ, or organ component - finding"
"relate - vinyl resin","0.01739","organic chemical"
"marijuana abuse","0.01739","mental or behavioral dysfunction - organic chemical - pharmacologic substance"
"congenital abnormality","0.01739","congenital abnormality - disease or syndrome"
"mercury","0.01739","hazardous or poisonous substance"
"current non-drinker of alcohol","0.01739","individual behavior"
"attention deficit hyperactivity disorder","0.01739","disease or syndrome - mental or behavioral dysfunction"
"opioids","0.01739","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"adverse reactions","0.01739","antibiotic - biologically active substance - disease or syndrome - finding - organic chemical - pathologic function - pharmacologic substance - receptor"
"implantation procedure","0.01739","therapeutic or preventive procedure"
"sexually active","0.01739","finding"
"malignant neoplasms","0.01739","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"mental disorders","0.01739","mental or behavioral dysfunction"
"psychotic disorders","0.01304","mental or behavioral dysfunction"
"hiv seropositivity","0.01304","finding"
"psychiatric problem","0.01304","mental or behavioral dysfunction"
"breast","0.01304","body part, organ, or organ component"
"auditory recruitment","0.01304","disease or syndrome"
"nicotine dependence","0.01304","mental or behavioral dysfunction"
"infantile neuroaxonal dystrophy","0.01304","disease or syndrome"
"substance use disorders","0.01304","mental or behavioral dysfunction"
"alcoholic intoxication chronic","0.01304","mental or behavioral dysfunction"
"bleomycin-cisplatin protocol","0.01304","therapeutic or preventive procedure"
"injury wounds","0.01304","body substance - injury or poisoning"
"sexual intercourse - finding","0.01304","finding"
"drug abuse","0.01304","mental or behavioral dysfunction"
"follow-up status","0.01304","finding"
"major depressive disorder","0.01304","mental or behavioral dysfunction"
"disability","0.00870","finding"
"anxiety disorders","0.00870","finding - mental or behavioral dysfunction"
"clozapine","0.00870","organic chemical - pharmacologic substance"
"caffeine","0.00870","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"psychotropic drugs","0.00870","pharmacologic substance"
"craniocerebral trauma","0.00870","injury or poisoning"
"unipolar depression","0.00870","mental or behavioral dysfunction"
"cocaine","0.00870","hazardous or poisonous substance - injury or poisoning - organic chemical - pharmacologic substance"
"opiates","0.00870","hazardous or poisonous substance - mental or behavioral dysfunction - pharmacologic substance"
"placebos","0.00870","therapeutic or preventive procedure"
"hypersensitivity","0.00870","clinical attribute - finding - pathologic function"
"current therapy","0.00870","therapeutic or preventive procedure"
"depressed mood","0.00870","finding - mental or behavioral dysfunction"
"alcohol abuse","0.00870","mental or behavioral dysfunction"
"suicidal","0.00435","finding"
"psychotic illness","0.00435","finding"
"diabetes mellitus","0.00435","disease or syndrome - pharmacologic substance"
"arteries","0.00435","body part, organ, or organ component"
"pharmacotherapy","0.00435","therapeutic or preventive procedure"
"benzodiazepines","0.00435","organic chemical - pharmacologic substance"
"manic","0.00435","finding - mental or behavioral dysfunction"
"chronic obstructive airway disease","0.00435","disease or syndrome"
"drug dependence","0.00435","mental or behavioral dysfunction"
"claustrophobia","0.00435","mental or behavioral dysfunction"
"eating disorders","0.00435","mental or behavioral dysfunction"
"drugs non-prescription","0.00435","pharmacologic substance - therapeutic or preventive procedure"
"unconscious state","0.00435","disease or syndrome - finding"
"mental retardation","0.00435","mental or behavioral dysfunction"
"heart diseases","0.00435","disease or syndrome"
"family history","0.00435","congenital abnormality - disease or syndrome - enzyme - finding"
"unstable status","0.00435","finding"
"counter brand of terbufos","0.00435","hazardous or poisonous substance"
"mood disorders","0.00435","mental or behavioral dysfunction"
"consciousness related finding","0.00435","finding"
"hypertensive disease","0.00435","biologically active substance - disease or syndrome - finding"
"adrenal cortex hormones","0.00435","pharmacologic substance"
"antidepressive agents","0.00435","pharmacologic substance"
"psychotic symptoms","0.00435","sign or symptom"
