"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"ethanol","0.31529","organic chemical - pharmacologic substance"
"gravidity","0.30588","finding"
"mental disorders","0.25882","mental or behavioral dysfunction"
"pharmacologic substance","0.24941","pharmacologic substance - therapeutic or preventive procedure"
"psychotic disorders","0.20000","mental or behavioral dysfunction"
"opioids","0.19294","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"benzodiazepines","0.18824","organic chemical - pharmacologic substance"
"intravenous infusion procedures","0.16706","therapeutic or preventive procedure"
"schizophrenia","0.14353","mental or behavioral dysfunction"
"allergy severity - severe","0.14353","finding"
"hypersensitivity","0.14353","clinical attribute - finding - pathologic function"
"active brand of pseudoephedrine-triprolidine","0.14118","organic chemical - pharmacologic substance"
"unstable status","0.13882","finding"
"pharmaceutical preparations","0.12941","pharmacologic substance"
"positive finding","0.11294","finding"
"suicidal","0.10824","finding"
"contraceptive methods","0.10824","therapeutic or preventive procedure"
"opiates","0.10118","hazardous or poisonous substance - mental or behavioral dysfunction - pharmacologic substance"
"depressed mood","0.10118","finding - mental or behavioral dysfunction"
"physical assessment findings","0.09647","finding"
"alanine transaminase","0.09176","congenital abnormality - disease or syndrome - enzyme"
"hepatic","0.09176","body location or region"
"hypertensive disease","0.08706","biologically active substance - disease or syndrome - finding"
"chronic pain","0.08471","disease or syndrome"
"hiv","0.08000","disease or syndrome - pharmacologic substance - virus"
"bipolar disorder","0.08000","mental or behavioral dysfunction"
"buprenorphine","0.08000","organic chemical - pharmacologic substance"
"alcoholic intoxication chronic","0.07765","mental or behavioral dysfunction"
"liver diseases","0.07765","disease or syndrome"
"aspartate transaminase","0.07765","enzyme"
"nicotine","0.07529","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"psychotropic drugs","0.07294","pharmacologic substance"
"congenital abnormality","0.07294","congenital abnormality - disease or syndrome"
"blood pressure finding","0.07059","finding"
"liver function","0.07059","organ or tissue function"
"cardiovascular diseases","0.06824","disease or syndrome"
"naloxone","0.06824","organic chemical - pharmacologic substance"
"naltrexone","0.06824","organic chemical - pharmacologic substance"
"acute hepatitis","0.06824","disease or syndrome"
"electrocardiogram","0.06588","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"substance abuse problem","0.06353","mental or behavioral dysfunction"
"opiate addiction","0.05647","mental or behavioral dysfunction"
"caffeine","0.05412","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"unipolar depression","0.05412","mental or behavioral dysfunction"
"tobacco","0.05176","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"drugs non-prescription","0.05176","pharmacologic substance - therapeutic or preventive procedure"
