"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"psychotic disorders","0.41353","mental or behavioral dysfunction"
"bipolar disorder","0.39098","mental or behavioral dysfunction"
"ethanol","0.35338","organic chemical - pharmacologic substance"
"pharmacologic substance","0.27068","pharmacologic substance - therapeutic or preventive procedure"
"suicidal","0.24812","finding"
"intravenous infusion procedures","0.23308","therapeutic or preventive procedure"
"anxiety disorders","0.22556","finding - mental or behavioral dysfunction"
"schizophrenia","0.21805","mental or behavioral dysfunction"
"unstable status","0.21805","finding"
"allergy severity - severe","0.21053","finding"
"mental disorders","0.20301","mental or behavioral dysfunction"
"substance abuse problem","0.19549","mental or behavioral dysfunction"
"gravidity","0.19549","finding"
"pharmaceutical preparations","0.17293","pharmacologic substance"
"substance dependence","0.16541","mental or behavioral dysfunction"
"epilepsy","0.15038","disease or syndrome"
"active brand of pseudoephedrine-triprolidine","0.15038","organic chemical - pharmacologic substance"
"psychotropic drugs","0.14286","pharmacologic substance"
"hypertensive disease","0.14286","biologically active substance - disease or syndrome - finding"
"hypersensitivity","0.13534","clinical attribute - finding - pathologic function"
"depressed mood","0.12782","finding - mental or behavioral dysfunction"
"benzodiazepines","0.12030","organic chemical - pharmacologic substance"
"psychotherapy","0.12030","therapeutic or preventive procedure"
"personality disorders","0.11278","mental or behavioral dysfunction"
"physical assessment findings","0.11278","finding"
"antipsychotic agents","0.10526","pharmacologic substance"
"post-traumatic stress disorder","0.10526","mental or behavioral dysfunction"
"contraceptive methods","0.09774","therapeutic or preventive procedure"
"hepatic","0.09774","body location or region"
"positive finding","0.09023","finding"
"alcoholic intoxication chronic","0.09023","mental or behavioral dysfunction"
"anxiety generalized","0.09023","mental or behavioral dysfunction"
"generalized anxiety disorder","0.09023","mental or behavioral dysfunction"
"mental retardation","0.09023","mental or behavioral dysfunction"
"obsessive-compulsive disorder","0.09023","disease or syndrome - mental or behavioral dysfunction"
"major depressive disorder","0.08271","mental or behavioral dysfunction"
"impaired cognition","0.07519","finding - mental or behavioral dysfunction"
"stress disorders traumatic","0.07519","mental or behavioral dysfunction"
"cognitive therapy","0.07519","diagnostic procedure - enzyme - hazardous or poisonous substance - therapeutic or preventive procedure"
"schizoaffective disorder","0.06767","mental or behavioral dysfunction"
"drug dependence","0.06767","mental or behavioral dysfunction"
"suicidality","0.06767","clinical attribute"
"mood disorders","0.06767","mental or behavioral dysfunction"
"eating disorders","0.06767","mental or behavioral dysfunction"
"pregnancy tests","0.06015","diagnostic procedure"
"substance use disorders","0.06015","mental or behavioral dysfunction"
"heart diseases","0.06015","disease or syndrome"
"screening for cancer","0.06015","diagnostic procedure"
"paroxetine","0.06015","organic chemical - pharmacologic substance"
"phobic anxiety disorder","0.06015","mental or behavioral dysfunction"
"alcohol abuse","0.06015","mental or behavioral dysfunction"
"delirium dementia amnestic cognitive disorders","0.05263","mental or behavioral dysfunction"
"manic","0.05263","finding - mental or behavioral dysfunction"
"breast","0.05263","body part, organ, or organ component"
"infantile neuroaxonal dystrophy","0.05263","disease or syndrome"
"hematological disease","0.05263","disease or syndrome"
"experimental drug","0.05263","pharmacologic substance"
"suicide risk","0.05263","finding"
"severe depression","0.05263","mental or behavioral dysfunction"
"vital signs","0.05263","clinical attribute"
"developmental disabilities","0.05263","mental or behavioral dysfunction"
"kidney diseases","0.04511","disease or syndrome"
"caffeine","0.04511","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"pharmacotherapy","0.04511","therapeutic or preventive procedure"
"nicotine","0.04511","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"severe combined immunodeficiency","0.04511","diagnostic procedure - disease or syndrome"
"encephalopathies","0.04511","disease or syndrome - finding"
"organic brain syndrome","0.04511","disease or syndrome"
"selective serotonin re-uptake inhibitor","0.04511","pharmacologic substance"
"progressive disease","0.04511","disease or syndrome - finding - neoplastic process"
"phobia social","0.04511","mental or behavioral dysfunction"
"cardiac arrhythmia","0.04511","finding - pathologic function"
"fluoxetine","0.04511","organic chemical - pharmacologic substance"
"nervous system disorder","0.04511","disease or syndrome"
"behavior therapy","0.04511","therapeutic or preventive procedure"
"psychotic symptoms","0.04511","sign or symptom"
"bleomycin-cisplatin protocol","0.03759","therapeutic or preventive procedure"
"asthma","0.03759","disease or syndrome"
"diabetes mellitus","0.03759","disease or syndrome - pharmacologic substance"
"febrile convulsions","0.03759","disease or syndrome - pharmacologic substance"
"injury wounds","0.03759","body substance - injury or poisoning"
"lung diseases","0.03759","disease or syndrome"
"craniocerebral trauma","0.03759","injury or poisoning"
"unipolar depression","0.03759","mental or behavioral dysfunction"
"osteochondritis dissecans","0.03759","disease or syndrome - mental or behavioral dysfunction"
"stabilizer - function","0.03759","organ or tissue function"
"thyroid gland","0.03759","body part, organ, or organ component - disease or syndrome - pharmacologic substance"
"observation of attack","0.03759","finding"
"carbamazepine","0.03759","organic chemical - pharmacologic substance"
"cognition disorders","0.03759","mental or behavioral dysfunction"
"monoamine oxidase inhibitors","0.03759","organic chemical - pharmacologic substance"
"investigational new drugs","0.03759","pharmacologic substance - therapeutic or preventive procedure"
"compulsive disorder","0.03759","finding"
"fever","0.03759","finding"
"hyperthyroidism","0.03759","disease or syndrome"
"tricyclic antidepressive agents","0.03008","pharmacologic substance"
"anxiety symptoms","0.03008","finding"
"hiv seropositivity","0.03008","finding"
"psychiatric problem","0.03008","mental or behavioral dysfunction"
"pervasive development disorder","0.03008","congenital abnormality - inorganic chemical - mental or behavioral dysfunction - pharmacologic substance"
"neoplasm metastasis","0.03008","neoplastic process"
"lithium","0.03008","congenital abnormality - disease or syndrome - pharmacologic substance"
"tropical spastic paraparesis","0.03008","disease or syndrome - therapeutic or preventive procedure"
"progesterone","0.03008","pharmacologic substance"
"relate - vinyl resin","0.03008","organic chemical"
"doxorubicin-fluorouracil-mitomycin-vincristine protocol","0.03008","therapeutic or preventive procedure"
"pulmonary emphysema","0.03008","disease or syndrome - pathologic function"
"insulin","0.03008","pharmacologic substance"
"anaplastic oligodendroglioma","0.03008","neoplastic process"
"congenital abnormality","0.03008","congenital abnormality - disease or syndrome"
"electrocardiogram","0.03008","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"amnesia","0.03008","mental or behavioral dysfunction - sign or symptom"
"endocrine system diseases","0.03008","disease or syndrome - finding"
"exercise pain management","0.03008","therapeutic or preventive procedure"
"risperidone","0.03008","organic chemical - pharmacologic substance"
"contraceptives oral","0.03008","pharmacologic substance - therapeutic or preventive procedure"
"neuroleptic malignant syndrome","0.03008","disease or syndrome"
"suicide attempt","0.03008","finding - mental or behavioral dysfunction"
"current therapy","0.03008","therapeutic or preventive procedure"
"lactation","0.03008","organ or tissue function"
"homicidal ideation","0.03008","finding"
"malignant syndrome nos","0.03008","disease or syndrome"
"valproate","0.03008","pharmacologic substance"
"malignant neoplasms","0.03008","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"panic attacks","0.02256","mental or behavioral dysfunction"
"sertraline","0.02256","organic chemical - pharmacologic substance"
"social disorder","0.02256","finding"
"congestive heart failure","0.02256","congenital abnormality - disease or syndrome"
"arteries","0.02256","body part, organ, or organ component"
"arteriopathic disease","0.02256","disease or syndrome"
"magnetic resonance imaging","0.02256","diagnostic procedure"
"phobia specific","0.02256","mental or behavioral dysfunction"
"disability","0.02256","finding"
"attention deficit hyperactivity disorder","0.02256","disease or syndrome - mental or behavioral dysfunction"
"mental suffering","0.02256","mental or behavioral dysfunction"
"clonazepam","0.02256","organic chemical - pharmacologic substance"
"alcohol consumption","0.02256","individual behavior"
"diagnosis psychiatric","0.02256","mental or behavioral dysfunction"
"coronary artery disease","0.02256","diagnostic procedure - disease or syndrome - therapeutic or preventive procedure"
"dysthymic disorder","0.01504","mental or behavioral dysfunction"
"chest pain","0.01504","sign or symptom"
"unmarried","0.01504","finding"
"oral contraception","0.01504","pharmacologic substance - therapeutic or preventive procedure"
"nitric oxide synthase","0.01504","enzyme"
"surgical revision","0.01504","therapeutic or preventive procedure"
"moderate adverse event","0.01504","finding"
"social anxiety","0.01504","mental or behavioral dysfunction"
"follow-up status","0.01504","finding"
