"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"intravenous infusion procedures","0.421","therapeutic or preventive procedure"
"anxiety disorders","0.421","finding - mental or behavioral dysfunction"
"psychotic disorders","0.414","mental or behavioral dysfunction"
"bipolar disorder","0.398","mental or behavioral dysfunction"
"ethanol","0.353","organic chemical - pharmacologic substance"
"pharmacologic substance","0.323","pharmacologic substance - therapeutic or preventive procedure"
"mental disorders","0.293","mental or behavioral dysfunction"
"depressed mood","0.263","finding - mental or behavioral dysfunction"
"suicidal","0.256","finding"
"generalized anxiety disorder","0.248","mental or behavioral dysfunction"
"allergy severity - severe","0.233","finding"
"unstable status","0.226","finding"
"gravidity","0.226","finding"
"contraceptive methods","0.218","therapeutic or preventive procedure"
"anxiety generalized","0.218","mental or behavioral dysfunction"
"schizophrenia","0.218","mental or behavioral dysfunction"
"substance abuse problem","0.211","mental or behavioral dysfunction"
"major depressive disorder","0.195","mental or behavioral dysfunction"
"post-traumatic stress disorder","0.195","mental or behavioral dysfunction"
"pharmaceutical preparations","0.188","pharmacologic substance"
"psychotropic drugs","0.188","pharmacologic substance"
"substance dependence","0.165","mental or behavioral dysfunction"
"observation of attack","0.165","finding"
"benzodiazepines","0.158","organic chemical - pharmacologic substance"
"progressive disease","0.158","disease or syndrome - finding - neoplastic process"
"panic attacks","0.158","mental or behavioral dysfunction"
"active brand of pseudoephedrine-triprolidine","0.150","organic chemical - pharmacologic substance"
"epilepsy","0.150","disease or syndrome"
"hypertensive disease","0.143","biologically active substance - disease or syndrome - finding"
"physical assessment findings","0.143","finding"
"hypersensitivity","0.135","clinical attribute - finding - pathologic function"
"obsessive-compulsive disorder","0.135","disease or syndrome - mental or behavioral dysfunction"
"phobic anxiety disorder","0.135","mental or behavioral dysfunction"
"stress disorders traumatic","0.128","mental or behavioral dysfunction"
"personality disorders","0.120","mental or behavioral dysfunction"
"mood disorders","0.120","mental or behavioral dysfunction"
"psychotherapy","0.120","therapeutic or preventive procedure"
"positive finding","0.113","finding"
"phobia social","0.113","mental or behavioral dysfunction"
"pregnancy tests","0.113","diagnostic procedure"
"hepatic","0.113","body location or region"
"antipsychotic agents","0.105","pharmacologic substance"
"alcoholic intoxication chronic","0.105","mental or behavioral dysfunction"
"cognitive therapy","0.098","diagnostic procedure - enzyme - hazardous or poisonous substance - therapeutic or preventive procedure"
"fluoxetine","0.090","organic chemical - pharmacologic substance"
"mental retardation","0.090","mental or behavioral dysfunction"
"unipolar depression","0.083","mental or behavioral dysfunction"
"severe combined immunodeficiency","0.075","diagnostic procedure - disease or syndrome"
"eating disorders","0.075","mental or behavioral dysfunction"
"panic disorder with agoraphobia","0.075","mental or behavioral dysfunction"
"schizoaffective disorder","0.075","mental or behavioral dysfunction"
"impaired cognition","0.075","finding - mental or behavioral dysfunction"
"paroxetine","0.075","organic chemical - pharmacologic substance"
"suicidality","0.068","clinical attribute"
"pharmacotherapy","0.068","therapeutic or preventive procedure"
"anti-anxiety agents","0.068","pharmacologic substance"
"drug dependence","0.068","mental or behavioral dysfunction"
"screening for cancer","0.068","diagnostic procedure"
"injury wounds","0.068","body substance - injury or poisoning"
"behavior therapy","0.068","therapeutic or preventive procedure"
"operative surgical procedures","0.060","diagnostic procedure - therapeutic or preventive procedure"
"alcohol abuse","0.060","mental or behavioral dysfunction"
"neoplasm metastasis","0.060","neoplastic process"
"tropical spastic paraparesis","0.060","disease or syndrome - therapeutic or preventive procedure"
"substance use disorders","0.060","mental or behavioral dysfunction"
"osteochondritis dissecans","0.060","disease or syndrome - mental or behavioral dysfunction"
"compulsive disorder","0.060","finding"
"negative finding","0.060","finding"
"infantile neuroaxonal dystrophy","0.060","disease or syndrome"
"selective serotonin re-uptake inhibitor","0.060","pharmacologic substance"
"heart diseases","0.060","disease or syndrome"
"manic","0.053","finding - mental or behavioral dysfunction"
"caffeine","0.053","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"moderate adverse event","0.053","finding"
"suicide risk","0.053","finding"
"dysthymic disorder","0.053","mental or behavioral dysfunction"
"hematological disease","0.053","disease or syndrome"
"developmental disabilities","0.053","mental or behavioral dysfunction"
"breast","0.053","body part, organ, or organ component"
"electrocardiogram","0.053","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"cardiac arrhythmia","0.053","finding - pathologic function"
"severe depression","0.053","mental or behavioral dysfunction"
"asthma","0.053","disease or syndrome"
"delirium dementia amnestic cognitive disorders","0.053","mental or behavioral dysfunction"
"social disorder","0.053","finding"
"experimental drug","0.053","pharmacologic substance"
"nervous system disorder","0.053","disease or syndrome"
"vital signs","0.053","clinical attribute"
"kidney diseases","0.045","disease or syndrome"
"encephalopathies","0.045","disease or syndrome - finding"
"congenital abnormality","0.045","congenital abnormality - disease or syndrome"
"social anxiety","0.045","mental or behavioral dysfunction"
"nicotine","0.045","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"bleomycin-cisplatin protocol","0.045","therapeutic or preventive procedure"
"phobia specific","0.045","mental or behavioral dysfunction"
"organic brain syndrome","0.045","disease or syndrome"
"anxiety symptoms","0.045","finding"
"thyroid gland","0.045","body part, organ, or organ component - disease or syndrome - pharmacologic substance"
"tricyclic antidepressive agents","0.045","pharmacologic substance"
"relate - vinyl resin","0.045","organic chemical"
"craniocerebral trauma","0.045","injury or poisoning"
"contraception barrier","0.045","therapeutic or preventive procedure"
"psychotic symptoms","0.045","sign or symptom"
"nitric oxide synthase","0.045","enzyme"
"monoamine oxidase inhibitors","0.038","organic chemical - pharmacologic substance"
"febrile convulsions","0.038","disease or syndrome - pharmacologic substance"
"fever","0.038","finding"
"diagnosis psychiatric","0.038","mental or behavioral dysfunction"
"sertraline","0.038","organic chemical - pharmacologic substance"
"diabetes mellitus","0.038","disease or syndrome - pharmacologic substance"
"follow-up status","0.038","finding"
"cognition disorders","0.038","mental or behavioral dysfunction"
"hyperthyroidism","0.038","disease or syndrome"
"multiple endocrine neoplasia","0.038","antibiotic - neoplastic process - organic chemical"
"stabilizer - function","0.038","organ or tissue function"
"unmarried","0.038","finding"
"lung diseases","0.038","disease or syndrome"
"contraceptives oral","0.038","pharmacologic substance - therapeutic or preventive procedure"
"carbamazepine","0.038","organic chemical - pharmacologic substance"
"investigational new drugs","0.038","pharmacologic substance - therapeutic or preventive procedure"
"lithium","0.038","congenital abnormality - disease or syndrome - pharmacologic substance"
"current therapy","0.038","therapeutic or preventive procedure"
"disability","0.030","finding"
"body mass index","0.030","clinical attribute - diagnostic procedure"
"progesterone","0.030","pharmacologic substance"
"doxorubicin-fluorouracil-mitomycin-vincristine protocol","0.030","therapeutic or preventive procedure"
"oral contraception","0.030","pharmacologic substance - therapeutic or preventive procedure"
"insulin","0.030","pharmacologic substance"
"pulmonary emphysema","0.030","disease or syndrome - pathologic function"
"pregnancy test negative","0.030","finding - laboratory or test result"
"neuroleptic malignant syndrome","0.030","disease or syndrome"
"hiv seropositivity","0.030","finding"
"arteries","0.030","body part, organ, or organ component"
"arteriopathic disease","0.030","disease or syndrome"
"magnetic resonance imaging","0.030","diagnostic procedure"
"malignant syndrome nos","0.030","disease or syndrome"
"lactation","0.030","organ or tissue function"
"risperidone","0.030","organic chemical - pharmacologic substance"
"exercise pain management","0.030","therapeutic or preventive procedure"
"attention deficit hyperactivity disorder","0.030","disease or syndrome - mental or behavioral dysfunction"
"clonazepam","0.030","organic chemical - pharmacologic substance"
"malignant neoplasms","0.030","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"pervasive development disorder","0.030","congenital abnormality - inorganic chemical - mental or behavioral dysfunction - pharmacologic substance"
"chest pain","0.030","sign or symptom"
"seasonal affective disorder","0.030","finding - mental or behavioral dysfunction"
"anaplastic oligodendroglioma","0.030","neoplastic process"
"amnesia","0.030","mental or behavioral dysfunction - sign or symptom"
"mental suffering","0.030","mental or behavioral dysfunction"
"coronary artery disease","0.030","diagnostic procedure - disease or syndrome - therapeutic or preventive procedure"
"congestive heart failure","0.030","congenital abnormality - disease or syndrome"
"psychiatric problem","0.030","mental or behavioral dysfunction"
"surgical revision","0.030","therapeutic or preventive procedure"
"endocrine system diseases","0.030","disease or syndrome - finding"
"suicide attempt","0.030","finding - mental or behavioral dysfunction"
"alcohol consumption","0.030","individual behavior"
"homicidal ideation","0.030","finding"
"valproate","0.030","pharmacologic substance"
