"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"allergy severity - severe","0.30000","finding"
"pharmacologic substance","0.22500","pharmacologic substance - therapeutic or preventive procedure"
"gravidity","0.21250","finding"
"ethanol","0.20000","organic chemical - pharmacologic substance"
"mental disorders","0.20000","mental or behavioral dysfunction"
"frontotemporal dementia","0.18750","disease or syndrome"
"substance abuse problem","0.17500","mental or behavioral dysfunction"
"magnetic resonance imaging","0.17500","diagnostic procedure"
"congenital abnormality","0.17500","congenital abnormality - disease or syndrome"
"hypersensitivity","0.16250","clinical attribute - finding - pathologic function"
"nervous system disorder","0.13750","disease or syndrome"
"cerebrovascular accident","0.12500","disease or syndrome - therapeutic or preventive procedure"
"epilepsy","0.11250","disease or syndrome"
"psychotic disorders","0.11250","mental or behavioral dysfunction"
"breast","0.11250","body part, organ, or organ component"
"pharmaceutical preparations","0.11250","pharmacologic substance"
"active brand of pseudoephedrine-triprolidine","0.11250","organic chemical - pharmacologic substance"
"unstable status","0.11250","finding"
"malignant neoplasms","0.11250","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"impaired cognition","0.10000","finding - mental or behavioral dysfunction"
"hepatic","0.10000","body location or region"
"depressed mood","0.10000","finding - mental or behavioral dysfunction"
"contraceptive methods","0.08750","therapeutic or preventive procedure"
"positive finding","0.08750","finding"
"craniocerebral trauma","0.08750","injury or poisoning"
"pregnancy tests","0.08750","diagnostic procedure"
"investigational new drugs","0.08750","pharmacologic substance - therapeutic or preventive procedure"
"pathology processes","0.07500","pathologic function"
"alanine transaminase","0.07500","congenital abnormality - disease or syndrome - enzyme"
"cardiovascular diseases","0.07500","disease or syndrome"
"schizophrenia","0.07500","mental or behavioral dysfunction"
"hemorrhage","0.07500","pathologic function - therapeutic or preventive procedure"
"claustrophobia","0.07500","mental or behavioral dysfunction"
"traumatic brain injury","0.07500","disease or syndrome - injury or poisoning"
"unconscious state","0.07500","disease or syndrome - finding"
"memory observations","0.07500","finding"
