"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"frontotemporal dementia","0.362","disease or syndrome"
"allergy severity - severe","0.312","finding"
"pharmacologic substance","0.275","pharmacologic substance - therapeutic or preventive procedure"
"magnetic resonance imaging","0.275","diagnostic procedure"
"gravidity","0.237","finding"
"mental disorders","0.212","mental or behavioral dysfunction"
"ethanol","0.200","organic chemical - pharmacologic substance"
"congenital abnormality","0.188","congenital abnormality - disease or syndrome"
"pregnancy tests","0.188","diagnostic procedure"
"mini-mental status exam","0.188","diagnostic procedure"
"hypersensitivity","0.175","clinical attribute - finding - pathologic function"
"contraceptive methods","0.175","therapeutic or preventive procedure"
"substance abuse problem","0.175","mental or behavioral dysfunction"
"epilepsy","0.163","disease or syndrome"
"memory observations","0.163","finding"
"cerebrovascular accident","0.150","disease or syndrome - therapeutic or preventive procedure"
"hepatic","0.138","body location or region"
"pharmaceutical preparations","0.138","pharmacologic substance"
"nervous system disorder","0.138","disease or syndrome"
"positive finding","0.125","finding"
"malignant neoplasms","0.125","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"breast","0.125","body part, organ, or organ component"
"impaired cognition","0.125","finding - mental or behavioral dysfunction"
"active brand of pseudoephedrine-triprolidine","0.125","organic chemical - pharmacologic substance"
"psychotic disorders","0.113","mental or behavioral dysfunction"
"serum","0.113","biologically active substance - body substance - pharmacologic substance"
"aphasia progressive","0.113","mental or behavioral dysfunction"
"unstable status","0.113","finding"
"negative finding","0.113","finding"
"dactinomycin","0.113","antibiotic - body part, organ, or organ component - disease or syndrome - therapeutic or preventive procedure"
"abnormal degeneration","0.113","pathologic function"
"treatment protocols","0.100","therapeutic or preventive procedure"
"hypertensive disease","0.100","biologically active substance - disease or syndrome - finding"
"amyotrophic lateral sclerosis","0.100","disease or syndrome - pharmacologic substance"
"alanine transaminase","0.100","congenital abnormality - disease or syndrome - enzyme"
"relate - vinyl resin","0.100","organic chemical"
"craniocerebral trauma","0.100","injury or poisoning"
"depressed mood","0.100","finding - mental or behavioral dysfunction"
"paralysed","0.100","finding"
"bilirubin","0.100","biologically active substance - laboratory or test result - organic chemical"
"consciousness related finding","0.087","finding"
"aspartate transaminase","0.087","enzyme"
"stem of organ","0.087","body part, organ, or organ component"
"unconscious state","0.087","disease or syndrome - finding"
"cardiovascular diseases","0.087","disease or syndrome"
"investigational new drugs","0.087","pharmacologic substance - therapeutic or preventive procedure"
"memantine","0.087","organic chemical - pharmacologic substance"
"claustrophobia","0.087","mental or behavioral dysfunction"
"brain injuries","0.087","injury or poisoning"
"pathology processes","0.075","pathologic function"
"pulmonary resonance","0.075","finding"
"mild adverse event","0.075","finding"
"intravenous infusion procedures","0.075","therapeutic or preventive procedure"
"physical assessment findings","0.075","finding"
"creatinine clearance","0.075","finding"
"neoplasm metastasis","0.075","neoplastic process"
"schizophrenia","0.075","mental or behavioral dysfunction"
"transplantation","0.075","therapeutic or preventive procedure"
"progressive supranuclear palsy","0.075","biologically active substance - disease or syndrome"
"transaminases","0.075","enzyme"
"traumatic brain injury","0.075","disease or syndrome - injury or poisoning"
"hemorrhage","0.075","pathologic function - therapeutic or preventive procedure"
"neurological observations","0.075","finding"
"nervousness","0.062","sign or symptom"
"cholinesterase inhibitors","0.062","organic chemical - pharmacologic substance"
"moderate adverse event","0.062","finding"
"pharmacotherapy","0.062","therapeutic or preventive procedure"
"human chorionic gonadotropin","0.062","disease or syndrome - pharmacologic substance"
