"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"intravenous infusion procedures","0.29217","therapeutic or preventive procedure"
"depressed mood","0.12142","finding - mental or behavioral dysfunction"
"contraceptive methods","0.11152","therapeutic or preventive procedure"
"schizophrenia","0.10901","mental or behavioral dysfunction"
"negative finding","0.07504","finding"
"major depressive disorder","0.07267","mental or behavioral dysfunction"
"physical assessment findings","0.07245","finding"
"mental disorders","0.06979","mental or behavioral dysfunction"
"pharmacologic substance","0.06536","pharmacologic substance - therapeutic or preventive procedure"
"antipsychotic agents","0.06359","pharmacologic substance"
"ethanol","0.05399","organic chemical - pharmacologic substance"
"multiple endocrine neoplasia","0.05192","antibiotic - neoplastic process - organic chemical"
"pregnancy tests","0.04963","diagnostic procedure"
"body mass index","0.04948","clinical attribute - diagnostic procedure"
"mini-mental status exam","0.04830","diagnostic procedure"
"schizoaffective disorder","0.04631","mental or behavioral dysfunction"
"positive finding","0.04527","finding"
"moderate adverse event","0.04490","finding"
"anxiety disorders","0.04439","finding - mental or behavioral dysfunction"
"antidepressive agents","0.04335","pharmacologic substance"
"attention deficit hyperactivity disorder","0.04202","disease or syndrome - mental or behavioral dysfunction"
"mild adverse event","0.04069","finding"
"gravidity","0.04040","finding"
"post-traumatic stress disorder","0.03951","mental or behavioral dysfunction"
"active brand of pseudoephedrine-triprolidine","0.03722","organic chemical - pharmacologic substance"
"operative surgical procedures","0.03663","diagnostic procedure - therapeutic or preventive procedure"
"bipolar disorder","0.03538","mental or behavioral dysfunction"
"dementia","0.03501","mental or behavioral dysfunction"
"medical history","0.03493","finding"
"unipolar depression","0.03479","mental or behavioral dysfunction"
"mass of body structure","0.03316","finding"
"depressive episode unspecified","0.03309","mental or behavioral dysfunction"
"electrocardiogram","0.03257","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"relate - vinyl resin","0.03168","organic chemical"
"severe combined immunodeficiency","0.03013","diagnostic procedure - disease or syndrome"
"dactinomycin","0.02984","antibiotic - body part, organ, or organ component - disease or syndrome - therapeutic or preventive procedure"
"allergy severity - severe","0.02873","finding"
"psychotropic drugs","0.02688","pharmacologic substance"
"psychotic disorders","0.02578","mental or behavioral dysfunction"
"pharmaceutical preparations","0.02474","pharmacologic substance"
"autistic disorder","0.02467","mental or behavioral dysfunction"
"sleeplessness","0.02400","finding - sign or symptom"
"serum","0.02400","biologically active substance - body substance - pharmacologic substance"
"magnetic resonance imaging","0.02319","diagnostic procedure"
"impaired cognition","0.02304","finding - mental or behavioral dysfunction"
"alcoholic intoxication chronic","0.02194","mental or behavioral dysfunction"
"screening for cancer","0.02186","diagnostic procedure"
"malignant neoplasms","0.02171","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"smoking","0.01883","hazardous or poisonous substance - individual behavior"
"generalized anxiety disorder","0.01846","mental or behavioral dysfunction"
"manic","0.01839","finding - mental or behavioral dysfunction"
"substance abuse problem","0.01706","mental or behavioral dysfunction"
"opioids","0.01699","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"mood disorders","0.01684","mental or behavioral dysfunction"
"pharmacotherapy","0.01588","therapeutic or preventive procedure"
"marihuana","0.01455","mental or behavioral dysfunction - organic chemical - pharmacologic substance"
"congenital abnormality","0.01418","congenital abnormality - disease or syndrome"
"blood pressure finding","0.01315","finding"
"selective serotonin re-uptake inhibitor","0.01300","pharmacologic substance"
"cognitive therapy","0.01256","diagnostic procedure - enzyme - hazardous or poisonous substance - therapeutic or preventive procedure"
"injury wounds","0.01182","body substance - injury or poisoning"
"opiates","0.01137","hazardous or poisonous substance - mental or behavioral dysfunction - pharmacologic substance"
"benzodiazepines","0.01100","organic chemical - pharmacologic substance"
"infantile neuroaxonal dystrophy","0.01093","disease or syndrome"
"hypertensive disease","0.01034","biologically active substance - disease or syndrome - finding"
"neoplasm metastasis","0.00990","neoplastic process"
"cocaine","0.00982","hazardous or poisonous substance - injury or poisoning - organic chemical - pharmacologic substance"
"clozapine","0.00908","organic chemical - pharmacologic substance"
"fluoxetine","0.00901","organic chemical - pharmacologic substance"
"pervasive development disorder","0.00857","congenital abnormality - inorganic chemical - mental or behavioral dysfunction - pharmacologic substance"
"cerebrovascular accident","0.00835","disease or syndrome - therapeutic or preventive procedure"
"psychotherapy","0.00820","therapeutic or preventive procedure"
"stress disorders traumatic","0.00820","mental or behavioral dysfunction"
"nicotine","0.00805","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"hiv","0.00775","disease or syndrome - pharmacologic substance - virus"
"obsessive-compulsive disorder","0.00775","disease or syndrome - mental or behavioral dysfunction"
"suicidal","0.00761","finding"
"stimulant","0.00739","pharmacologic substance"
"illicit drugs","0.00724","hazardous or poisonous substance - pharmacologic substance"
"unstable status","0.00694","finding"
"blood vessel","0.00672","body part, organ, or organ component - finding"
"epilepsy","0.00643","disease or syndrome"
"developmental disabilities","0.00628","mental or behavioral dysfunction"
"personality disorders","0.00620","mental or behavioral dysfunction"
"diastole","0.00620","clinical attribute"
"alcohol abuse","0.00613","mental or behavioral dysfunction"
"eating disorders","0.00591","mental or behavioral dysfunction"
"nervous system disorder","0.00591","disease or syndrome"
"hepatic","0.00569","body location or region"
"mental retardation","0.00569","mental or behavioral dysfunction"
"alanine transaminase","0.00517","congenital abnormality - disease or syndrome - enzyme"
"breast","0.00517","body part, organ, or organ component"
"hypersensitivity","0.00510","clinical attribute - finding - pathologic function"
"caffeine","0.00436","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"substance dependence","0.00406","mental or behavioral dysfunction"
"diabetes","0.00406","disease or syndrome"
"multiple sclerosis","0.00391","body part, organ, or organ component - disease or syndrome - finding"
"craniocerebral trauma","0.00384","injury or poisoning"
"suicide attempt","0.00384","finding - mental or behavioral dysfunction"
"brain injuries","0.00377","injury or poisoning"
"consciousness related finding","0.00362","finding"
"heart diseases","0.00332","disease or syndrome"
"lung","0.00332","body part, organ, or organ component - disease or syndrome"
"nervousness","0.00318","sign or symptom"
"thyroid gland","0.00318","body part, organ, or organ component - disease or syndrome - pharmacologic substance"
"neurological observations","0.00318","finding"
"cardiovascular diseases","0.00303","disease or syndrome"
"drug abuse","0.00303","mental or behavioral dysfunction"
"cardiac arrhythmia","0.00281","finding - pathologic function"
"myocardial infarction","0.00273","disease or syndrome - finding"
"unconscious state","0.00251","disease or syndrome - finding"
"medical contraindication","0.00244","finding"
"investigational new drugs","0.00236","pharmacologic substance - therapeutic or preventive procedure"
"monoamine oxidase inhibitors","0.00236","organic chemical - pharmacologic substance"
"angina pectoris","0.00236","sign or symptom"
"liver diseases","0.00207","disease or syndrome"
"kidney diseases","0.00192","disease or syndrome"
