"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"restless legs syndrome","0.76744","disease or syndrome"
"leg","0.41085","body location or region"
"agitation","0.34884","finding - sign or symptom"
"moderate adverse event","0.14729","finding"
"body mass index","0.13178","clinical attribute - diagnostic procedure"
"mass of body structure","0.11628","finding"
"contraceptive methods","0.10853","therapeutic or preventive procedure"
"esthesia","0.10853","finding - organ or tissue function"
"allergy severity - severe","0.10853","finding"
"deterioration of status","0.09302","finding"
"negative finding","0.08527","finding"
"physical assessment findings","0.08527","finding"
"treatment protocols","0.07752","therapeutic or preventive procedure"
"dopamine agonists","0.07752","pharmacologic substance"
"pharmacologic substance","0.06977","pharmacologic substance - therapeutic or preventive procedure"
"medical history","0.06977","finding"
"polysomnography","0.06977","diagnostic procedure"
"pregnancy tests","0.06202","diagnostic procedure"
"pramipexole","0.05426","organic chemical - pharmacologic substance"
"electrocardiogram","0.05426","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"body part","0.04651","body location or region - body part, organ, or organ component"
"follow-up status","0.04651","finding"
"upper arm","0.04651","body location or region - body part, organ, or organ component - neoplastic process"
"gravidity","0.04651","finding"
"limb structure","0.04651","body part, organ, or organ component"
"multiple endocrine neoplasia","0.04651","antibiotic - neoplastic process - organic chemical"
"creatinine clearance","0.03876","finding"
"malaise","0.03876","finding - sign or symptom"
"injectables","0.03876","pharmacologic substance"
"dyssomnias","0.03876","disease or syndrome - sign or symptom"
"hemodialysis","0.03876","therapeutic or preventive procedure"
"pregnancy test negative","0.03876","finding - laboratory or test result"
"renal dialysis","0.03876","therapeutic or preventive procedure"
"contraception barrier","0.03876","therapeutic or preventive procedure"
"opioids","0.03876","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"ropinirole","0.03876","organic chemical - pharmacologic substance"
"placebos","0.03876","therapeutic or preventive procedure"
"benzodiazepines","0.03876","organic chemical - pharmacologic substance"
"pharmacotherapy","0.03101","therapeutic or preventive procedure"
"dopamine hydrochloride","0.03101","organic chemical - pharmacologic substance"
"household composition","0.03101","finding"
"dopa","0.03101","pharmacologic substance"
"direct reacting bilirubin","0.03101","biologically active substance - organic chemical"
"oral contraception","0.03101","pharmacologic substance - therapeutic or preventive procedure"
"active brand of pseudoephedrine-triprolidine","0.03101","organic chemical - pharmacologic substance"
"weighing patient","0.03101","diagnostic procedure - finding"
"diabetes insipidus","0.03101","disease or syndrome"
"aspartate transaminase","0.03101","enzyme"
"levodopa","0.03101","pharmacologic substance"
"asleep","0.02326","finding"
"ethanol","0.02326","organic chemical - pharmacologic substance"
"disease of diaphragm","0.02326","body part, organ, or organ component - disease or syndrome"
"sleep disorders","0.02326","disease or syndrome - sign or symptom"
"contraceptives oral","0.02326","pharmacologic substance - therapeutic or preventive procedure"
"screening for cancer","0.02326","diagnostic procedure"
"alkaline phosphatase","0.02326","enzyme - finding - therapeutic or preventive procedure"
"hormone replacement therapy","0.02326","therapeutic or preventive procedure"
"phosphoric monoester hydrolases","0.02326","enzyme"
"current therapy","0.02326","therapeutic or preventive procedure"
"kidney failure chronic","0.02326","disease or syndrome - pharmacologic substance"
"laboratory results","0.01550","laboratory or test result"
"alanine transaminase","0.01550","congenital abnormality - disease or syndrome - enzyme"
"neoplasm metastasis","0.01550","neoplastic process"
"positive finding","0.01550","finding"
"gabapentin","0.01550","organic chemical - pharmacologic substance"
"movement disorders","0.01550","disease or syndrome"
"antipsychotic agents","0.01550","pharmacologic substance"
"sleeplessness","0.01550","finding - sign or symptom"
"chronic kidney diseases","0.01550","disease or syndrome"
"operative surgical procedures","0.01550","diagnostic procedure - therapeutic or preventive procedure"
"sexual sterilization","0.01550","finding - therapeutic or preventive procedure"
"blood pressure finding","0.01550","finding"
"congenital abnormality","0.01550","congenital abnormality - disease or syndrome"
"exercise pain management","0.01550","therapeutic or preventive procedure"
"hypnotics","0.01550","pharmacologic substance"
"smoking","0.01550","hazardous or poisonous substance - individual behavior"
"neurologic examination","0.01550","diagnostic procedure"
"antidepressive agents","0.01550","pharmacologic substance"
"nervous system disorder","0.01550","disease or syndrome"
"antiepileptic agents","0.00775","pharmacologic substance"
"unspecified deficiency anemia","0.00775","disease or syndrome"
"anti-anxiety agents","0.00775","pharmacologic substance"
"nervousness","0.00775","sign or symptom"
"diastolic blood pressure","0.00775","clinical attribute - diagnostic procedure - finding"
"multiple sclerosis","0.00775","body part, organ, or organ component - disease or syndrome - finding"
"augmentation procedure","0.00775","therapeutic or preventive procedure"
"magnetic resonance imaging","0.00775","diagnostic procedure"
"sleep apnea obstructive","0.00775","biologically active substance - disease or syndrome"
"relate - vinyl resin","0.00775","organic chemical"
"infantile neuroaxonal dystrophy","0.00775","disease or syndrome"
"caffeine","0.00775","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"ferritin level","0.00775","laboratory or test result"
"pharmaceutical preparations","0.00775","pharmacologic substance"
"atrophic","0.00775","disease or syndrome - pathologic function"
"psychotropic drugs","0.00775","pharmacologic substance"
"drugs non-prescription","0.00775","pharmacologic substance - therapeutic or preventive procedure"
"systolic pressure","0.00775","clinical attribute - diagnostic procedure"
"akathisia","0.00775","sign or symptom"
"anticonvulsants","0.00775","pharmacologic substance"
"substance abuse problem","0.00775","mental or behavioral dysfunction"
"iron deficiency anemia","0.00775","disease or syndrome"
"intravenous infusion procedures","0.00775","therapeutic or preventive procedure"
"investigational new drugs","0.00775","pharmacologic substance - therapeutic or preventive procedure"
"nursing therapy","0.00775","therapeutic or preventive procedure"
"hepatitis b surface antigens","0.00775","pharmacologic substance"
"malignant neoplasms","0.00775","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"schizophrenia","0.00775","mental or behavioral dysfunction"
"national origin","0.00775","clinical attribute"
"hepatitis c","0.00775","disease or syndrome - virus"
"neurological observations","0.00775","finding"
"drug abuse","0.00775","mental or behavioral dysfunction"
"rotigotine","0.00775","organic chemical - pharmacologic substance"
"diastole","0.00775","clinical attribute"
"sleep apnea syndromes","0.00775","disease or syndrome"
"multiple system atrophy","0.00775","disease or syndrome - organic chemical - pharmacologic substance"
"depressed mood","0.00775","finding - mental or behavioral dysfunction"
"behaviorial habits","0.00775","individual behavior"
"medical therapy","0.00775","therapeutic or preventive procedure"
"mental disorders","0.00775","mental or behavioral dysfunction"
