"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"suicide attempt","0.25731","finding - mental or behavioral dysfunction"
"depressed mood","0.12281","finding - mental or behavioral dysfunction"
"intravenous infusion procedures","0.10526","therapeutic or preventive procedure"
"valproic acid","0.08187","body part, organ, or organ component - organic chemical - pharmacologic substance"
"active brand of pseudoephedrine-triprolidine","0.07602","organic chemical - pharmacologic substance"
"major depressive disorder","0.07018","mental or behavioral dysfunction"
"borderline personality disorder","0.05848","disease or syndrome - mental or behavioral dysfunction"
"contraceptive methods","0.05848","therapeutic or preventive procedure"
"negative finding","0.05848","finding"
"personality disorders","0.05263","mental or behavioral dysfunction"
"moderate adverse event","0.04094","finding"
"allergy severity - severe","0.04094","finding"
"mini-mental status exam","0.04094","diagnostic procedure"
"self-injurious behavior","0.04094","mental or behavioral dysfunction"
"mood disorders","0.04094","mental or behavioral dysfunction"
"multiple endocrine neoplasia","0.04094","antibiotic - neoplastic process - organic chemical"
"severe combined immunodeficiency","0.03509","diagnostic procedure - disease or syndrome"
"self-harm","0.03509","finding"
"suicidal behavior","0.03509","finding"
"physical assessment findings","0.03509","finding"
"suicidality","0.03509","clinical attribute"
"pharmacologic substance","0.03509","pharmacologic substance - therapeutic or preventive procedure"
"mental disorders","0.03509","mental or behavioral dysfunction"
"positive finding","0.03509","finding"
"relate - vinyl resin","0.02924","organic chemical"
"malignant neoplasms","0.02924","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"post-traumatic stress disorder","0.02924","mental or behavioral dysfunction"
"bipolar disorder","0.02339","mental or behavioral dysfunction"
"depressive episode unspecified","0.02339","mental or behavioral dysfunction"
"unipolar depression","0.02339","mental or behavioral dysfunction"
"psychotropic drugs","0.02339","pharmacologic substance"
"traumatic brain injury","0.02339","disease or syndrome - injury or poisoning"
"psychiatric care","0.02339","therapeutic or preventive procedure"
"pharmacotherapy","0.01754","therapeutic or preventive procedure"
"schizophrenia","0.01754","mental or behavioral dysfunction"
"kidney","0.01754","body part, organ, or organ component"
"antidepressive agents","0.01754","pharmacologic substance"
"mild adverse event","0.01754","finding"
"pregnancy tests","0.01754","diagnostic procedure"
"electrocardiogram","0.01754","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"anxiety disorders","0.01754","finding - mental or behavioral dysfunction"
"renal function","0.01754","organ or tissue function"
"nitric oxide synthase","0.01754","enzyme"
"heart","0.01170","body part, organ, or organ component - pharmacologic substance"
"unstable status","0.01170","finding"
"eating disorders","0.01170","mental or behavioral dysfunction"
"fluoxetine","0.01170","organic chemical - pharmacologic substance"
"ethanol","0.01170","organic chemical - pharmacologic substance"
"psychotherapy","0.01170","therapeutic or preventive procedure"
"liver diseases","0.01170","disease or syndrome"
"neoplasm metastasis","0.01170","neoplastic process"
"mental retardation","0.01170","mental or behavioral dysfunction"
"hepatic","0.01170","body location or region"
"selective serotonin re-uptake inhibitor","0.01170","pharmacologic substance"
"psychotic disorders","0.01170","mental or behavioral dysfunction"
"manic","0.00585","finding - mental or behavioral dysfunction"
"body fluid discharge","0.00585","body substance - therapeutic or preventive procedure"
"substance abuse problem","0.00585","mental or behavioral dysfunction"
"graft-vs-host disease","0.00585","disease or syndrome - therapeutic or preventive procedure"
"substance dependence","0.00585","mental or behavioral dysfunction"
"antipsychotic agents","0.00585","pharmacologic substance"
"suicidal intent","0.00585","finding"
"obsessive-compulsive disorder","0.00585","disease or syndrome - mental or behavioral dysfunction"
"pharmaceutical preparations","0.00585","pharmacologic substance"
"hypersensitivity","0.00585","clinical attribute - finding - pathologic function"
"screening for cancer","0.00585","diagnostic procedure"
"lithium","0.00585","congenital abnormality - disease or syndrome - pharmacologic substance"
"impaired cognition","0.00585","finding - mental or behavioral dysfunction"
