"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"psychotic disorders","0.310","mental or behavioral dysfunction"
"suicide attempt","0.287","finding - mental or behavioral dysfunction"
"allergy severity - severe","0.246","finding"
"active brand of pseudoephedrine-triprolidine","0.199","organic chemical - pharmacologic substance"
"depressed mood","0.187","finding - mental or behavioral dysfunction"
"bipolar disorder","0.181","mental or behavioral dysfunction"
"schizophrenia","0.170","mental or behavioral dysfunction"
"intravenous infusion procedures","0.158","therapeutic or preventive procedure"
"unstable status","0.158","finding"
"ethanol","0.146","organic chemical - pharmacologic substance"
"substance abuse problem","0.146","mental or behavioral dysfunction"
"pharmacologic substance","0.123","pharmacologic substance - therapeutic or preventive procedure"
"gravidity","0.123","finding"
"physical assessment findings","0.117","finding"
"personality disorders","0.105","mental or behavioral dysfunction"
"contraceptive methods","0.094","therapeutic or preventive procedure"
"impaired cognition","0.094","finding - mental or behavioral dysfunction"
"positive finding","0.088","finding"
"mental retardation","0.088","mental or behavioral dysfunction"
"valproic acid","0.088","body part, organ, or organ component - organic chemical - pharmacologic substance"
"antipsychotic agents","0.088","pharmacologic substance"
"borderline personality disorder","0.088","disease or syndrome - mental or behavioral dysfunction"
"suicidality","0.082","clinical attribute"
"major depressive disorder","0.082","mental or behavioral dysfunction"
"mental disorders","0.076","mental or behavioral dysfunction"
"kidney","0.076","body part, organ, or organ component"
"antidepressive agents","0.076","pharmacologic substance"
"substance dependence","0.070","mental or behavioral dysfunction"
"moderate adverse event","0.064","finding"
"negative finding","0.064","finding"
"psychotropic drugs","0.064","pharmacologic substance"
"hypersensitivity","0.058","clinical attribute - finding - pathologic function"
"alcohol abuse","0.058","mental or behavioral dysfunction"
"post-traumatic stress disorder","0.058","mental or behavioral dysfunction"
"mood disorders","0.058","mental or behavioral dysfunction"
"manic","0.053","finding - mental or behavioral dysfunction"
"mini-mental status exam","0.053","diagnostic procedure"
"developmental disabilities","0.053","mental or behavioral dysfunction"
"epilepsy","0.053","disease or syndrome"
"malignant neoplasms","0.053","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"suicidal behavior","0.053","finding"
"severe combined immunodeficiency","0.047","diagnostic procedure - disease or syndrome"
"non-english speaking","0.047","finding"
"anorexia nervosa","0.047","mental or behavioral dysfunction"
"heart","0.047","body part, organ, or organ component - pharmacologic substance"
"lactation","0.047","organ or tissue function"
"dementia","0.047","mental or behavioral dysfunction"
"multiple endocrine neoplasia","0.047","antibiotic - neoplastic process - organic chemical"
"screening for cancer","0.047","diagnostic procedure"
"psychotic symptoms","0.047","sign or symptom"
"pharmaceutical preparations","0.047","pharmacologic substance"
"hepatic","0.047","body location or region"
"fluoxetine","0.041","organic chemical - pharmacologic substance"
"myocardial infarction","0.041","disease or syndrome - finding"
"pharmacotherapy","0.041","therapeutic or preventive procedure"
"self-injurious behavior","0.041","mental or behavioral dysfunction"
"eating disorders","0.041","mental or behavioral dysfunction"
"body fluid discharge","0.041","body substance - therapeutic or preventive procedure"
"liver diseases","0.041","disease or syndrome"
"relate - vinyl resin","0.041","organic chemical"
"depressive episode unspecified","0.041","mental or behavioral dysfunction"
"psychotherapy","0.041","therapeutic or preventive procedure"
"lithium","0.041","congenital abnormality - disease or syndrome - pharmacologic substance"
"selective serotonin re-uptake inhibitor","0.041","pharmacologic substance"
"unipolar depression","0.041","mental or behavioral dysfunction"
"graft-vs-host disease","0.035","disease or syndrome - therapeutic or preventive procedure"
"psychiatric care","0.035","therapeutic or preventive procedure"
"pregnancy tests","0.035","diagnostic procedure"
"hypertensive disease","0.035","biologically active substance - disease or syndrome - finding"
"self-harm","0.035","finding"
"mild adverse event","0.035","finding"
"neoplasm metastasis","0.035","neoplastic process"
"suicidal intent","0.035","finding"
"electrocardiogram","0.035","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"anxiety disorders","0.035","finding - mental or behavioral dysfunction"
"traumatic brain injury","0.035","disease or syndrome - injury or poisoning"
"nitric oxide synthase","0.035","enzyme"
"obsessive-compulsive disorder","0.035","disease or syndrome - mental or behavioral dysfunction"
"renal function","0.035","organ or tissue function"
