"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"sleep apnea obstructive","0.18449","biologically active substance - disease or syndrome"
"sleeplessness","0.15309","finding - sign or symptom"
"sleep apnea syndromes","0.13935","disease or syndrome"
"body mass index","0.11727","clinical attribute - diagnostic procedure"
"polysomnography","0.11629","diagnostic procedure"
"intravenous infusion procedures","0.08292","therapeutic or preventive procedure"
"moderate adverse event","0.07409","finding"
"contraceptive methods","0.07262","therapeutic or preventive procedure"
"mass of body structure","0.06379","finding"
"continuous positive airway pressure","0.05790","therapeutic or preventive procedure"
"primary insomnia","0.05447","disease or syndrome"
"restless legs syndrome","0.05299","disease or syndrome"
"physical assessment findings","0.05299","finding"
"allergy severity - severe","0.04661","finding"
"negative finding","0.04612","finding"
"somnolence","0.04465","finding"
"sleep disorders","0.04416","disease or syndrome - sign or symptom"
"hypertensive disease","0.04122","biologically active substance - disease or syndrome - finding"
"multiple endocrine neoplasia","0.04024","antibiotic - neoplastic process - organic chemical"
"malignant neoplasms","0.03680","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"pharmacologic substance","0.03631","pharmacologic substance - therapeutic or preventive procedure"
"pregnancy tests","0.03533","diagnostic procedure"
"mental disorders","0.03435","mental or behavioral dysfunction"
"operative surgical procedures","0.03386","diagnostic procedure - therapeutic or preventive procedure"
"daytime sleepiness","0.03337","finding"
"positive finding","0.03288","finding"
"active brand of pseudoephedrine-triprolidine","0.03189","organic chemical - pharmacologic substance"
"leg","0.03140","body location or region"
"gravidity","0.03140","finding"
"depressed mood","0.03140","finding - mental or behavioral dysfunction"
"asleep","0.02944","finding"
"agitation","0.02944","finding - sign or symptom"
"treatment protocols","0.02895","therapeutic or preventive procedure"
"dyssomnias","0.02895","disease or syndrome - sign or symptom"
"pharmacotherapy","0.02846","therapeutic or preventive procedure"
"mild adverse event","0.02797","finding"
"relate - vinyl resin","0.02552","organic chemical"
"electrocardiogram","0.02453","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"apnea hypopnea index","0.02306","finding"
"pharmaceutical preparations","0.02159","pharmacologic substance"
"ethanol","0.02110","organic chemical - pharmacologic substance"
"obesity","0.02061","disease or syndrome - finding"
"medical history","0.02012","finding"
"post-traumatic stress disorder","0.01963","mental or behavioral dysfunction"
