"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"gravidity","0.327","finding"
"ethanol","0.269","organic chemical - pharmacologic substance"
"cessation of smoking","0.247","finding - individual behavior"
"pharmacologic substance","0.215","pharmacologic substance - therapeutic or preventive procedure"
"tobacco","0.205","hazardous or poisonous substance - organic chemical - pharmacologic substance"
"nicotine replacement","0.174","therapeutic or preventive procedure"
"unstable status","0.171","finding"
"hypersensitivity","0.159","clinical attribute - finding - pathologic function"
"smoke","0.157","hazardous or poisonous substance - individual behavior"
"contraceptive methods","0.156","therapeutic or preventive procedure"
"active brand of pseudoephedrine-triprolidine","0.155","organic chemical - pharmacologic substance"
"mental disorders","0.152","mental or behavioral dysfunction"
"depressed mood","0.143","finding - mental or behavioral dysfunction"
"allergy severity - severe","0.141","finding"
"substance abuse problem","0.135","mental or behavioral dysfunction"
"psychotic disorders","0.131","mental or behavioral dysfunction"
"hypertensive disease","0.130","biologically active substance - disease or syndrome - finding"
"intravenous infusion procedures","0.130","therapeutic or preventive procedure"
"malignant neoplasms","0.127","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"pharmaceutical preparations","0.122","pharmacologic substance"
"myocardial infarction","0.121","disease or syndrome - finding"
"schizophrenia","0.120","mental or behavioral dysfunction"
"bupropion","0.117","organic chemical - pharmacologic substance"
"bipolar disorder","0.103","mental or behavioral dysfunction"
"positive finding","0.097","finding"
"angina pectoris","0.094","sign or symptom"
"replacement therapy","0.093","therapeutic or preventive procedure"
"epilepsy","0.085","disease or syndrome"
"physical assessment findings","0.084","finding"
"varenicline","0.081","organic chemical - pharmacologic substance"
"cardiac arrhythmia","0.080","finding - pathologic function"
"asthma","0.075","disease or syndrome"
"suicidal","0.074","finding"
"nicotine dependence","0.073","mental or behavioral dysfunction"
"blood pressure finding","0.070","finding"
"pregnancy tests","0.069","diagnostic procedure"
"chronic obstructive airway disease","0.069","disease or syndrome"
"heart diseases","0.068","disease or syndrome"
"unipolar depression","0.068","mental or behavioral dysfunction"
"nicotine transdermal patch","0.067","clinical drug"
"marihuana","0.065","mental or behavioral dysfunction - organic chemical - pharmacologic substance"
"cardiovascular diseases","0.065","disease or syndrome"
"hepatic","0.063","body location or region"
"antidepressive agents","0.063","pharmacologic substance"
"body mass index","0.063","clinical attribute - diagnostic procedure"
"illicit drugs","0.062","hazardous or poisonous substance - pharmacologic substance"
"antipsychotic agents","0.062","pharmacologic substance"
"cerebrovascular accident","0.060","disease or syndrome - therapeutic or preventive procedure"
"breast","0.060","body part, organ, or organ component"
"psychotropic drugs","0.060","pharmacologic substance"
"current smoker","0.058","finding"
"injury wounds","0.058","body substance - injury or poisoning"
"alcohol abuse","0.058","mental or behavioral dysfunction"
"follow-up status","0.057","finding"
"negative finding","0.057","finding"
"craniocerebral trauma","0.057","injury or poisoning"
"congenital abnormality","0.054","congenital abnormality - disease or syndrome"
"angina unstable","0.054","disease or syndrome"
"observation of attack","0.054","finding"
"screening for cancer","0.054","diagnostic procedure"
"anxiety disorders","0.052","finding - mental or behavioral dysfunction"
"smokeless","0.051","organic chemical - pharmacologic substance"
"pharmacotherapy","0.050","therapeutic or preventive procedure"
"carbon monoxide","0.049","hazardous or poisonous substance - inorganic chemical"
"infantile neuroaxonal dystrophy","0.049","disease or syndrome"
"consumption-archaic term for tb","0.046","disease or syndrome"
"respiratory air","0.046","body substance"
"alcoholic intoxication chronic","0.045","mental or behavioral dysfunction"
"lactation","0.044","organ or tissue function"
"monoamine oxidase inhibitors","0.043","organic chemical - pharmacologic substance"
"multiple endocrine neoplasia","0.043","antibiotic - neoplastic process - organic chemical"
"investigational new drugs","0.043","pharmacologic substance - therapeutic or preventive procedure"
"electrocardiogram","0.042","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"cotinine","0.041","organic chemical - pharmacologic substance"
"operative surgical procedures","0.040","diagnostic procedure - therapeutic or preventive procedure"
"medical history","0.040","finding"
"non-smoker","0.040","finding"
"blood vessel","0.040","body part, organ, or organ component - finding"
"benzodiazepines","0.039","organic chemical - pharmacologic substance"
"drug abuse","0.039","mental or behavioral dysfunction"
"moderate adverse event","0.038","finding"
"diabetes","0.038","disease or syndrome"
"dermatologic disorders","0.037","disease or syndrome"
"kidney diseases","0.036","disease or syndrome"
"dementia","0.036","mental or behavioral dysfunction"
"liver diseases","0.036","disease or syndrome"
"smoking cessation therapy","0.035","therapeutic or preventive procedure"
"diastole","0.035","clinical attribute"
"zyban","0.035","organic chemical - pharmacologic substance"
"hiv","0.035","disease or syndrome - pharmacologic substance - virus"
"panic disorder","0.035","disease or syndrome - mental or behavioral dysfunction"
"schizoaffective disorder","0.034","mental or behavioral dysfunction"
"arteries","0.034","body part, organ, or organ component"
"opiates","0.034","hazardous or poisonous substance - mental or behavioral dysfunction - pharmacologic substance"
"major depressive disorder","0.034","mental or behavioral dysfunction"
"congestive heart failure","0.033","congenital abnormality - disease or syndrome"
"gingiva","0.032","body part, organ, or organ component - pharmacologic substance"
"alcohol consumption","0.032","individual behavior"
"cocaine","0.031","hazardous or poisonous substance - injury or poisoning - organic chemical - pharmacologic substance"
"mass of body structure","0.031","finding"
"household composition","0.031","finding"
"bulimia","0.031","mental or behavioral dysfunction"
"lung diseases obstructive","0.031","disease or syndrome"
