"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"psychotic disorders","0.44000","mental or behavioral dysfunction"
"unstable status","0.28000","finding"
"ethanol","0.26000","organic chemical - pharmacologic substance"
"bipolar disorder","0.22000","mental or behavioral dysfunction"
"schizophrenia","0.20000","mental or behavioral dysfunction"
"allergy severity - severe","0.18000","finding"
"substance abuse problem","0.16000","mental or behavioral dysfunction"
"active brand of pseudoephedrine-triprolidine","0.16000","organic chemical - pharmacologic substance"
"pharmacologic substance","0.16000","pharmacologic substance - therapeutic or preventive procedure"
"depressed mood","0.14000","finding - mental or behavioral dysfunction"
"gravidity","0.12000","finding"
"dementia","0.12000","mental or behavioral dysfunction"
"antidepressive agents","0.12000","pharmacologic substance"
"hypertensive disease","0.10000","biologically active substance - disease or syndrome - finding"
"personality disorders","0.10000","mental or behavioral dysfunction"
"alcohol abuse","0.10000","mental or behavioral dysfunction"
"screening for cancer","0.10000","diagnostic procedure"
"psychotic symptoms","0.10000","sign or symptom"
"ketamine","0.08000","organic chemical - pharmacologic substance"
"substance dependence","0.08000","mental or behavioral dysfunction"
"antipsychotic agents","0.08000","pharmacologic substance"
"intravenous infusion procedures","0.08000","therapeutic or preventive procedure"
"physical assessment findings","0.08000","finding"
"sleep apnea syndromes","0.08000","disease or syndrome"
"anorexia nervosa","0.08000","mental or behavioral dysfunction"
"non-english speaking","0.08000","finding"
"cognition disorders","0.08000","mental or behavioral dysfunction"
"developmental disabilities","0.08000","mental or behavioral dysfunction"
"positive finding","0.08000","finding"
"breast","0.08000","body part, organ, or organ component"
"suicidal behavior","0.06000","finding"
"angina pectoris","0.06000","sign or symptom"
"moderate adverse event","0.06000","finding"
"epilepsy","0.06000","disease or syndrome"
"post-traumatic stress disorder","0.06000","mental or behavioral dysfunction"
"angina unstable","0.06000","disease or syndrome"
"brain injuries","0.06000","injury or poisoning"
"mental status adverse event","0.06000","finding"
"electrocardiogram","0.06000","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"nervous system disorder","0.06000","disease or syndrome"
"hypersensitivity","0.06000","clinical attribute - finding - pathologic function"
"obsessive-compulsive disorder","0.06000","disease or syndrome - mental or behavioral dysfunction"
"pervasive development disorder","0.06000","congenital abnormality - inorganic chemical - mental or behavioral dysfunction - pharmacologic substance"
"eating disorders","0.06000","mental or behavioral dysfunction"
"bleomycin-cisplatin protocol","0.06000","therapeutic or preventive procedure"
"pharmaceutical preparations","0.06000","pharmacologic substance"
"benzodiazepines","0.06000","organic chemical - pharmacologic substance"
"marihuana","0.06000","mental or behavioral dysfunction - organic chemical - pharmacologic substance"
"manic","0.06000","finding - mental or behavioral dysfunction"
"psychotropic drugs","0.06000","pharmacologic substance"
"neoplasm metastasis","0.06000","neoplastic process"
"impaired cognition","0.06000","finding - mental or behavioral dysfunction"
"mental retardation","0.06000","mental or behavioral dysfunction"
"medical contraindication","0.06000","finding"
"depressive episode unspecified","0.04000","mental or behavioral dysfunction"
"anxiety disorders","0.04000","finding - mental or behavioral dysfunction"
"suicidality","0.04000","clinical attribute"
"nitric oxide synthase","0.04000","enzyme"
"mood disorders","0.04000","mental or behavioral dysfunction"
"selective serotonin re-uptake inhibitor","0.04000","pharmacologic substance"
"severe combined immunodeficiency","0.02000","diagnostic procedure - disease or syndrome"
"treatment protocols","0.02000","therapeutic or preventive procedure"
"voluntary","0.02000","individual behavior"
"contraceptive methods","0.02000","therapeutic or preventive procedure"
"pregnancy tests","0.02000","diagnostic procedure"
"mild adverse event","0.02000","finding"
"suicide attempt","0.02000","finding - mental or behavioral dysfunction"
"household composition","0.02000","finding"
"negative finding","0.02000","finding"
