"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"tic disorder","0.68750","mental or behavioral dysfunction"
"intravenous infusion procedures","0.43750","therapeutic or preventive procedure"
"gilles de la tourette syndrome","0.40000","body part, organ, or organ component - disease or syndrome - finding - mental or behavioral dysfunction - neoplastic process"
"tic motor","0.17500","sign or symptom"
"contraceptive methods","0.16250","therapeutic or preventive procedure"
"negative finding","0.13750","finding"
"pregnancy tests","0.13750","diagnostic procedure"
"mental disorders","0.13750","mental or behavioral dysfunction"
"movement disorders","0.12500","disease or syndrome"
"motor tic disorders","0.12500","disease or syndrome"
"ethanol","0.12500","organic chemical - pharmacologic substance"
"attention deficit hyperactivity disorder","0.12500","disease or syndrome - mental or behavioral dysfunction"
"physical assessment findings","0.12500","finding"
"osteochondritis dissecans","0.11250","disease or syndrome - mental or behavioral dysfunction"
"gravidity","0.11250","finding"
"obsessive-compulsive disorder","0.11250","disease or syndrome - mental or behavioral dysfunction"
"pharmacologic substance","0.10000","pharmacologic substance - therapeutic or preventive procedure"
"antipsychotic agents","0.10000","pharmacologic substance"
"moderate adverse event","0.10000","finding"
"allergy severity - severe","0.10000","finding"
"compulsive disorder","0.08750","finding"
"tic vocal","0.08750","sign or symptom"
"serum","0.07500","biologically active substance - body substance - pharmacologic substance"
"treatment protocols","0.06250","therapeutic or preventive procedure"
"transverse cerebellar diameter","0.06250","clinical attribute - disease or syndrome - pharmacologic substance"
"relate - vinyl resin","0.06250","organic chemical"
"attention deficit disorder","0.06250","disease or syndrome - mental or behavioral dysfunction"
"current therapy","0.06250","therapeutic or preventive procedure"
"hoxa10 protein human","0.06250","biologically active substance - body location or region"
"hyperactive behavior","0.05000","finding"
"guanfacine","0.05000","organic chemical - pharmacologic substance"
"anxiety disorders","0.05000","finding - mental or behavioral dysfunction"
"integumentary scale","0.05000","body part, organ, or organ component"
"fluoxetine","0.05000","organic chemical - pharmacologic substance"
"psychotropic drugs","0.05000","pharmacologic substance"
"clonidine","0.05000","organic chemical - pharmacologic substance"
"pregnancy test negative","0.05000","finding - laboratory or test result"
"dnmt3b protein human","0.05000","enzyme"
"depressed mood","0.05000","finding - mental or behavioral dysfunction"
"chronic disease","0.05000","disease or syndrome"
"academic achievement","0.03750","finding - individual behavior"
"epilepsy","0.03750","disease or syndrome"
"deterioration of status","0.03750","finding"
"psychotic disorders","0.03750","mental or behavioral dysfunction"
"pervasive development disorder","0.03750","congenital abnormality - inorganic chemical - mental or behavioral dysfunction - pharmacologic substance"
"nervousness","0.03750","sign or symptom"
"malaise","0.03750","finding - sign or symptom"
"normal intelligence","0.03750","finding"
"hepatic","0.03750","body location or region"
"pharmaceutical preparations","0.03750","pharmacologic substance"
"personal satisfaction","0.03750","finding"
"educational status","0.03750","finding - individual behavior"
"laboratory results","0.03750","laboratory or test result"
"congenital abnormality","0.03750","congenital abnormality - disease or syndrome"
"tic disorders vocal","0.03750","disease or syndrome"
"contraception barrier","0.03750","therapeutic or preventive procedure"
"sterility","0.03750","pathologic function"
"schizophrenia","0.03750","mental or behavioral dysfunction"
"neurological observations","0.03750","finding"
"developmental disabilities","0.03750","mental or behavioral dysfunction"
"disability","0.02500","finding"
"stimulant","0.02500","pharmacologic substance"
"magnetic resonance imaging","0.02500","diagnostic procedure"
"bipolar disorder","0.02500","mental or behavioral dysfunction"
"caffeine","0.02500","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"active brand of pseudoephedrine-triprolidine","0.02500","organic chemical - pharmacologic substance"
"disease of diaphragm","0.02500","body part, organ, or organ component - disease or syndrome"
"lung diseases","0.02500","disease or syndrome"
"substance abuse problem","0.02500","mental or behavioral dysfunction"
"heart diseases","0.02500","disease or syndrome"
"unipolar depression","0.02500","mental or behavioral dysfunction"
"electrocardiogram","0.02500","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"mood disorders","0.02500","mental or behavioral dysfunction"
"screening for cancer","0.02500","diagnostic procedure"
"depression bipolar","0.02500","mental or behavioral dysfunction"
"treatment-psychosocial effects","0.02500","finding"
"hypertensive disease","0.02500","biologically active substance - disease or syndrome - finding"
"weighing patient","0.02500","diagnostic procedure - finding"
"nervous system disorder","0.02500","disease or syndrome"
"cognitive therapy","0.02500","diagnostic procedure - enzyme - hazardous or poisonous substance - therapeutic or preventive procedure"
"botulinum toxins","0.02500","hazardous or poisonous substance - pharmacologic substance - therapeutic or preventive procedure"
"kidney diseases","0.01250","disease or syndrome"
"psychiatric problem","0.01250","mental or behavioral dysfunction"
"liver diseases","0.01250","disease or syndrome"
"anxiety generalized","0.01250","mental or behavioral dysfunction"
"traumatic brain injury","0.01250","disease or syndrome - injury or poisoning"
"generalized anxiety disorder","0.01250","mental or behavioral dysfunction"
"operative surgical procedures","0.01250","diagnostic procedure - therapeutic or preventive procedure"
"medical history","0.01250","finding"
"post-traumatic stress disorder","0.01250","mental or behavioral dysfunction"
"cocaine","0.01250","hazardous or poisonous substance - injury or poisoning - organic chemical - pharmacologic substance"
"infantile neuroaxonal dystrophy","0.01250","disease or syndrome"
"comorbid conditions","0.01250","finding"
"atypia morphology","0.01250","finding"
"unstable status","0.01250","finding"
"autistic disorder","0.01250","mental or behavioral dysfunction"
"neurologic examination","0.01250","diagnostic procedure"
"change of medication","0.01250","therapeutic or preventive procedure"
"agitation","0.01250","finding - sign or symptom"
"stress disorders traumatic","0.01250","mental or behavioral dysfunction"
"blind vision","0.01250","disease or syndrome"
"dementia","0.01250","mental or behavioral dysfunction"
"aggressive behavior","0.01250","mental or behavioral dysfunction"
"hypersensitivity","0.01250","clinical attribute - finding - pathologic function"
"toxin","0.01250","biologically active substance - hazardous or poisonous substance"
"sexually active","0.01250","finding"
"stimulation procedure","0.01250","therapeutic or preventive procedure"
"oral medication","0.01250","therapeutic or preventive procedure"
"deep brain stimulation","0.01250","therapeutic or preventive procedure"
"vital signs","0.01250","clinical attribute"
"intelligence tests","0.01250","diagnostic procedure"
"cerebrovascular accident","0.01250","disease or syndrome - therapeutic or preventive procedure"
"therapeutic brand of coal tar","0.01250","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"brain injuries","0.01250","injury or poisoning"
