"CDEs","Frequency (0-1 normalized)","UMLS Semantic Types"
"tic disorder","0.700","mental or behavioral dysfunction"
"intravenous infusion procedures","0.588","therapeutic or preventive procedure"
"psychotic disorders","0.475","mental or behavioral dysfunction"
"gilles de la tourette syndrome","0.450","body part, organ, or organ component - disease or syndrome - finding - mental or behavioral dysfunction - neoplastic process"
"gravidity","0.325","finding"
"bipolar disorder","0.312","mental or behavioral dysfunction"
"pharmacologic substance","0.287","pharmacologic substance - therapeutic or preventive procedure"
"contraceptive methods","0.287","therapeutic or preventive procedure"
"depressed mood","0.287","finding - mental or behavioral dysfunction"
"mental disorders","0.275","mental or behavioral dysfunction"
"allergy severity - severe","0.275","finding"
"pregnancy tests","0.263","diagnostic procedure"
"epilepsy","0.263","disease or syndrome"
"attention deficit hyperactivity disorder","0.263","disease or syndrome - mental or behavioral dysfunction"
"nervous system disorder","0.263","disease or syndrome"
"ethanol","0.250","organic chemical - pharmacologic substance"
"osteochondritis dissecans","0.250","disease or syndrome - mental or behavioral dysfunction"
"antipsychotic agents","0.250","pharmacologic substance"
"physical assessment findings","0.237","finding"
"substance abuse problem","0.225","mental or behavioral dysfunction"
"schizophrenia","0.225","mental or behavioral dysfunction"
"hypersensitivity","0.212","clinical attribute - finding - pathologic function"
"obsessive-compulsive disorder","0.212","disease or syndrome - mental or behavioral dysfunction"
"movement disorders","0.200","disease or syndrome"
"pharmaceutical preparations","0.200","pharmacologic substance"
"positive finding","0.188","finding"
"tic motor","0.188","sign or symptom"
"developmental disabilities","0.188","mental or behavioral dysfunction"
"active brand of pseudoephedrine-triprolidine","0.188","organic chemical - pharmacologic substance"
"mental retardation","0.175","mental or behavioral dysfunction"
"pervasive development disorder","0.175","congenital abnormality - inorganic chemical - mental or behavioral dysfunction - pharmacologic substance"
"unipolar depression","0.175","mental or behavioral dysfunction"
"screening for cancer","0.163","diagnostic procedure"
"congenital abnormality","0.150","congenital abnormality - disease or syndrome"
"magnetic resonance imaging","0.150","diagnostic procedure"
"compulsive disorder","0.150","finding"
"negative finding","0.150","finding"
"electrocardiogram","0.138","diagnostic procedure - finding - organic chemical - pharmacologic substance"
"autistic disorder","0.138","mental or behavioral dysfunction"
"injury wounds","0.138","body substance - injury or poisoning"
"moderate adverse event","0.125","finding"
"motor tic disorders","0.125","disease or syndrome"
"mood disorders","0.125","mental or behavioral dysfunction"
"hyperactive behavior","0.113","finding"
"brain injuries","0.113","injury or poisoning"
"anxiety disorders","0.113","finding - mental or behavioral dysfunction"
"attention deficit disorder","0.100","disease or syndrome - mental or behavioral dysfunction"
"fluoxetine","0.100","organic chemical - pharmacologic substance"
"weighing patient","0.100","diagnostic procedure - finding"
"relate - vinyl resin","0.100","organic chemical"
"behavior therapy","0.100","therapeutic or preventive procedure"
"suicidal","0.087","finding"
"guanfacine","0.087","organic chemical - pharmacologic substance"
"nervousness","0.087","sign or symptom"
"clonidine","0.087","organic chemical - pharmacologic substance"
"lab test abnormal","0.087","finding"
"unstable status","0.087","finding"
"dementia","0.087","mental or behavioral dysfunction"
"cerebrovascular accident","0.087","disease or syndrome - therapeutic or preventive procedure"
"malignant neoplasms","0.087","biologically active substance - finding - neoplastic process - pharmacologic substance - therapeutic or preventive procedure"
"neoplasm metastasis","0.087","neoplastic process"
"brain neoplasms","0.087","neoplastic process"
"craniocerebral trauma","0.087","injury or poisoning"
"psychotropic drugs","0.087","pharmacologic substance"
"traumatic brain injury","0.087","disease or syndrome - injury or poisoning"
"neurological observations","0.087","finding"
"current therapy","0.087","therapeutic or preventive procedure"
"sexually active","0.087","finding"
"tic vocal","0.087","sign or symptom"
"vital signs","0.087","clinical attribute"
"chronic disease","0.087","disease or syndrome"
"cochlear implant procedure","0.075","therapeutic or preventive procedure"
"treatment-psychosocial effects","0.075","finding"
"aripiprazole","0.075","organic chemical - pharmacologic substance"
"serum","0.075","biologically active substance - body substance - pharmacologic substance"
"fever","0.075","finding"
"lung diseases","0.075","disease or syndrome"
"investigational new drugs","0.075","pharmacologic substance - therapeutic or preventive procedure"
"test result","0.075","finding"
"anaplastic oligodendroglioma","0.075","neoplastic process"
"stimulant","0.075","pharmacologic substance"
"kidney diseases","0.062","disease or syndrome"
"treatment protocols","0.062","therapeutic or preventive procedure"
"benzodiazepines","0.062","organic chemical - pharmacologic substance"
"transverse cerebellar diameter","0.062","clinical attribute - disease or syndrome - pharmacologic substance"
"sinoatrial node","0.062","body part, organ, or organ component"
"eye","0.062","body part, organ, or organ component - body substance"
"blind vision","0.062","disease or syndrome"
"hoxa10 protein human","0.062","biologically active substance - body location or region"
"substance dependence","0.062","mental or behavioral dysfunction"
"malaise","0.062","finding - sign or symptom"
"substance use disorders","0.062","mental or behavioral dysfunction"
"drug screen positive","0.062","laboratory or test result"
"psychostimulant","0.062","pharmacologic substance"
"psychoactive substances","0.062","hazardous or poisonous substance - pharmacologic substance"
"cognitive therapy","0.062","diagnostic procedure - enzyme - hazardous or poisonous substance - therapeutic or preventive procedure"
"brain diseases","0.062","disease or syndrome"
"psychiatric problem","0.062","mental or behavioral dysfunction"
"hepatic","0.062","body location or region"
"heart diseases","0.062","disease or syndrome"
"suicide attempt","0.062","finding - mental or behavioral dysfunction"
"cochlear structure","0.050","body part, organ, or organ component"
"integumentary scale","0.050","body part, organ, or organ component"
"caffeine","0.050","organic chemical - pharmacologic substance - therapeutic or preventive procedure"
"febrile convulsions","0.050","disease or syndrome - pharmacologic substance"
"operative surgical procedures","0.050","diagnostic procedure - therapeutic or preventive procedure"
"pregnancy test negative","0.050","finding - laboratory or test result"
"cocaine","0.050","hazardous or poisonous substance - injury or poisoning - organic chemical - pharmacologic substance"
