"aase-smith syndrome"
"hypoplastic anemia/triphalangeal thumb syndrome"
"lithium","195","['congenital abnormality', 'disease or syndrome', 'pharmacologic substance']"
"amph protein human","62","['biologically active substance', 'pharmacologic substance']"
"uterine fibroids","35","['neoplastic process']"
"medical history","27","['finding']"
"js","24","['body part, organ, or organ component']"
"coffin-siris syndrome","23","['congenital abnormality', 'disease or syndrome']"
"histone h3","20","['biologically active substance']"
"rhythm","19","['finding']"
"paramyotonia congenita of von eulenburg","14","['disease or syndrome']"
"rel protein","13","['biologically active substance']"
"hepatic","13","['body location or region']"
"anemia","10","['disease or syndrome']"
"colostrum","9","['body substance', 'finding', 'pharmacologic substance']"
"discontinued","8","['body part, organ, or organ component', 'disease or syndrome', 'finding', 'therapeutic or preventive procedure']"
"target lesion identification","7","['diagnostic procedure']"
"thumb structure","6","['body part, organ, or organ component']"
"app protein human","6","['biologically active substance', 'disease or syndrome', 'finding', 'pharmacologic substance']"
"fluorouracil/melphalan","6","['therapeutic or preventive procedure']"
"foot","5","['body part, organ, or organ component']"
"thrombasthenia","4","['disease or syndrome']"
"alanine transaminase","4","['congenital abnormality', 'disease or syndrome', 'enzyme']"
"blank","4","['finding']"
"set protein human","4","['biologically active substance']"
"diastrophic dysplasia","4","['congenital abnormality', 'disease or syndrome']"
"upper respiratory infections","4","['disease or syndrome']"
"attention deficit disorder","4","['disease or syndrome', 'mental or behavioral dysfunction']"
"skeletal bone","3","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"muscular dystrophy","3","['body part, organ, or organ component', 'congenital abnormality', 'disease or syndrome']"
"date allergenic extract","3","['pharmacologic substance']"
"congenital abnormality","3","['congenital abnormality', 'disease or syndrome']"
"prophylactic treatment","3","['therapeutic or preventive procedure']"
"russell-silver syndrome","3","['congenital abnormality', 'diagnostic procedure', 'disease or syndrome']"
"influenza","2","['disease or syndrome', 'pharmacologic substance']"
"observation result","2","['finding']"
"bony process","2","['body part, organ, or organ component']"
"blood transfusion","2","['therapeutic or preventive procedure']"
"thymidine","2","['biologically active substance', 'enzyme', 'pharmacologic substance']"
"anatomic site","2","['body location or region']"
"prealbumin","2","['biologically active substance']"
"chemical probe","2","['chemical viewed functionally', 'organic chemical', 'pharmacologic substance']"
"formycin triphosphate","2","['pharmacologic substance']"
"does skip","2","['biologically active substance', 'finding']"
"educational status","2","['finding', 'individual behavior']"
"immunoconjugates","2","['hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance']"
"core specimen","2","['body substance']"
"gtpase-activating proteins","1","['biologically active substance']"
"general anesthesia","1","['enzyme', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"contracture","1","['acquired abnormality']"
"chimerin 1","1","['biologically active substance']"
"matrix attachment regions","1","['biologically active substance', 'clinical attribute']"
"compact pattern","1","['finding']"
"esthesia","1","['finding', 'organ or tissue function']"
"prevention of disorder","1","['therapeutic or preventive procedure']"
"rheumatoid arthritis","1","['disease or syndrome', 'pharmacologic substance']"
"weakness","1","['sign or symptom']"
"may-hegglin anomaly","1","['finding', 'organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"physical findings","1","['finding']"
"eyelid structure","1","['body part, organ, or organ component']"
"shoulder","1","['body location or region']"
"echocardiography","1","['diagnostic procedure']"
"narrow shoulders","1","['finding']"
"fibronectins","1","['biologically active substance']"
"electroconvulsive therapy","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"stat protein","1","['biologically active substance', 'finding']"
"paroxysmal atrial fibrillation","1","['disease or syndrome', 'therapeutic or preventive procedure']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"research outcome","1","['finding']"
"anterior segmental vein","1","['body part, organ, or organ component']"
"absent adverse event","1","['finding']"
"diagnostic radiologic examination","1","['diagnostic procedure']"
"copper","1","['biologically active substance', 'organic chemical', 'pharmacologic substance']"
"stillbirth","1","['finding', 'pathologic function']"
"early death","1","['finding']"
"dna","1","['biologically active substance']"
"craniodiaphyseal dysplasia","1","['congenital abnormality']"
"surgical margins","1","['body part, organ, or organ component']"
"doxorubicin","1","['antibiotic', 'finding', 'organic chemical']"
"hypoplastic anemia","1","['disease or syndrome']"
"signs and symptoms","1","['sign or symptom']"
"pallor","1","['finding', 'sign or symptom']"
"genetic counseling","1","['finding', 'therapeutic or preventive procedure']"
"coloring excipient","1","['pharmacologic substance']"
"adverse event associated with death","1","['finding']"
"anatomic border","1","['body location or region']"
"bone marrow transplantation","1","['therapeutic or preventive procedure']"
"expression procedure","1","['therapeutic or preventive procedure']"
"aplasia cutis congenita","1","['congenital abnormality', 'disease or syndrome']"
"ear structure","1","['body part, organ, or organ component', 'body substance']"
"prednisone","1","['pharmacologic substance']"
"parotid double-band protein","1","['biologically active substance']"
"triphalangeal thumb","1","['congenital abnormality']"
"fatigue","1","['sign or symptom']"
"heart problem","1","['sign or symptom']"
"cleft palate","1","['congenital abnormality', 'disease or syndrome', 'organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
