"mass in the abdomen"
"mass of body structure","37","['finding']"
"abdomen","17","['body location or region']"
"abdominal mass","6","['finding']"
"lower abdomen","5","['body location or region']"
"malignant neoplasms","5","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"kidney","4","['body part, organ, or organ component']"
"fibroid tumor","3","['neoplastic process']"
"urinary bladder","3","['body part, organ, or organ component']"
"ask question","2","['finding']"
"pelvis","2","['body location or region', 'body part, organ, or organ component']"
"aortic aneurysm","2","['disease or syndrome']"
"bone structure of rib","2","['body part, organ, or organ component']"
"anatomic site","2","['body location or region']"
"upper abdomen structure","2","['body part, organ, or organ component']"
"rib cage","2","['body part, organ, or organ component']"
"abdomen scan","1","['diagnostic procedure']"
"skeletal bone","1","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"plain x-ray","1","['diagnostic procedure']"
"back","1","['body location or region']"
"ovarian cysts","1","['disease or syndrome']"
"cholecystitis","1","['disease or syndrome', 'finding']"
"x-ray angiography","1","['diagnostic procedure']"
"gallbladder","1","['body part, organ, or organ component', 'disease or syndrome']"
"esophagogastroduodenoscopy","1","['diagnostic procedure']"
"pancreatic abscess","1","['disease or syndrome']"
"ultrasonography","1","['diagnostic procedure']"
"pancreatic pseudocyst","1","['disease or syndrome']"
"hepatomegaly","1","['sign or symptom']"
"intestinal volvulus","1","['disease or syndrome']"
"transabdominal ultrasound","1","['diagnostic procedure']"
"radiography abdominal","1","['diagnostic procedure']"
"administration of enema","1","['therapeutic or preventive procedure']"
"colon carcinoma","1","['neoplastic process']"
"angiogram","1","['diagnostic procedure']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"neuroblastoma","1","['neoplastic process']"
"ribs.right","1","['body part, organ, or organ component']"
"renal cell carcinoma","1","['biologically active substance', 'neoplastic process']"
"aortic aneurysm abdominal","1","['biologically active substance', 'disease or syndrome']"
"renal carcinoma","1","['neoplastic process']"
"pathological dilatation","1","['pathologic function', 'therapeutic or preventive procedure']"
"firmness","1","['finding']"
"diverticulitis","1","['disease or syndrome']"
"colonoscopy","1","['diagnostic procedure']"
"stomach carcinoma","1","['neoplastic process']"
"intestines","1","['body part, organ, or organ component']"
"malignant neoplasm of liver","1","['neoplastic process']"
"barium enema","1","['diagnostic procedure']"
"uterine fibroids","1","['neoplastic process']"
"hydronephrosis","1","['disease or syndrome']"
"hip bone","1","['body part, organ, or organ component']"
"hypertrophy","1","['disease or syndrome', 'pathologic function', 'therapeutic or preventive procedure']"
"splenomegaly","1","['finding']"
"colonic diseases","1","['disease or syndrome']"
"bladder distention","1","['finding', 'sign or symptom']"
"uterus","1","['body part, organ, or organ component', 'disease or syndrome']"
"cyst","1","['body substance', 'disease or syndrome']"
"aortic aneurysm ruptured","1","['disease or syndrome']"
