"achondroplasia","11","['congenital abnormality', 'disease or syndrome', 'sign or symptom']"
"upper arm","3","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"skeletal bone","2","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"hydrocephalus","2","['disease or syndrome', 'finding']"
"brain","2","['body part, organ, or organ component', 'disease or syndrome']"
"prophylactic treatment","2","['therapeutic or preventive procedure']"
"stenosis unspecified","2","['pathologic function']"
"leg","2","['body location or region']"
"physical findings","2","['finding']"
"foot","2","['body part, organ, or organ component']"
"compression of spinal cord","2","['disease or syndrome', 'pathologic function']"
"spinal stenosis","2","['disease or syndrome']"
"bone growth","1","['organ or tissue function']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"structure of long bone","1","['body part, organ, or organ component']"
"muscle tonus","1","['finding', 'organ or tissue function']"
"head size","1","['finding']"
"limb structure","1","['body part, organ, or organ component']"
"tissue growth","1","['organ or tissue function']"
"congenital abnormality","1","['congenital abnormality', 'disease or syndrome']"
"ultrasonography","1","['diagnostic procedure']"
"genetic counseling","1","['finding', 'therapeutic or preventive procedure']"
"short stature","1","['congenital abnormality', 'disease or syndrome', 'finding']"
"sexual intercourse - finding","1","['finding']"
"vertebral column","1","['body part, organ, or organ component']"
"muscle hypotonia","1","['sign or symptom']"
"fingers","1","['body location or region']"
"chondrodystrophy","1","['disease or syndrome']"
"height / growth measure","1","['finding']"
"prominent forehead","1","['finding']"
"hand","1","['body part, organ, or organ component']"
"water","1","['inorganic chemical', 'pharmacologic substance']"
"congenital kyphosis","1","['congenital abnormality']"
"amniotic fluid","1","['body substance']"
"achondroplastic dwarfism","1","['congenital abnormality', 'disease or syndrome']"
"frontal bossing","1","['congenital abnormality']"
"kyphosis and lordosis","1","['disease or syndrome']"
"diagnostic radiologic examination","1","['diagnostic procedure']"
"osteochondrodysplasias","1","['congenital abnormality', 'disease or syndrome']"
"cord - body parts","1","['body part, organ, or organ component', 'disease or syndrome']"
