"lumpy jaw"
"abscess","3","['disease or syndrome', 'pathologic function']"
"neck","3","['body location or region']"
"face","3","['body location or region', 'disease or syndrome']"
"mass of body structure","3","['finding']"
"jaw","2","['body part, organ, or organ component']"
"sinus tract","2","['pathologic function']"
"nose","2","['body part, organ, or organ component', 'disease or syndrome']"
"injury wounds","1","['body substance', 'injury or poisoning']"
"lung","1","['body part, organ, or organ component', 'disease or syndrome']"
"pulmonary actinomycotic infection","1","['disease or syndrome']"
"drainage procedure","1","['body substance', 'therapeutic or preventive procedure']"
"precipitating factors","1","['clinical attribute']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"sulfur","1","['pharmacologic substance']"
"dental hygiene","1","['individual behavior']"
"body weight decreased","1","['finding']"
"actinomycosis cervicofacial","1","['disease or syndrome']"
"abdomen","1","['body location or region']"
"tooth abscesses","1","['disease or syndrome']"
"surface of skin","1","['body location or region']"
"antibiotics","1","['antibiotic']"
"physical findings","1","['finding']"
"self care hygiene","1","['finding']"
"excision","1","['therapeutic or preventive procedure']"
"anatomic site","1","['body location or region']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"chest wall structure","1","['body part, organ, or organ component']"
