"airway obstruction - acute upper"
"airway structure","12","['body part, organ, or organ component']"
"trachea","3","['biologically active substance', 'body part, organ, or organ component', 'disease or syndrome']"
"prophylactic treatment","2","['therapeutic or preventive procedure']"
"hypersensitivity","2","['clinical attribute', 'finding', 'pathologic function']"
"retropharyngeal abscess","2","['disease or syndrome']"
"burn injury","2","['finding', 'injury or poisoning']"
"pharyngeal structure","2","['body location or region', 'body part, organ, or organ component', 'body substance']"
"cyanosis","2","['sign or symptom']"
"gasping for breath","2","['sign or symptom']"
"foreign bodies","2","['injury or poisoning']"
"heimlich maneuver","2","['therapeutic or preventive procedure']"
"larynx","2","['body part, organ, or organ component', 'disease or syndrome']"
"vocal cord structure","1","['body part, organ, or organ component']"
"prompt","1","['pharmacologic substance']"
"physical findings","1","['finding']"
"edema","1","['disease or syndrome', 'finding', 'pathologic function']"
"pulmonic sound decrease","1","['finding']"
"balloon dilatation","1","['therapeutic or preventive procedure']"
"epiglottitis","1","['disease or syndrome']"
"lung","1","['body part, organ, or organ component', 'disease or syndrome']"
"bradypnea","1","['sign or symptom']"
"brain injuries","1","['injury or poisoning']"
"esophagus","1","['body part, organ, or organ component', 'disease or syndrome']"
"dyspnea","1","['sign or symptom']"
"ethanol","1","['organic chemical', 'pharmacologic substance']"
"bronchoscopy","1","['diagnostic procedure']"
"chemical burns","1","['injury or poisoning']"
"may be fatal","1","['finding']"
"laryngoscopy","1","['diagnostic procedure']"
"agitation","1","['finding', 'sign or symptom']"
"coloring excipient","1","['pharmacologic substance']"
"bee stings","1","['injury or poisoning']"
"acute insulin response","1","['finding']"
"panic","1","['finding']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"respiratory air","1","['body substance']"
"respiratory sounds","1","['clinical attribute']"
"confusion","1","['finding', 'mental or behavioral dysfunction']"
"chews food","1","['finding']"
"antibiotics","1","['antibiotic']"
"nasotracheal","1","['body part, organ, or organ component']"
"injury wounds","1","['body substance', 'injury or poisoning']"
"adverse event associated with death","1","['finding']"
"consciousness related finding","1","['finding']"
"throat cancer","1","['neoplastic process']"
"angiotensin-converting enzyme inhibitors","1","['pharmacologic substance']"
"breath tests","1","['diagnostic procedure']"
"tissue damage","1","['injury or poisoning']"
"tracheostomy procedure","1","['therapeutic or preventive procedure']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"tracheomalacia","1","['disease or syndrome']"
"cord - body parts","1","['body part, organ, or organ component', 'disease or syndrome']"
"peritonsillar abscess","1","['disease or syndrome']"
"diagnostic radiologic examination","1","['diagnostic procedure']"
"congestion of throat","1","['sign or symptom']"
"unconscious state","1","['disease or syndrome', 'finding']"
"smoke","1","['hazardous or poisonous substance', 'individual behavior']"
"penicillins","1","['antibiotic', 'organic chemical']"
