"pregnancy - teenage"
"teenage pregnancy"
"pregnancy in adolescence","9","['finding']"
"educational status","4","['finding', 'individual behavior']"
"tissue growth","3","['organ or tissue function']"
"gravidity","3","['finding']"
"sexual intercourse - finding","3","['finding']"
"prophylactic treatment","3","['therapeutic or preventive procedure']"
"adverse event associated with death","3","['finding']"
"peer counseling","2","['therapeutic or preventive procedure']"
"support - dental","2","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"skills","2","['individual behavior']"
"hypertrophy","2","['disease or syndrome', 'pathologic function', 'therapeutic or preventive procedure']"
"sexually transmitted diseases","2","['disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"hypertensive disease","1","['biologically active substance', 'disease or syndrome', 'finding']"
"physical findings","1","['finding']"
"does play","1","['finding']"
"unmarried","1","['finding']"
"wall of vagina","1","['body part, organ, or organ component']"
"increased frequency of micturition","1","['finding']"
"adequate sleep","1","['finding']"
"fetal growth retardation","1","['pathologic function']"
"placenta specimen","1","['body substance']"
"serum","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"ultrasonography","1","['diagnostic procedure']"
"ethanol","1","['organic chemical', 'pharmacologic substance']"
"hypertension induced by pregnancy","1","['pathologic function']"
"behaviorial habits","1","['individual behavior']"
"sore to touch","1","['sign or symptom']"
"syncope","1","['sign or symptom']"
"anemia","1","['disease or syndrome']"
"fundus","1","['body part, organ, or organ component']"
"missed menstrual period","1","['finding']"
"contraceptive methods","1","['therapeutic or preventive procedure']"
"enlarged uterus","1","['finding']"
"sexually active","1","['finding']"
"pregnancy tests","1","['diagnostic procedure']"
"placenta previa","1","['pathologic function']"
"family support","1","['therapeutic or preventive procedure']"
"lightheadedness","1","['sign or symptom']"
"marriage life event","1","['finding']"
"macromastia","1","['finding', 'pathologic function']"
"cervix uteri","1","['body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"breast tenderness","1","['sign or symptom']"
"pharmacologic substance","1","['pharmacologic substance', 'therapeutic or preventive procedure']"
"pathological dilatation","1","['pathologic function', 'therapeutic or preventive procedure']"
"fatigue","1","['sign or symptom']"
"smoking","1","['hazardous or poisonous substance', 'individual behavior']"
"pregnancy risk","1","['finding']"
"unspecified abortion","1","['finding']"
"abdomen distended","1","['finding']"
"cause of death","1","['finding', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"violence","1","['mental or behavioral dysfunction']"
"teen pregnancy prevention","1","['therapeutic or preventive procedure']"
"male gender","1","['finding']"
"nausea and vomiting","1","['sign or symptom']"
"poverty","1","['group attribute']"
