"atopic keratoconjunctivitis"
"conjunctivitis - allergic seasonal/perennial"
"eye","13","['body part, organ, or organ component', 'body substance']"
"blood vessel","3","['body part, organ, or organ component', 'finding']"
"bee pollen","3","['organic chemical', 'pharmacologic substance']"
"eyelid structure","3","['body part, organ, or organ component']"
"antihistamines","3","['organic chemical', 'pharmacologic substance']"
"pruritus","2","['sign or symptom']"
"precipitating factors","2","['clinical attribute']"
"acute insulin response","2","['finding']"
"allergic conjunctivitis","2","['disease or syndrome']"
"eye drops brand of tetrahydrozoline","2","['organic chemical', 'pharmacologic substance']"
"malaise","2","['finding', 'sign or symptom']"
"histamine","2","['organic chemical']"
"anatomical layer","1","['body part, organ, or organ component']"
"body fluid discharge","1","['body substance', 'therapeutic or preventive procedure']"
"allergy testing","1","['diagnostic procedure', 'finding']"
"positive skin test","1","['laboratory or test result']"
"specimen type - eosinophils","1","['body substance']"
"watery eyes","1","['disease or syndrome', 'sign or symptom']"
"hay fever","1","['disease or syndrome']"
"eye burns","1","['injury or poisoning']"
"swelling of eyelid","1","['sign or symptom']"
"hypersensitivity skin testing","1","['diagnostic procedure', 'finding']"
"papillary conjunctivitis","1","['disease or syndrome']"
"physical findings","1","['finding']"
"redness of eye","1","['sign or symptom']"
"dryness of eye","1","['disease or syndrome', 'sign or symptom']"
"discharge from eye","1","['sign or symptom']"
"structure of conjunctiva of both eyes","1","['body part, organ, or organ component']"
"dander","1","['body substance']"
