"amebic dysentery"
"intestinal amebiasis"
"feces","9","['body substance']"
"amebiasis","5","['disease or syndrome']"
"intestines","4","['body part, organ, or organ component']"
"oral region","3","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"lung","2","['body part, organ, or organ component', 'disease or syndrome']"
"abdomen","2","['body location or region']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"colonic diseases","2","['disease or syndrome']"
"sore to touch","2","['sign or symptom']"
"large intestine","2","['body part, organ, or organ component']"
"hematochezia","1","['finding', 'sign or symptom']"
"deterioration of status","1","['finding']"
"tissue damage","1","['injury or poisoning']"
"muscle cramp","1","['sign or symptom']"
"diarrhea persistent","1","['disease or syndrome']"
"body weight decreased","1","['finding']"
"dysentery","1","['disease or syndrome']"
"alcoholic intoxication chronic","1","['mental or behavioral dysfunction']"
"excessive flatulence","1","['sign or symptom']"
"hepatomegaly","1","['sign or symptom']"
"mild adverse event","1","['finding']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"liver abscess","1","['disease or syndrome']"
"abdominal tenderness unspecified site","1","['sign or symptom']"
"underweight","1","['finding']"
"wall of colon","1","['body part, organ, or organ component']"
"fatigue","1","['sign or symptom']"
"physical findings","1","['finding']"
"colitis","1","['disease or syndrome', 'finding']"
"paromomycin","1","['antibiotic']"
"adverse reaction to drug","1","['injury or poisoning']"
"immune system finding","1","['finding']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"nausea","1","['finding', 'sign or symptom']"
"hypertrophy","1","['disease or syndrome', 'pathologic function', 'therapeutic or preventive procedure']"
"boiled water","1","['inorganic chemical']"
"malnutrition","1","['disease or syndrome']"
"mucous body substance","1","['body substance', 'neoplastic process']"
"veins","1","['body part, organ, or organ component']"
"diarrhea chronic","1","['pathologic function']"
"abdominal cramps","1","['sign or symptom']"
"diarrhea and cramp","1","['organic chemical', 'pharmacologic substance']"
