"als"
"lou gehrig's disease"
"motor neuron disease"
"upper and lower motor neuron disease"
"amyotrophic lateral sclerosis","19","['disease or syndrome', 'pharmacologic substance']"
"set of muscles","7","['body part, organ, or organ component']"
"support - dental","4","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"reflex action","3","['finding', 'organ or tissue function']"
"muscle cramp","3","['sign or symptom']"
"rehabilitation therapy","2","['therapeutic or preventive procedure']"
"esthesia","2","['finding', 'organ or tissue function']"
"magnetic resonance imaging","2","['diagnostic procedure']"
"spinal puncture","2","['body part, organ, or organ component', 'diagnostic procedure', 'therapeutic or preventive procedure']"
"upper arm","2","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"dyspnea","2","['sign or symptom']"
"cognitive therapy","2","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"body weight decreased","2","['finding']"
"riluzole","1","['organic chemical', 'pharmacologic substance']"
"pressure ulcer","1","['disease or syndrome']"
"gastrostomy","1","['acquired abnormality', 'therapeutic or preventive procedure']"
"problems with speech","1","['finding']"
"muscle spasticity","1","['sign or symptom']"
"stopped work","1","['finding']"
"crying","1","['individual behavior']"
"amitriptyline","1","['organic chemical', 'pharmacologic substance']"
"apnea","1","['finding', 'pathologic function']"
"trihexyphenidyl","1","['organic chemical', 'pharmacologic substance']"
"physical findings","1","['finding']"
"muscle movement","1","['finding']"
"tremor muscle","1","['sign or symptom']"
"adverse event associated with death","1","['finding']"
"muscular fasciculation","1","['sign or symptom']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"taste perception","1","['organ or tissue function']"
"fibronectins","1","['biologically active substance']"
"saliva","1","['body substance']"
"ask question","1","['finding']"
"eye movements","1","['finding', 'organ or tissue function']"
"respiration artificial","1","['therapeutic or preventive procedure']"
"spasm","1","['sign or symptom']"
"incontinence","1","['disease or syndrome']"
"lumbar region","1","['body location or region']"
"touch sensation","1","['organ or tissue function']"
"computed tomography (ct) of spine","1","['diagnostic procedure']"
"diazepam","1","['organic chemical', 'pharmacologic substance']"
"leg","1","['body location or region']"
"fluid aspiration","1","['diagnostic procedure']"
"gagging","1","['finding']"
"reflex gag absent","1","['finding']"
"emotional support","1","['therapeutic or preventive procedure']"
"muscle weakness","1","['sign or symptom']"
"tongue","1","['body location or region', 'body part, organ, or organ component']"
"deterioration of status","1","['finding']"
"hearing examination finding","1","['finding']"
"swallowing problems","1","['sign or symptom']"
"cat scan of head","1","['diagnostic procedure']"
"vertebral column","1","['body part, organ, or organ component']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"urinary bladder","1","['body part, organ, or organ component']"
"intestines","1","['body part, organ, or organ component']"
"breath tests","1","['diagnostic procedure']"
"coping behavior","1","['individual behavior', 'therapeutic or preventive procedure']"
"pneumonia","1","['disease or syndrome']"
"counselor","1","['finding']"
"hyperreflexia","1","['finding']"
"reflex abnormal","1","['sign or symptom']"
"muscle strength","1","['organ or tissue function']"
"respiratory distress","1","['sign or symptom']"
"choking","1","['disease or syndrome', 'finding', 'injury or poisoning']"
"brain and spinal cord","1","['body part, organ, or organ component']"
"hoarseness","1","['sign or symptom']"
"chest","1","['body location or region', 'disease or syndrome']"
"glycosaminoglycans","1","['biologically active substance', 'pharmacologic substance']"
"electromyography","1","['diagnostic procedure']"
"skeletal muscle structure of neck","1","['body part, organ, or organ component']"
"mechanical ventilation","1","['therapeutic or preventive procedure']"
"hand","1","['body part, organ, or organ component']"
"does swallow","1","['finding']"
"puncture procedure","1","['diagnostic procedure', 'finding', 'therapeutic or preventive procedure']"
"paralysed","1","['finding']"
"cord - body parts","1","['body part, organ, or organ component', 'disease or syndrome']"
"muscle function","1","['finding', 'organ or tissue function']"
"ct of cervical spine","1","['diagnostic procedure']"
