"anaplastic carcinoma of the thyroid"
"malignant neoplasms","9","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"thyroid carcinoma","5","['neoplastic process']"
"thyroid gland","5","['body part, organ, or organ component', 'disease or syndrome', 'pharmacologic substance']"
"mass of body structure","3","['finding']"
"support - dental","2","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"tissue growth","2","['organ or tissue function']"
"treatment options","2","['therapeutic or preventive procedure']"
"hoarseness","2","['sign or symptom']"
"anaplastic thyroid carcinoma","2","['neoplastic process']"
"vocal cord structure","1","['body part, organ, or organ component']"
"gastrostomy","1","['acquired abnormality', 'therapeutic or preventive procedure']"
"laryngoscopy","1","['diagnostic procedure']"
"malignant neoplasm of thyroid","1","['neoplastic process']"
"pharmacotherapy","1","['therapeutic or preventive procedure']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"neoplasm metastasis","1","['neoplastic process']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"stomach","1","['body part, organ, or organ component', 'disease or syndrome']"
"pharyngeal structure","1","['body location or region', 'body part, organ, or organ component', 'body substance']"
"mass of neck","1","['finding']"
"excision","1","['therapeutic or preventive procedure']"
"stress","1","['finding', 'organic chemical', 'pharmacologic substance']"
"cord - body parts","1","['body part, organ, or organ component', 'disease or syndrome']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"tracheostomy procedure","1","['therapeutic or preventive procedure']"
"airway structure","1","['body part, organ, or organ component']"
