"anemia","25","['disease or syndrome']"
"red blood cells blood product","9","['pharmacologic substance']"
"skeletal bone","6","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"marrow","5","['body part, organ, or organ component']"
"coloring excipient","3","['pharmacologic substance']"
"unspecified deficiency anemia","3","['disease or syndrome']"
"anemia sickle cell","3","['disease or syndrome', 'pathologic function']"
"minerals","3","['inorganic chemical']"
"vitamin b 12","3","['organic chemical', 'pharmacologic substance']"
"folic acid","3","['disease or syndrome', 'organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"erythropoietin","2","['pharmacologic substance']"
"blood transfusion","2","['therapeutic or preventive procedure']"
"aplastic anemia","2","['disease or syndrome']"
"vitamins other","2","['organic chemical', 'pharmacologic substance']"
"kidney","2","['body part, organ, or organ component']"
"heart murmur","2","['finding']"
"anemia pernicious","2","['disease or syndrome']"
"stomach","2","['body part, organ, or organ component', 'disease or syndrome']"
"multiple myeloma","2","['neoplastic process']"
"intestines","2","['body part, organ, or organ component']"
"immune system finding","2","['finding']"
"thalassemia","2","['disease or syndrome']"
"anemia megaloblastic","2","['disease or syndrome']"
"epoetin alfa","1","['pharmacologic substance']"
"headache","1","['sign or symptom']"
"deterioration of status","1","['finding']"
"respiratory air","1","['body substance']"
"oxygen","1","['pharmacologic substance']"
"diet poor","1","['finding']"
"heart rate","1","['clinical attribute']"
"hemorrhage","1","['pathologic function', 'therapeutic or preventive procedure']"
"anemia severe","1","['disease or syndrome']"
"redness","1","['finding']"
"glossalgia","1","['sign or symptom']"
"eye","1","['body part, organ, or organ component', 'body substance']"
"gastric ulcer","1","['disease or syndrome', 'finding']"
"pregnancy problem","1","['finding']"
"iron deficiency anemia","1","['disease or syndrome']"
"menorrhagia","1","['pathologic function']"
"hemoglobin concentration result","1","['laboratory or test result']"
"folic acid deficiency","1","['disease or syndrome']"
"tachycardia","1","['finding']"
"dyspnea","1","['sign or symptom']"
"exercise pain management","1","['therapeutic or preventive procedure']"
"vitamin b12 deficiency anemia","1","['disease or syndrome']"
"observation of attack","1","['finding']"
"asthenia","1","['sign or symptom']"
"rheumatoid arthritis","1","['disease or syndrome', 'pharmacologic substance']"
"leukemia","1","['neoplastic process']"
"trachyonychia","1","['finding']"
"folate deficiency anemia","1","['disease or syndrome']"
"physical findings","1","['finding']"
"myocardial infarction","1","['disease or syndrome', 'finding']"
"adrenal cortex hormones","1","['pharmacologic substance']"
"lymphoma","1","['neoplastic process']"
"ulcerative colitis","1","['disease or syndrome']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"level","1","['pharmacologic substance']"
"nail plate","1","['body part, organ, or organ component', 'body substance']"
"proteins","1","['biologically active substance']"
"hemolytic disease nos","1","['disease or syndrome']"
"aplastic anemia idiopathic","1","['disease or syndrome']"
"anemia hemolytic","1","['disease or syndrome']"
"reticulocyte count result","1","['laboratory or test result']"
"tongue","1","['body location or region', 'body part, organ, or organ component']"
"chronic disease","1","['disease or syndrome']"
"blood loss","1","['clinical attribute', 'finding', 'pathologic function']"
