"ankle sprain"
"pain - ankle"
"sprain - ankle"
"ankle","29","['body location or region', 'body part, organ, or organ component']"
"sprain","6","['injury or poisoning']"
"ankle sprains","4","['injury or poisoning']"
"foot","4","['body part, organ, or organ component']"
"ice","3","['enzyme', 'hazardous or poisonous substance', 'inorganic chemical', 'organic chemical', 'therapeutic or preventive procedure']"
"physical therapy exercises","3","['therapeutic or preventive procedure']"
"body fluids","3","['biologically active substance', 'body substance', 'pharmacologic substance']"
"blood vessel","2","['body part, organ, or organ component', 'finding']"
"skeletal bone","2","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"tendon structure","2","['body part, organ, or organ component']"
"support - dental","2","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"synovial fluid","2","['body substance']"
"heart","1","['body part, organ, or organ component', 'pharmacologic substance']"
"deterioration of status","1","['finding']"
"tissue damage","1","['injury or poisoning']"
"tears - specimentype","1","['body substance']"
"swelling","1","['finding', 'pathologic function']"
"muscle strain","1","['injury or poisoning']"
"ask question","1","['finding']"
"sciatica","1","['sign or symptom']"
"diagnostic tests","1","['diagnostic procedure']"
"anti-inflammatory agents non-steroidal","1","['pharmacologic substance']"
"stretching exercises","1","['therapeutic or preventive procedure']"
"sore to touch","1","['sign or symptom']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"touch sensation","1","['organ or tissue function']"
"acute insulin response","1","['finding']"
"fracture","1","['finding', 'injury or poisoning']"
"set of muscles","1","['body part, organ, or organ component']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"abnormal sensation","1","['sign or symptom']"
"fever","1","['finding']"
"esthesia","1","['finding', 'organ or tissue function']"
"leg","1","['body location or region']"
"rheumatoid arthritis","1","['disease or syndrome', 'pharmacologic substance']"
"malaise","1","['finding', 'sign or symptom']"
"plain x-ray","1","['diagnostic procedure']"
"tarsal","1","['body part, organ, or organ component']"
"stress","1","['finding', 'organic chemical', 'pharmacologic substance']"
"casts body substance","1","['biologically active substance', 'body substance']"
"warm to touch","1","['finding']"
"arthritis reiter","1","['disease or syndrome']"
"level","1","['pharmacologic substance']"
"ability to balance","1","['finding']"
"heel","1","['body location or region', 'inorganic chemical', 'pharmacologic substance']"
