"axillary abscess"
"axillary lymph enlargement"
"axillary lymphadenopathy"
"localized lymphadenopathy - armpit"
"lump in the armpit"
"lymph nodes enlargement - axillary"
"mass of body structure","10","['finding']"
"axilla","8","['body location or region']"
"anatomic node","3","['body part, organ, or organ component']"
"lymph nodes","3","['body part, organ, or organ component']"
"malignant neoplasms","3","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"infectious mononucleosis","2","['disease or syndrome']"
"breast carcinoma","2","['neoplastic process']"
"upper arm","2","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"breast tissue sample","2","['body part, organ, or organ component']"
"deterioration of status","1","['finding']"
"cat scratch","1","['injury or poisoning']"
"acquired immunodeficiency syndrome","1","['disease or syndrome']"
"abscess","1","['disease or syndrome', 'pathologic function']"
"herpes zoster disease","1","['disease or syndrome', 'virus']"
"chickenpox","1","['disease or syndrome', 'pharmacologic substance', 'virus']"
"normal breast","1","['finding']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"shaving - surgical procedure","1","['therapeutic or preventive procedure']"
"cytarabine/thioguanine","1","['diagnostic procedure', 'enzyme', 'therapeutic or preventive procedure']"
"lymphoma","1","['neoplastic process']"
"increase in size","1","['finding']"
"ask question","1","['finding']"
"antiperspirants","1","['pharmacologic substance']"
"human herpesvirus 3","1","['disease or syndrome', 'pharmacologic substance', 'virus']"
"cyst","1","['body substance', 'disease or syndrome']"
"lipoma","1","['neoplastic process']"
