"abnormal heart rhythms"
"bradycardia"
"tachycardia"
"heart","37","['body part, organ, or organ component', 'pharmacologic substance']"
"cardiac arrhythmia","19","['finding', 'pathologic function']"
"pharmaceutical preparations","8","['pharmacologic substance']"
"anatomic node","4","['body part, organ, or organ component']"
"heart rhythm","4","['organ or tissue function', 'pathologic function']"
"sinoatrial node","4","['body part, organ, or organ component']"
"pulse rate","3","['clinical attribute']"
"heart beat","3","['organ or tissue function']"
"fibrillations","2","['disease or syndrome']"
"heart rate","2","['clinical attribute']"
"electric countershock","2","['therapeutic or preventive procedure']"
"arteries","2","['body part, organ, or organ component']"
"thyroid gland","2","['body part, organ, or organ component', 'disease or syndrome', 'pharmacologic substance']"
"observation of attack","2","['finding']"
"myocardial infarction","2","['disease or syndrome', 'finding']"
"coronary artery","2","['body part, organ, or organ component']"
"paroxysmal supraventricular tachycardia","2","['disease or syndrome']"
"tachycardia atrioventricular nodal reentry","2","['disease or syndrome']"
"bradycardia","2","['pathologic function']"
"cardiac flutter","1","['pathologic function']"
"nicotine","1","['hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance']"
"multifocal atrial tachycardia","1","['disease or syndrome']"
"angina pectoris","1","['sign or symptom']"
"coronary angiography","1","['diagnostic procedure']"
"heart diseases","1","['disease or syndrome']"
"old myocardial infarction","1","['disease or syndrome']"
"set protein human","1","['biologically active substance']"
"lung","1","['body part, organ, or organ component', 'disease or syndrome']"
"life threatening","1","['finding']"
"tachycardia ventricular","1","['finding', 'pathologic function']"
"cardiac monitoring","1","['diagnostic procedure']"
"physical findings","1","['finding']"
"heart function","1","['organ or tissue function']"
"electrocardiogram","1","['diagnostic procedure', 'finding', 'organic chemical', 'pharmacologic substance']"
"dyspnea","1","['sign or symptom']"
"neurological observations","1","['finding']"
"atrioventricular block","1","['disease or syndrome']"
"elastosis perforans serpiginosa","1","['diagnostic procedure', 'disease or syndrome']"
"caffeine","1","['organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"adverse event associated with death","1","['finding']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"atrial fibrillation","1","['finding', 'pathologic function']"
"amphetamines","1","['hazardous or poisonous substance', 'organic chemical', 'pharmacologic substance']"
"holter electrocardiography","1","['diagnostic procedure']"
"angiogram","1","['diagnostic procedure']"
"stimulant","1","['pharmacologic substance']"
"pallor","1","['finding', 'sign or symptom']"
"respiratory air","1","['body substance']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"sick sinus","1","['disease or syndrome']"
"cardiomegaly","1","['finding']"
"heart block","1","['disease or syndrome']"
"cardiac ablation","1","['therapeutic or preventive procedure']"
"adrenergic beta-antagonists","1","['pharmacologic substance']"
"cyclophosphamide/doxorubicin/etoposide/prednisone","1","['therapeutic or preventive procedure']"
"ethanol","1","['organic chemical', 'pharmacologic substance']"
"cigarette smoking behavior","1","['individual behavior']"
"heart ventricle","1","['body part, organ, or organ component']"
"tachycardia paroxysmal","1","['disease or syndrome']"
"sudden cardiac death","1","['disease or syndrome', 'pathologic function']"
"hyperthyroidism","1","['disease or syndrome']"
"echocardiography","1","['diagnostic procedure']"
"ventricular fibrillation","1","['disease or syndrome', 'finding']"
"chest","1","['body location or region', 'disease or syndrome']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"tachycardia irregular","1","['finding']"
"dizziness","1","['finding', 'sign or symptom']"
"dietary potassium","1","['inorganic chemical']"
"veins","1","['body part, organ, or organ component']"
"psychotic disorders","1","['mental or behavioral dysfunction']"
"cardiac conduction","1","['organ or tissue function']"
