"portal hypertension - ascites"
"ascites","10","['finding']"
"liver","9","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"kidney","4","['body part, organ, or organ component']"
"body fluids","4","['biologically active substance', 'body substance', 'pharmacologic substance']"
"confusion","3","['finding', 'mental or behavioral dysfunction']"
"proteins","3","['biologically active substance']"
"heart","2","['body part, organ, or organ component', 'pharmacologic substance']"
"blood vessel","2","['body part, organ, or organ component', 'finding']"
"feces","2","['body substance']"
"abdomen","2","['body location or region']"
"ethanol","2","['organic chemical', 'pharmacologic substance']"
"melena","2","['pathologic function']"
"malignant neoplasms","2","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"veins","2","['body part, organ, or organ component']"
"tissue damage","1","['injury or poisoning']"
"comatose","1","['congenital abnormality', 'disease or syndrome']"
"awake","1","['finding']"
"respiratory air","1","['body substance']"
"hypertensive disease","1","['biologically active substance', 'disease or syndrome', 'finding']"
"surgical fistula","1","['finding']"
"swollen feet/legs","1","['sign or symptom']"
"fever","1","['finding']"
"tests and testing","1","['diagnostic procedure']"
"icterus","1","['finding', 'pathologic function']"
"transplantation of liver","1","['body part, organ, or organ component', 'therapeutic or preventive procedure']"
"physical findings","1","['finding']"
"dyspnea","1","['sign or symptom']"
"renal dialysis","1","['therapeutic or preventive procedure']"
"primary bacterial peritonitis","1","['disease or syndrome']"
"eye","1","['body part, organ, or organ component', 'body substance']"
"vomitus","1","['body substance', 'sign or symptom']"
"hypertension portal","1","['disease or syndrome']"
"leg","1","['body location or region']"
"coloring excipient","1","['pharmacologic substance']"
"hepatitis","1","['disease or syndrome', 'pharmacologic substance']"
"transabdominal ultrasound","1","['diagnostic procedure']"
"sodium chloride","1","['biologically active substance', 'inorganic chemical', 'pharmacologic substance']"
"myasthenia gravis","1","['disease or syndrome']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"liver damage","1","['pathologic function']"
"ankle","1","['body location or region', 'body part, organ, or organ component']"
"electrolytes","1","['inorganic chemical', 'pharmacologic substance']"
"ultrasonography","1","['diagnostic procedure']"
"hemodialysis","1","['therapeutic or preventive procedure']"
"pharmaceutical preparations","1","['pharmacologic substance']"
"fluid intake","1","['clinical attribute']"
"interventional procedure","1","['diagnostic procedure', 'therapeutic or preventive procedure']"
"malnutrition","1","['disease or syndrome']"
"renal function","1","['organ or tissue function']"
"body weight decreased","1","['finding']"
"hepatic encephalopathy","1","['disease or syndrome']"
"electrolyte levels","1","['laboratory or test result']"
"blood clot","1","['acquired abnormality', 'organ or tissue function', 'organic chemical', 'pathologic function', 'pharmacologic substance']"
"albumins","1","['biologically active substance']"
"water","1","['inorganic chemical', 'pharmacologic substance']"
"venous thrombosis","1","['finding', 'pathologic function']"
"antibiotics","1","['antibiotic']"
"hepatic coma","1","['disease or syndrome']"
"encephalopathies","1","['disease or syndrome', 'finding']"
"diuretics","1","['pharmacologic substance']"
"peritoneal","1","['body location or region', 'body part, organ, or organ component']"
"pancreas","1","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"liver function","1","['organ or tissue function']"
"kwashiorkor","1","['disease or syndrome']"
"malignant tumor of colon","1","['neoplastic process']"
"level","1","['pharmacologic substance']"
"abdominal organ","1","['body part, organ, or organ component']"
"portal vein structure","1","['body part, organ, or organ component']"
"dental caries","1","['disease or syndrome']"
"colonic diseases","1","['disease or syndrome']"
"liver cirrhosis","1","['disease or syndrome']"
"ovary","1","['body part, organ, or organ component', 'disease or syndrome']"
"respiratory abnormality unspecified","1","['sign or symptom']"
