"autoimmune diseases","9","['disease or syndrome']"
"immune system finding","9","['finding']"
"pharmaceutical preparations","6","['pharmacologic substance']"
"blood vessel","2","['body part, organ, or organ component', 'finding']"
"blood transfusion","2","['therapeutic or preventive procedure']"
"prophylactic treatment","2","['therapeutic or preventive procedure']"
"rheumatoid arthritis","2","['disease or syndrome', 'pharmacologic substance']"
"hypersensitivity","2","['clinical attribute', 'finding', 'pathologic function']"
"set of muscles","2","['body part, organ, or organ component']"
"physical findings","2","['finding']"
"celiac disease","2","['clinical attribute', 'disease or syndrome', 'hazardous or poisonous substance', 'neoplastic process', 'therapeutic or preventive procedure']"
"injection procedure","1","['therapeutic or preventive procedure']"
"skeletal bone","1","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"diabetes mellitus insulin-dependent","1","['disease or syndrome']"
"proteins","1","['biologically active substance']"
"intestinal diseases","1","['disease or syndrome']"
"cyclophosphamide","1","['biologically active substance', 'disease or syndrome', 'hazardous or poisonous substance', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"azathioprine","1","['biologically active substance', 'organic chemical', 'pharmacologic substance']"
"gland","1","['body part, organ, or organ component']"
"fever","1","['finding']"
"thyroid supplements","1","['pharmacologic substance']"
"tissue growth","1","['organ or tissue function']"
"anemia pernicious","1","['disease or syndrome']"
"abnormal growth","1","['finding']"
"prednisone","1","['pharmacologic substance']"
"dermatomyositis","1","['disease or syndrome']"
"vitamins","1","['organic chemical', 'pharmacologic substance']"
"toxin","1","['biologically active substance', 'hazardous or poisonous substance']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"arthritis reactive","1","['disease or syndrome']"
"multiple sclerosis","1","['body part, organ, or organ component', 'disease or syndrome', 'finding']"
"hashimoto disease","1","['disease or syndrome']"
"erythrocyte sedimentation rate result","1","['clinical attribute', 'finding']"
"myasthenias","1","['disease or syndrome']"
"malaise","1","['finding', 'sign or symptom']"
"extended rotated sidebent","1","['clinical attribute', 'disease or syndrome', 'finding']"
"adrenal cortex hormones","1","['pharmacologic substance']"
"lupus erythematosus systemic","1","['disease or syndrome']"
"pancreas","1","['body part, organ, or organ component', 'disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"endocrine glands","1","['body part, organ, or organ component']"
"thyroiditis","1","['disease or syndrome']"
"bony process","1","['body part, organ, or organ component']"
"malignant neoplasms","1","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"autoimmune reaction","1","['finding', 'pathologic function']"
"anatomic site","1","['body location or region']"
"mycophenolate","1","['organic chemical', 'pharmacologic substance']"
"red blood cells blood product","1","['pharmacologic substance']"
"myasthenia gravis","1","['disease or syndrome']"
"sprue","1","['disease or syndrome']"
