"enuresis - bedwetting"
"bedwetting","12","['sign or symptom']"
"body fluids","3","['biologically active substance', 'body substance', 'pharmacologic substance']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"caffeine","2","['organic chemical', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"schirmer test wetting","1","['finding']"
"deterioration of status","1","['finding']"
"drinking habits","1","['finding']"
"awake","1","['finding']"
"urinary bladder","1","['body part, organ, or organ component']"
"stress","1","['finding', 'organic chemical', 'pharmacologic substance']"
"asleep","1","['finding']"
"nose","1","['body part, organ, or organ component', 'disease or syndrome']"
"peripheral arterial diseases","1","['disease or syndrome', 'neoplastic process']"
"ear structure","1","['body part, organ, or organ component', 'body substance']"
"behaviorial habits","1","['individual behavior']"
"enuresis","1","['sign or symptom']"
"wrist","1","['body location or region']"
