"bony tumor of the ear canal"
"cysts - ear"
"ear cysts"
"ear tumors"
"exostoses"
"osteomas"
"tumor - ear"
"ear structure","14","['body part, organ, or organ component', 'body substance']"
"cyst","14","['body substance', 'disease or syndrome']"
"neoplasms","7","['finding', 'neoplastic process']"
"hearing examination finding","4","['finding']"
"deafness","3","['disease or syndrome', 'finding']"
"gland","3","['body part, organ, or organ component']"
"benign neoplasm","2","['neoplastic process']"
"infection of ear","2","['disease or syndrome']"
"malaise","2","['finding', 'sign or symptom']"
"mass of body structure","2","['finding']"
"hearing tests","1","['diagnostic procedure']"
"skeletal bone","1","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"scalp structure","1","['body part, organ, or organ component']"
"tissue growth","1","['organ or tissue function']"
"exostoses","1","['disease or syndrome', 'finding', 'neoplastic process', 'pathologic function']"
"set of skin glands","1","['body part, organ, or organ component']"
"osteoma","1","['neoplastic process']"
"ear discomfort","1","['disease or syndrome']"
"waxes","1","['biologically active substance']"
"tympanometry","1","['diagnostic procedure']"
"caloric tests","1","['diagnostic procedure']"
"cyst benign","1","['disease or syndrome']"
"stimulation procedure","1","['therapeutic or preventive procedure']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"water","1","['inorganic chemical', 'pharmacologic substance']"
"antibiotics","1","['antibiotic']"
"physical findings","1","['finding']"
"ear cyst","1","['finding']"
"audiometry","1","['diagnostic procedure']"
"disorder of middle ear","1","['disease or syndrome']"
"external ear","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"caloric stimulation","1","['organ or tissue function']"
"excision","1","['therapeutic or preventive procedure']"
"increase in size","1","['finding']"
"electronystagmography","1","['diagnostic procedure']"
