"hairball"
"trichobezoar"
"bezoar disorder","6","['disease or syndrome']"
"hair","3","['body part, organ, or organ component']"
"prophylactic treatment","3","['therapeutic or preventive procedure']"
"mass of body structure","2","['finding']"
"oral region","2","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"emotional distress","1","['mental or behavioral dysfunction']"
"very low","1","['finding']"
"diarrhea and vomiting","1","['sign or symptom']"
"female","1","['finding']"
"esophagogastroduodenoscopy","1","['diagnostic procedure']"
"gastric ulcer","1","['disease or syndrome', 'finding']"
"upset stomach","1","['sign or symptom']"
"t-cell receptor interacting molecule","1","['biologically active substance', 'organic chemical']"
"foreign bodies","1","['injury or poisoning']"
"persistent vomiting","1","['sign or symptom']"
"trichobezoars","1","['body substance', 'disease or syndrome']"
"fiber","1","['organic chemical', 'pharmacologic substance']"
"abdomen","1","['body location or region']"
"dehydration","1","['disease or syndrome', 'finding']"
"plain x-ray","1","['diagnostic procedure']"
"physical findings","1","['finding']"
"intestines","1","['body part, organ, or organ component']"
"nausea","1","['finding', 'sign or symptom']"
"stomach ache","1","['finding', 'sign or symptom']"
"dyspepsia","1","['sign or symptom']"
"barium swallow","1","['diagnostic procedure']"
"fuzzy head","1","['finding']"
"emotional upset","1","['mental or behavioral dysfunction']"
