"bicommissural aortic valve"
"anatomic valve","23","['body part, organ, or organ component']"
"heart","22","['body part, organ, or organ component', 'pharmacologic substance']"
"aortic valve structure","18","['body part, organ, or organ component']"
"bicuspid aortic valve","10","['congenital abnormality']"
"aorta","5","['body part, organ, or organ component']"
"blood vessel","4","['body part, organ, or organ component', 'finding']"
"magnetic resonance imaging","4","['diagnostic procedure']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"heart murmur","2","['finding']"
"pulmonary resonance","2","['finding']"
"physical findings","2","['finding']"
"echocardiography","2","['diagnostic procedure']"
"aortic coarctation","2","['congenital abnormality']"
"aortic valve stenosis","1","['disease or syndrome']"
"pulse rate","1","['clinical attribute']"
"balloon dilatation","1","['therapeutic or preventive procedure']"
"extravasation","1","['injury or poisoning', 'pathologic function']"
"heart beat","1","['organ or tissue function']"
"palpitations","1","['finding']"
"female","1","['finding']"
"electrocardiogram","1","['diagnostic procedure', 'finding', 'organic chemical', 'pharmacologic substance']"
"dyspnea","1","['sign or symptom']"
"pallor","1","['finding', 'sign or symptom']"
"aortic valve insufficiency","1","['biologically active substance', 'chemical viewed functionally', 'disease or syndrome', 'finding', 'pharmacologic substance', 'receptor']"
"brain electrical activity","1","['organ or tissue function']"
"wrist","1","['body location or region']"
"diminished pulse","1","['finding']"
"chest","1","['body location or region', 'disease or syndrome']"
"stenosis unspecified","1","['pathologic function']"
"ankle","1","['body location or region', 'body part, organ, or organ component']"
"ultrasonography","1","['diagnostic procedure']"
"angiogram","1","['diagnostic procedure']"
"congenital heart defects","1","['congenital abnormality']"
"cardiac arrhythmia","1","['finding', 'pathologic function']"
"cardiomegaly","1","['finding']"
"asthenia","1","['sign or symptom']"
"stop brand of fluoride","1","['inorganic chemical', 'pharmacologic substance']"
"anorexia","1","['disease or syndrome', 'finding']"
"water","1","['inorganic chemical', 'pharmacologic substance']"
"plain x-ray","1","['diagnostic procedure']"
"regurgitation","1","['finding', 'sign or symptom']"
"consciousness related finding","1","['finding']"
"tachyarrhythmia","1","['finding']"
"diuretics","1","['pharmacologic substance']"
"angiotensin-converting enzyme inhibitors","1","['pharmacologic substance']"
"angiotensin receptor antagonists","1","['pharmacologic substance']"
"cardiac catheterization procedures","1","['diagnostic procedure']"
"heart problem","1","['sign or symptom']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"diagnostic radiologic examination","1","['diagnostic procedure']"
"chamber","1","['body part, organ, or organ component']"
"unconscious state","1","['disease or syndrome', 'finding']"
"male gender","1","['finding']"
