"loss of vision"
"low vision"
"no light perception (nlp)"
"vision loss and blindness"
"blind vision","20","['disease or syndrome']"
"blindness complete","3","['sign or symptom']"
"abnormal degeneration","2","['pathologic function']"
"blood vessel","2","['body part, organ, or organ component', 'finding']"
"macular degeneration","2","['disease or syndrome']"
"diabetes","2","['disease or syndrome']"
"retinopathy of prematurity","1","['disease or syndrome', 'organic chemical']"
"support - dental","1","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"neoplasms","1","['finding', 'neoplastic process']"
"lazy eye","1","['disease or syndrome']"
"sudden visual loss","1","['sign or symptom']"
"partial vision loss","1","['disease or syndrome']"
"central vision","1","['organ or tissue function']"
"athletic injuries","1","['injury or poisoning']"
"chemical burns","1","['injury or poisoning']"
"retinoblastoma","1","['biologically active substance', 'neoplastic process']"
"fibrosis","1","['pathologic function']"
"blindness partial","1","['disease or syndrome']"
"burn injury","1","['finding', 'injury or poisoning']"
"retinitis pigmentosa","1","['body part, organ, or organ component', 'disease or syndrome']"
"accidents","1","['injury or poisoning']"
"tunnel visual field constriction","1","['finding']"
"night blindness","1","['disease or syndrome']"
"optic neuritis","1","['disease or syndrome']"
"glaucoma","1","['disease or syndrome', 'finding']"
"optic nerve glioma","1","['neoplastic process']"
"limited vision","1","['finding']"
"visual impairment","1","['disease or syndrome']"
