"blocked nasolacrimal duct"
"dacryostenosis"
"nasolacrimal duct obstruction (nldo)"
"body parts - canal","14","['body part, organ, or organ component']"
"eye","11","['body part, organ, or organ component', 'body substance']"
"lacrimal duct","9","['body part, organ, or organ component']"
"rupture","8","['body substance', 'finding', 'injury or poisoning']"
"tears - specimentype","6","['body substance']"
"lacrimal duct obstruction","4","['disease or syndrome']"
"cheek structure","4","['body location or region']"
"nose","4","['body part, organ, or organ component', 'disease or syndrome']"
"conjunctivitis","2","['disease or syndrome']"
"eyelid structure","2","['body part, organ, or organ component']"
"tissue damage","1","['injury or poisoning']"
"fluorescein","1","['organic chemical']"
"eye infections","1","['disease or syndrome']"
"drainage procedure","1","['body substance', 'therapeutic or preventive procedure']"
"injury wounds","1","['body substance', 'injury or poisoning']"
"nasolacrimal duct structure","1","['body part, organ, or organ component']"
"fingers","1","['body location or region']"
"tear drainage","1","['finding']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"eye drops brand of tetrahydrozoline","1","['organic chemical', 'pharmacologic substance']"
"physical findings","1","['finding']"
"probing","1","['diagnostic procedure']"
"does carry","1","['finding']"
"pus","1","['body substance']"
"face","1","['body location or region', 'disease or syndrome']"
