"blood in ejaculation"
"semen - bloody"
"semen","8","['body substance']"
"urethra","2","['body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"ultrasonography","2","['diagnostic procedure']"
"sore to touch","2","['sign or symptom']"
"seminal vesicles","2","['body part, organ, or organ component', 'disease or syndrome']"
"fever","2","['finding']"
"lymphadenopathy","2","['disease or syndrome', 'finding']"
"antibiotics","2","['antibiotic']"
"prostate-specific antigen","1","['enzyme', 'neoplastic process']"
"inguinal region","1","['body location or region']"
"neoplasms","1","['finding', 'neoplastic process']"
"body fluid discharge","1","['body substance', 'therapeutic or preventive procedure']"
"pelvis","1","['body location or region', 'body part, organ, or organ component']"
"testis","1","['body part, organ, or organ component', 'disease or syndrome']"
"urinary tract","1","['body part, organ, or organ component']"
"lymph nodes","1","['body part, organ, or organ component']"
"ice","1","['enzyme', 'hazardous or poisonous substance', 'inorganic chemical', 'organic chemical', 'therapeutic or preventive procedure']"
"pharmacotherapy","1","['therapeutic or preventive procedure']"
"inflammation","1","['pathologic function']"
"prostate exam","1","['diagnostic procedure']"
"oral region","1","['body location or region', 'body part, organ, or organ component', 'disease or syndrome']"
"swelling of scrotum","1","['sign or symptom']"
"physical findings","1","['finding']"
"intestines","1","['body part, organ, or organ component']"
"hemospermia","1","['finding']"
"lower back structure","1","['body part, organ, or organ component']"
"chills","1","['sign or symptom']"
