"tibia vara"
"leg","13","['body location or region']"
"bone structure of tibia","5","['body part, organ, or organ component']"
"shin","4","['body location or region']"
"both legs","4","['body part, organ, or organ component']"
"tissue growth","4","['organ or tissue function']"
"skeletal bone","4","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"knee","3","['body part, organ, or organ component']"
"prophylactic treatment","1","['therapeutic or preventive procedure']"
"congenital abnormality","1","['congenital abnormality', 'disease or syndrome']"
"overweight","1","['sign or symptom']"
"bone of tibia","1","['body part, organ, or organ component']"
"disability","1","['finding']"
"leg length","1","['finding']"
"epiphysis of bone","1","['body part, organ, or organ component', 'disease or syndrome']"
"body weight decreased","1","['finding']"
"physical findings","1","['finding']"
"ptpns1 protein human","1","['receptor', 'therapeutic or preventive procedure']"
"obesity","1","['disease or syndrome', 'finding']"
"bony process","1","['body part, organ, or organ component']"
