"astrocytoma - children"
"cancer - brain tumor (children)"
"ependymoma - children"
"glioblastoma multiforme - children"
"glioma - children"
"medulloblastoma - children"
"meningioma - children"
"neuroglioma - children"
"oligodendroglioma - children"
"brain","27","['body part, organ, or organ component', 'disease or syndrome']"
"neoplasms","17","['finding', 'neoplastic process']"
"brain neoplasms","11","['neoplastic process']"
"headache","6","['sign or symptom']"
"brain tumor primary","5","['neoplastic process']"
"cerebrospinal fluid","5","['biologically active substance', 'body substance', 'pharmacologic substance']"
"pharmacotherapy","4","['therapeutic or preventive procedure']"
"support - dental","4","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"eye","3","['body part, organ, or organ component', 'body substance']"
"physical findings","3","['finding']"
"medulloblastoma","3","['neoplastic process']"
"reflex action","2","['finding', 'organ or tissue function']"
"babinski reflex","2","['finding']"
"ependymoma","2","['neoplastic process']"
"neurological observations","2","['finding']"
"comfort brand of hydroxyethyl cellulose","2","['organic chemical', 'pharmacologic substance']"
"pharmaceutical preparations","2","['pharmacologic substance']"
"brain stem","2","['body part, organ, or organ component']"
"memory observations","2","['finding']"
"malignant neoplasms","2","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"anatomic site","2","['body location or region']"
"body fluids","2","['biologically active substance', 'body substance', 'pharmacologic substance']"
"brain edema","2","['disease or syndrome', 'pathologic function']"
"mannitol","1","['pharmacologic substance']"
"deterioration of status","1","['finding']"
"tissue damage","1","['injury or poisoning']"
"malignant neoplasm of brain","1","['neoplastic process']"
"hearing examination finding","1","['finding']"
"hypersomnia","1","['sign or symptom']"
"deafness","1","['disease or syndrome', 'finding']"
"coping behavior","1","['individual behavior', 'therapeutic or preventive procedure']"
"red reflex","1","['finding']"
"blind vision","1","['disease or syndrome']"
"seizures","1","['finding', 'sign or symptom']"
"electroencephalography","1","['diagnostic procedure', 'finding', 'laboratory or test result']"
"stupor","1","['finding']"
"brain function","1","['organ or tissue function']"
"diplopia","1","['disease or syndrome']"
"occupational therapy regime","1","['therapeutic or preventive procedure']"
"upper arm","1","['body location or region', 'body part, organ, or organ component', 'neoplastic process']"
"therapeutic procedure","1","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"weakness","1","['sign or symptom']"
"dexamethasone","1","['disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"bone structure of cranium","1","['body part, organ, or organ component']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"phenytoin","1","['organic chemical', 'pharmacologic substance']"
"urea","1","['biologically active substance', 'organic chemical', 'pharmacologic substance']"
"leg","1","['body location or region']"
"confusion","1","['finding', 'mental or behavioral dysfunction']"
"pain medicines","1","['pharmacologic substance']"
"vomiting","1","['body substance', 'finding', 'sign or symptom']"
"as if personality","1","['mental or behavioral dysfunction']"
"memory loss","1","['mental or behavioral dysfunction', 'sign or symptom']"
"ability to balance","1","['finding']"
"adrenal cortex hormones","1","['pharmacologic substance']"
"bulging fontanelle","1","['sign or symptom']"
"heart ventricle","1","['body part, organ, or organ component']"
"magnetic resonance imaging","1","['diagnostic procedure']"
"diuretics","1","['pharmacologic substance']"
"levetiracetam","1","['organic chemical', 'pharmacologic substance']"
"neurological problem","1","['finding']"
"comfort measures","1","['therapeutic or preventive procedure']"
"unable to concentrate","1","['finding']"
"anticonvulsants","1","['pharmacologic substance']"
"numbness","1","['finding', 'sign or symptom']"
"mass of body structure","1","['finding']"
"general unsteadiness","1","['finding', 'mental or behavioral dysfunction']"
"very large","1","['finding']"
"stress","1","['finding', 'organic chemical', 'pharmacologic substance']"
"cyst","1","['body substance', 'disease or syndrome']"
"dizziness","1","['finding', 'sign or symptom']"
"anaplastic oligodendroglioma","1","['neoplastic process']"
"brain tissue","1","['body part, organ, or organ component']"
