"cancer - breast"
"carcinoma - ductal"
"carcinoma - lobular"
"dcis"
"ductal carcinoma in situ"
"er-positive breast cancer"
"her2-positive breast cancer"
"lcis"
"lobular carcinoma in situ"
"malignant neoplasms","94","['biologically active substance', 'finding', 'neoplastic process', 'pharmacologic substance', 'therapeutic or preventive procedure']"
"breast carcinoma","58","['neoplastic process']"
"breast","51","['body part, organ, or organ component']"
"mass of body structure","8","['finding']"
"therapeutic procedure","7","['enzyme', 'finding', 'therapeutic or preventive procedure']"
"estrogens","7","['pharmacologic substance']"
"pharmacotherapy","5","['therapeutic or preventive procedure']"
"pharmacologic substance","5","['pharmacologic substance', 'therapeutic or preventive procedure']"
"erbb-2 receptor","5","['enzyme', 'pharmacologic substance', 'receptor']"
"pharmaceutical preparations","5","['pharmacologic substance']"
"mass in breast","5","['finding']"
"ethanol","4","['organic chemical', 'pharmacologic substance']"
"noninfiltrating intraductal carcinoma","4","['neoplastic process']"
"lymph nodes","4","['body part, organ, or organ component']"
"tamoxifen","3","['neoplastic process', 'organic chemical', 'pharmacologic substance']"
"diethylstilbestrol","3","['disease or syndrome', 'organic chemical', 'pharmacologic substance']"
"axilla","3","['body location or region']"
"mammography","3","['diagnostic procedure']"
"intravenous infusion procedures","3","['therapeutic or preventive procedure']"
"nipples","3","['body part, organ, or organ component']"
"lumpectomy of breast","3","['therapeutic or preventive procedure']"
"skeletal bone","2","['body location or region', 'body part, organ, or organ component', 'body substance', 'disease or syndrome']"
"very high","2","['finding']"
"brca2 protein","2","['biologically active substance', 'disease or syndrome']"
"malignant neoplasm of breast","2","['neoplastic process']"
"recurrent malignant neoplasm","2","['neoplastic process']"
"nipple discharge","2","['sign or symptom']"
"obesity","2","['disease or syndrome', 'finding']"
"breast.bilateral","2","['body part, organ, or organ component']"
"support - dental","2","['clinical attribute', 'organic chemical', 'pharmacologic substance']"
"non-infiltrating lobular carcinoma","2","['neoplastic process']"
"lymphedema","2","['disease or syndrome']"
"aromatase inhibitors","2","['pharmacologic substance']"
"carcinoma lobular","2","['neoplastic process']"
"brca1 protein","2","['biologically active substance']"
"lobule","2","['body part, organ, or organ component']"
"prophylactic treatment","2","['therapeutic or preventive procedure']"
"carcinoma in situ","2","['biologically active substance', 'neoplastic process']"
"anatomic node","2","['body part, organ, or organ component']"
"body fluid discharge","2","['body substance', 'therapeutic or preventive procedure']"
"multiple endocrine neoplasia","2","['antibiotic', 'neoplastic process', 'organic chemical']"
"chest","2","['body location or region', 'disease or syndrome']"
"family history of breast cancer","2","['finding']"
"alcohol consumption","2","['individual behavior']"
"ductal carcinoma","2","['neoplastic process']"
"invasive malignant neoplasm","2","['neoplastic process']"
"breast development","1","['finding']"
"sentinel lymph node","1","['body part, organ, or organ component']"
"mastodynia","1","['finding', 'sign or symptom']"
"trastuzumab","1","['pharmacologic substance']"
"biological markers","1","['clinical attribute']"
"expression procedure","1","['therapeutic or preventive procedure']"
"lymph node excision","1","['therapeutic or preventive procedure']"
"pain or discomfort","1","['sign or symptom']"
"malaise","1","['finding', 'sign or symptom']"
"physical findings","1","['finding']"
"pain and tenderness","1","['sign or symptom']"
"body parts - canal","1","['body part, organ, or organ component']"
"body fluids","1","['biologically active substance', 'body substance', 'pharmacologic substance']"
"mammary ductal carcinoma","1","['neoplastic process']"
"magnetic resonance imaging of breast","1","['diagnostic procedure']"
"prophylactic mastectomy","1","['therapeutic or preventive procedure']"
"proteins","1","['biologically active substance']"
"sore to touch","1","['sign or symptom']"
"aromasin","1","['pharmacologic substance']"
"ovarian","1","['body part, organ, or organ component']"
"colon carcinoma","1","['neoplastic process']"
"malignant neoplasm of breast staging","1","['neoplastic process']"
"tumor markers","1","['biologically active substance']"
"target lesion identification","1","['diagnostic procedure']"
"spontaneous abortion","1","['disease or syndrome']"
"pus","1","['body substance']"
"breast implant procedure","1","['therapeutic or preventive procedure']"
"anatomic site","1","['body location or region']"
"does move","1","['finding']"
"herceptin","1","['pharmacologic substance']"
"breast swelling","1","['finding']"
"breast examination","1","['diagnostic procedure']"
"ache","1","['congenital abnormality', 'disease or syndrome', 'enzyme', 'sign or symptom']"
"positron-emission tomography","1","['diagnostic procedure']"
"surgical repair","1","['therapeutic or preventive procedure']"
"estrogen receptors","1","['receptor']"
"abdominal pain","1","['sign or symptom']"
"exanthema","1","['disease or syndrome', 'organ or tissue function', 'pathologic function', 'sign or symptom']"
"breast cancer prevention","1","['therapeutic or preventive procedure']"
"consumption-archaic term for tb","1","['disease or syndrome']"
"colonic diseases","1","['disease or syndrome']"
"tissue growth","1","['organ or tissue function']"
"hormone replacement therapy","1","['therapeutic or preventive procedure']"
"breast duct","1","['body part, organ, or organ component']"
"redness","1","['finding']"
"body weight decreased","1","['finding']"
"birth of child","1","['finding']"
"simple mastectomy","1","['therapeutic or preventive procedure']"
"orange allergenic extract","1","['pharmacologic substance']"
"cognitive therapy","1","['diagnostic procedure', 'enzyme', 'hazardous or poisonous substance', 'therapeutic or preventive procedure']"
"exemestane","1","['pharmacologic substance']"
"carcinoma breast stage iv","1","['neoplastic process']"
"ultrasonography mammary","1","['diagnostic procedure']"
"breast tissue sample","1","['body part, organ, or organ component']"
"stress","1","['finding', 'organic chemical', 'pharmacologic substance']"
"neck","1","['body location or region']"
"skin ulcer","1","['disease or syndrome', 'finding']"
"antiperspirants","1","['pharmacologic substance']"
"uterus","1","['body part, organ, or organ component', 'disease or syndrome']"
